	gamma	gamma	gamma
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100574_-_42882406.23-CUFF.47126.1,CUFF.47126.2	-0.06738894235238048	0.18271254193677314	0.05766179979219633
common:TSS100576_+_42885409.23-CUFF.47126.5	0.019259770853201984	-0.4819080569592095	-0.23132414305300378
common:TSS100576_+_42885412.23-CUFF.47126.5	-0.10488832518252728	-0.07220157180099811	-0.0885449484917627
common:TSS100576_+_42885452.23-CUFF.47126.5	0.045323177645545804	-0.025923712099778666	0.009699732772883569
common:TSS100576_+_42885490.23-CUFF.47126.5	0.1946896193125802	-0.20287204187332677	-0.004091211280373291
common:TSS100576_+_42885746.23-CUFF.47126.5	0.6376985309101924	0.03882812518995606	0.3382633280500742
common:TSS100576_+_42885753.23-CUFF.47126.5	0.17632172473795654	-0.04650094485358028	0.06491038994218813
common:TSS100576_+_42885766.23-CUFF.47126.5	-0.05200878946931694	-0.09371072009305303	-0.07285975478118499
common:TSS100576_+_42885775.23-CUFF.47126.5	-0.20016035890071662	0.17040013489553574	-0.014880112002590443
common:TSS100576_-_42885405.23-CUFF.47126.5	0.10209045601259507	-0.02174652430786946	0.04017196585236281
common:TSS100576_-_42885503.23-CUFF.47126.5	-0.08010295393156923	0.001953356493742906	-0.03907479871891316
common:TSS100611_+_48647551.23-P1P2	-0.10695439129940879	0.17814454560653936	0.03559507715356529
common:TSS100611_+_48647802.23-P1P2	-0.009486729081495122	0.2931247015973272	0.14181898625791603
common:TSS100611_+_48647844.23-P1P2	-0.0031831084687757496	-0.0555993128028184	-0.029391210635797076
common:TSS100611_+_48647852.23-P1P2	0.2345073251618236	0.04932100052413897	0.14191416284298128
common:TSS100611_+_48647888.23-P1P2	0.6483201694160043	0.06486603157135841	0.35659310049368137
common:TSS100611_-_48647789.23-P1P2	-0.04207021107521521	0.11592840634191631	0.03692909763335055
common:TSS100611_-_48647830.23-P1P2	-0.1648726560103785	0.048795664473968846	-0.05803849576820483
common:TSS100611_-_48647893.23-P1P2	0.05281969501705838	0.03824751650202924	0.04553360575954381
common:TSS100611_-_48647898.23-P1P2	-0.16541455377023837	-0.020182720916960162	-0.09279863734359926
common:TSS100611_-_48647906.23-P1P2	-0.04931414953977374	0.25596860984026604	0.10332723015024614
common:TSS100726_+_55061621.23-CUFF.47259.1,CUFF.47259.2	0.23166125187745806	0.19868202682538083	0.21517163935141945
common:TSS100726_+_55061715.23-CUFF.47259.1,CUFF.47259.2	-0.14521200806401743	0.07435537521519185	-0.03542831642441279
common:TSS100726_+_55061742.23-CUFF.47259.1,CUFF.47259.2	-0.05392923375217183	0.00016373815302755926	-0.026882747799572136
common:TSS100726_+_55061955.23-CUFF.47259.1,CUFF.47259.2	0.06543250099602245	0.02162477322963572	0.04352863711282909
common:TSS100726_+_55062011.23-CUFF.47259.1,CUFF.47259.2	-0.08972647325249206	0.11223764018633467	0.011255583466921307
common:TSS100726_+_55062079.23-CUFF.47259.1,CUFF.47259.2	-0.09717523621319697	-0.025985944802490293	-0.06158059050784363
common:TSS100726_+_55062101.23-CUFF.47259.1,CUFF.47259.2	-0.13866094495756165	0.0025176962398254055	-0.06807162435886813
common:TSS100726_-_55061689.23-CUFF.47259.1,CUFF.47259.2	0.2707601660477622	0.11176778976349261	0.1912639779056274
common:TSS100726_-_55062026.23-CUFF.47259.1,CUFF.47259.2	-0.19159469769981413	-0.22572937128092593	-0.20866203449037002
common:TSS100726_-_55062105.23-CUFF.47259.1,CUFF.47259.2	0.00010010748446885641	0.09351571439211687	0.04680791093829286
common:TSS100904_+_64080723.23-ENST00000603538	-0.008251386946197092	0.08267298858109853	0.03721080081745072
common:TSS100904_+_64080772.23-ENST00000603538	0.2248774307247932	0.021301655440110808	0.123089543082452
common:TSS100904_+_64080808.23-ENST00000603538	0.0647588172971954	-0.0007592087652338266	0.031999804265980786
common:TSS100904_+_64080811.23-ENST00000603538	-0.18932606515727074	-0.2565659661410961	-0.22294601564918343
common:TSS100904_+_64080849.23-ENST00000603538	0.33145814698790615	0.06035938675053374	0.19590876686921996
common:TSS100904_+_64080852.23-ENST00000603538	0.0798000983665117	-0.0258275197256776	0.026986289320417047
common:TSS100904_+_64080997.23-ENST00000603538	0.12957806495217733	-0.019951073801415104	0.054813495575381115
common:TSS100904_+_64081010.23-ENST00000603538	0.15295639140721237	-0.11242989635825855	0.02026324752447691
common:TSS100904_+_64081027.23-ENST00000603538	0.14462407536313193	-0.1042647459424938	0.020179664710319067
common:TSS100904_-_64080984.23-ENST00000603538	0.2092569256315204	-0.1605210592175497	0.024367933206985354
common:TSS100996_+_67837705.23-P1P2	0.27670729163241053	0.0866084520415008	0.18165787183695567
common:TSS100996_+_67837708.23-P1P2	0.38747937322783027	0.29223410907319797	0.3398567411505141
common:TSS100996_+_67837714.23-P1P2	0.11770657442516588	-0.029723649328634645	0.04399146254826562
common:TSS100996_+_67837719.23-P1P2	0.017019016642722387	0.026011864194344148	0.021515440418533267
common:TSS100996_+_67837753.23-P1P2	-0.18364958772413487	0.0783979367378193	-0.052625825493157787
common:TSS100996_-_67837526.23-P1P2	0.5057684041225796	-0.37065162568715687	0.06755838921771137
common:TSS100996_-_67837640.23-P1P2	-0.047675958091575335	-0.2088853402348021	-0.1282806491631887
common:TSS100996_-_67837690.23-P1P2	-0.2173658756840262	0.26230677353293114	0.022470448924452463
common:TSS100996_-_67837722.23-P1P2	0.31489140075799854	-0.011141991180004111	0.15187470478899723
common:TSS100996_-_67837734.23-P1P2	-0.004730011169784587	-0.03288209530055906	-0.018806053235171823
common:TSS101427_+_92082250.23-P1P2	-0.1114759004192841	-0.01853759822336822	-0.06500674932132616
common:TSS101427_+_92082285.23-P1P2		-0.21991910608264162	
common:TSS101427_+_92082335.23-P1P2	0.046993212870796365	-0.06906748994506079	-0.011037138537132212
common:TSS101427_+_92082356.23-P1P2	0.34314790971250064	0.21322996612285156	0.27818893791767607
common:TSS101427_+_92082364.23-P1P2	-0.13297377388553266	0.07639297210210512	-0.028290400891713773
common:TSS101427_-_92082284.23-P1P2	-0.44209559031639617	0.26126901262337715	-0.09041328884650951
common:TSS101427_-_92082311.23-P1P2	0.04262013045231498	0.10677231780779751	0.07469622413005625
common:TSS101427_-_92082320.23-P1P2	0.10169341418949408	0.14681304822726046	0.12425323120837728
common:TSS101427_-_92082326.23-P1P2	0.023675604453774163	0.021829252247106218	0.02275242835044019
common:TSS101427_-_92082346.23-P1P2	0.10003123869092757	-0.004430616996796341	0.04780031084706562
common:TSS101496_+_95805840.23-CUFF.47887.1,CUFF.47887.2	0.00492962116953082	-0.11374012599740312	-0.05440525241393615
common:TSS101496_+_95805896.23-CUFF.47887.1,CUFF.47887.2	-0.0674285695980356	0.21229037203460507	0.07243090121828474
common:TSS101496_+_95806059.23-CUFF.47887.1,CUFF.47887.2	-0.27093020163163983	0.19633053088424365	-0.03729983537369809
common:TSS101496_+_95806110.23-CUFF.47887.1,CUFF.47887.2	0.06621232251378878	0.09976925959678598	0.08299079105528738
common:TSS101496_-_95805701.23-CUFF.47887.1,CUFF.47887.2	0.03111130140681352	-0.1362047185008236	-0.05254670854700504
common:TSS101496_-_95805909.23-CUFF.47887.1,CUFF.47887.2	-0.10993381461557472	-0.13694525374748573	-0.12343953418153022
common:TSS101496_-_95805979.23-CUFF.47887.1,CUFF.47887.2	-0.26271782341115185	0.1481613126058657	-0.05727825540264307
common:TSS101496_-_95806047.23-CUFF.47887.1,CUFF.47887.2	-0.3451400558878093	-0.03216289979220403	-0.1886514778400067
common:TSS101496_-_95806056.23-CUFF.47887.1,CUFF.47887.2	-0.14678569515233608	0.18599100069418986	0.01960265277092689
common:TSS101496_-_95806085.23-CUFF.47887.1,CUFF.47887.2	0.029456561892475912	-0.06370876952928273	-0.017126103818403408
common:TSS101543_+_98742049.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.17088889010370356	-0.03619114761135205	-0.10354001885752781
common:TSS101543_+_98742239.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.21862285376977295	-0.06831508461027098	0.07515388457975097
common:TSS101543_+_98742282.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.009782492190220581	0.27194739365275916	0.14086494292148988
common:TSS101543_+_98742354.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.05638018137313365	0.12009115154928876	0.031855485088077555
common:TSS101543_+_98742393.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.12019733629202951	0.22551149179071014	0.052657077749340316
common:TSS101543_+_98742442.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.3624352820494124	-0.1983075933553973	0.08206384434700754
common:TSS101543_+_98742482.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.04919867985335567	0.0012036861999258654	0.025201183026640768
common:TSS101543_+_98742485.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.32561793616823304	-0.09352536613227434	0.11604628501797934
common:TSS101543_-_98742224.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.09902919202813994	-0.06729093947897434	-0.08316006575355714
common:TSS101543_-_98742413.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.14024017079323023	0.058628667966919235	-0.0408057514131555
common:TSS101564_+_100025006.23-P1P2	-0.38498365872946905	-0.29181825655185184	-0.33840095764066047
common:TSS101564_+_100025034.23-P1P2	0.10163161272296718	-0.04398248778078432	0.02882456247109143
common:TSS101564_+_100025184.23-P1P2	0.29146085120782245	-0.20008240723525042	0.04568922198628601
common:TSS101564_+_100025187.23-P1P2	0.31114954810819695	-0.1028290869897508	0.10416023055922308
common:TSS101564_+_100025235.23-P1P2	0.26290312946150884	-0.0650626911904005	0.09892021913555417
common:TSS101564_+_100025241.23-P1P2	-0.4210512878502242	0.04025283172417972	-0.19039922806302226
common:TSS101564_+_100025251.23-P1P2	0.24612711068351553	-0.027272933127484286	0.10942708877801563
common:TSS101564_+_100025294.23-P1P2	0.016129647784922273	0.029794528976310714	0.022962088380616495
common:TSS101564_-_100025195.23-P1P2	0.09527950677838769	0.07536808786861933	0.08532379732350351
common:TSS101564_-_100025216.23-P1P2	-0.029793635204893944	-0.02958083093430202	-0.02968723306959798
common:TSS102040_+_125320330.23-ENST00000607837	-0.09847514818613458	0.018201105829768322	-0.04013702117818313
common:TSS102040_+_125320447.23-ENST00000607837	0.31484441352874576	0.14288627145836255	0.22886534249355417
common:TSS102040_+_125320454.23-ENST00000607837	0.029576677722274843	-0.06455580496190691	-0.01748956361981603
common:TSS102040_+_125320562.23-ENST00000607837	-0.006156822019630344	-0.1450837428467496	-0.07562028243318997
common:TSS102040_-_125320172.23-ENST00000607837	-0.2078853213635559	-0.10625665103971499	-0.15707098620163545
common:TSS102040_-_125320179.23-ENST00000607837	-0.07210144263821058	-0.12802373644833598	-0.10006258954327328
common:TSS102040_-_125320205.23-ENST00000607837	-0.12650859972341563	0.1265236011081752	7.5006923797860114e-06
common:TSS102040_-_125320490.23-ENST00000607837	0.12190764419831239	-0.04364347466924255	0.03913208476453492
common:TSS102040_-_125320560.23-ENST00000607837	-0.213751793117135	0.05279885014879173	-0.08047647148417163
common:TSS102040_-_125320569.23-ENST00000607837	0.14082445384123565	-0.017272233876266422	0.06177610998248462
common:TSS102045_+_125486557.23-P1	0.2753502183219699	0.24987561807401076	0.2626129181979903
common:TSS102045_+_125486563.23-P1	-0.09994402067884427	-0.018260564872174877	-0.059102292775509574
common:TSS102045_+_125486570.23-P1	0.28267797811507095	-0.0087430167864376	0.1369674806643167
common:TSS102045_+_125486734.23-P1	-0.1523619208901018	-0.12852346181162994	-0.14044269135086587
common:TSS102045_+_125486762.23-P1	-0.08479806979310374	0.09627980684027583	0.005740868523586046
common:TSS102045_+_125487146.23-P2	0.00898061444733073	-0.16645728662187873	-0.078738336087274
common:TSS102045_+_125487149.23-P2	0.07156840401612628	-0.12886074292162275	-0.028646169452748234
common:TSS102045_+_125487176.23-P2	-0.3751995030928139	0.31431119557440235	-0.030444153759205783
common:TSS102045_+_125487182.23-P2	0.06336349824856269	0.23895606059902177	0.15115977942379222
common:TSS102045_+_125487185.23-P2	0.23036152004575988	0.20820967862523845	0.21928559933549918
common:TSS102045_-_125486575.23-P1	-0.16145419143400086	0.13975269912617327	-0.010850746153913793
common:TSS102045_-_125486719.23-P1	0.0878615732592523	0.05361664351551507	0.07073910838738368
common:TSS102045_-_125486739.23-P1	0.02292593278214567	-0.10718573228858919	-0.04212989975322176
common:TSS102045_-_125486799.23-P1	0.40287679858009967	-0.0034002454112861736	0.19973827658440674
common:TSS102045_-_125486838.23-P1	0.08531850628523649	-0.007340032377276689	0.0389892369539799
common:TSS102045_-_125486838.23-P2	0.08531850628523649	-0.007340032377276689	0.0389892369539799
common:TSS102045_-_125487047.23-P2	0.2714799812894626	-0.12550848083466662	0.07298575022739799
common:TSS102045_-_125487050.23-P2	-0.06254366788527113	0.01636063793335388	-0.023091514975958627
common:TSS102045_-_125487193.23-P2	0.20274375429019031	-0.08600751187291507	0.05836812120863762
common:TSS102045_-_125487232.23-P2	0.15908489339123957	0.14855413348577406	0.1538195134385068
common:TSS102413_+_141539248.23-P1P2	0.2135996699452653	-0.021877134423279754	0.09586126776099277
common:TSS102413_+_141539262.23-P1P2	0.10015519567427013	0.0026848324109561015	0.051420014042613114
common:TSS102413_+_141539281.23-P1P2	-0.05195937486339963	0.29634438309630157	0.12219250411645097
common:TSS102413_+_141539328.23-P1P2	0.19698426450032763	-0.06986855629017498	0.06355785410507633
common:TSS102413_-_141538948.23-P1P2	-0.12301734821066065	0.12730211507830497	0.0021423834338221565
common:TSS102413_-_141539040.23-P1P2	-0.17918765057877506	0.06654550008505426	-0.0563210752468604
common:TSS102413_-_141539115.23-P1P2	-0.17219096610188767	0.02363855201338896	-0.07427620704424935
common:TSS102413_-_141539234.23-P1P2	-0.08101034243450372	0.0742413635349081	-0.0033844894497978145
common:TSS102413_-_141539259.23-P1P2	0.12381602481943178	0.09014090877014785	0.10697846679478981
common:TSS102413_-_141539325.23-P1P2	0.025799893705544707	-0.21308323563066184	-0.09364167096255857
common:TSS102493_+_143747623.23-ENST00000507178	-0.03920205278879539	0.02197917415315399	-0.0086114393178207
common:TSS102493_+_143747695.23-ENST00000507178	0.11556892305793291	0.10461660291507403	0.11009276298650347
common:TSS102493_+_143747774.23-ENST00000507178	-0.07935440124405134	-0.04827640879774583	-0.06381540502089858
common:TSS102493_+_143747806.23-ENST00000507178	0.016786547445468245	0.09770458362137427	0.05724556553342126
common:TSS102493_+_143747835.23-ENST00000507178	0.07888058927857101	-0.13656627867378893	-0.028842844697608956
common:TSS102493_-_143747639.23-ENST00000507178	0.18784976061473654	-0.06210830508863851	0.06287072776304901
common:TSS102493_-_143747817.23-ENST00000507178	-0.1363639370246135	-0.028276753634214658	-0.08232034532941408
common:TSS102493_-_143747826.23-ENST00000507178	0.001449726502350563	0.06470382558500824	0.0330767760436794
common:TSS102493_-_143747852.23-ENST00000507178	-0.3197402065196446	-0.026894205255224717	-0.17331720588743466
common:TSS102493_-_143747862.23-ENST00000507178	-0.032273570624095124	0.3124288043666549	0.14007761687127987
common:TSS102556_+_144363761.23-P1P2	-0.3139595620676603	-0.08839234044686713	-0.2011759512572637
common:TSS102556_+_144363774.23-P1P2	0.19289244828682994	-0.15215447454185976	0.02036898687248509
common:TSS102556_+_144363795.23-P1P2	0.0449118331462729	0.028585485010419687	0.03674865907834629
common:TSS102556_-_144363553.23-P1P2	0.10669258414929282	0.12310262994848832	0.11489760704889057
common:TSS102556_-_144363568.23-P1P2	-0.07405709282267904	0.20459260215861452	0.06526775466796775
common:TSS102556_-_144363620.23-P1P2	0.01738535149527094	-0.03152265002996712	-0.00706864926734809
common:TSS102556_-_144363682.23-P1P2	-0.046674663777488135	-0.05001480369065882	-0.048344733734073476
common:TSS102556_-_144363800.23-P1P2	0.08841924830675482	0.11811854000849954	0.10326889415762719
common:TSS102556_-_144363835.23-P1P2	-0.08281821055949729	0.08586144098433517	0.0015216152124189405
common:TSS102556_-_144363850.23-P1P2	0.16816141311155505	0.058500243463568184	0.11333082828756162
common:TSS102573_+_144723275.23-CUFF.48795.1	0.06440720486625133	-0.022255290865880368	0.021075957000185483
common:TSS102573_+_144723311.23-CUFF.48795.1	0.2704204306190958	0.6097782427268077	0.44009933667295176
common:TSS102573_+_144723393.23-CUFF.48795.1	0.19874045833803913	-0.05332216017601014	0.0727091490810145
common:TSS102573_+_144723556.23-CUFF.48795.1	0.08787262858596881	0.0001410671694916645	0.04400684787773024
common:TSS102573_+_144723587.23-CUFF.48795.1	0.1621452577146004	-0.2154419711756217	-0.02664835673051065
common:TSS102573_-_144723294.23-CUFF.48795.1	0.05413885657225989	0.053934685441672986	0.05403677100696644
common:TSS102573_-_144723305.23-CUFF.48795.1	0.04951948386572083	-0.06564800402442608	-0.008064260079352625
common:TSS102573_-_144723370.23-CUFF.48795.1	-0.1732496139697441	-0.0301867223343782	-0.10171816815206114
common:TSS102573_-_144723444.23-CUFF.48795.1	-0.057184149661725164	0.02995326539677963	-0.013615442132472767
common:TSS102573_-_144723511.23-CUFF.48795.1	0.21120426586128244	0.024925745290454097	0.11806500557586827
common:TSS102575_+_144737364.23-CUFF.48800.1	-0.29841672693771076	0.19712936294464725	-0.050643681996531756
common:TSS102575_+_144737558.23-CUFF.48800.1	0.18523257851587552	-0.0009225154037570669	0.09215503155605922
common:TSS102575_+_144737763.23-CUFF.48800.1	0.0551652049922334	0.039353019107150757	0.047259112049692076
common:TSS102575_+_144737768.23-CUFF.48800.1	0.3642863675779957	0.06875522689706841	0.21652079723753206
common:TSS102575_+_144737773.23-CUFF.48800.1	-0.09631481487232	0.23965136896241784	0.07166827704504891
common:TSS102575_-_144737416.23-CUFF.48800.1	-0.15971212987614436	0.14205726278982558	-0.008827433543159388
common:TSS102575_-_144737426.23-CUFF.48800.1	-0.2191937851321217	-0.04963277523598012	-0.1344132801840509
common:TSS102575_-_144737572.23-CUFF.48800.1	0.028690104741786977	-0.006945454766199013	0.010872324987793981
common:TSS102575_-_144737799.23-CUFF.48800.1	-0.1522518166997825	-0.04639777791548425	-0.09932479730763337
common:TSS102575_-_144737804.23-CUFF.48800.1	0.05462851452235333	0.1937341143217885	0.12418131442207092
common:TSS102578_+_144777847.23-CUFF.48805.1	0.03404923221312882	-0.2824261553694543	-0.12418846157816274
common:TSS102578_+_144777853.23-CUFF.48805.1	0.23763272889587264	0.127142824708088	0.18238777680198032
common:TSS102578_+_144777872.23-CUFF.48805.1	0.1639084219479826	-0.15607846450989074	0.003914978719045933
common:TSS102578_+_144777937.23-CUFF.48805.1	0.016062360700723977	-0.08582831963264771	-0.03488297946596187
common:TSS102578_-_144777842.23-CUFF.48805.1	0.1382945695463733	0.059725671535275346	0.09901012054082434
