	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS49115_-_48699368.23-CUFF.23594.1	4483	4047	509	5153
common:TSS49115_-_48699379.23-CUFF.23594.1	5668	5190	851	11364
common:TSS49115_-_48699430.23-CUFF.23594.1	3332	3212	316	5087
common:TSS49115_-_48699452.23-CUFF.23594.1	3465	4291	542	6895
common:TSS49126_+_48963394.23-CUFF.23605.1	4035	4916	547	7165
common:TSS49126_+_48963415.23-CUFF.23605.1	1690	1284	170	2009
common:TSS49126_+_48963436.23-CUFF.23605.1	1644	1627	274	2979
common:TSS49126_+_48963465.23-CUFF.23605.1	7037	6769	936	10428
common:TSS49126_-_48963322.23-CUFF.23605.1	5062	5167	850	8112
common:TSS49126_-_48963386.23-CUFF.23605.1	5263	5323	744	8166
common:TSS49126_-_48963434.23-CUFF.23605.1	2620	2667	382	4654
common:TSS49126_-_48963451.23-CUFF.23605.1	5642	5927	677	7284
common:TSS49126_-_48963484.23-CUFF.23605.1	4738	4986	653	10038
common:TSS49126_-_48963492.23-CUFF.23605.1	4457	4412	705	7597
common:TSS49141_+_49436833.23-CUFF.23623.2,CUFF.23623.3	5206	6094	685	9703
common:TSS49141_+_49436841.23-CUFF.23623.2,CUFF.23623.3	8065	8558	1107	13952
common:TSS49141_+_49436851.23-CUFF.23623.2,CUFF.23623.3	2259	2881	173	4082
common:TSS49141_-_49436737.23-CUFF.23623.2,CUFF.23623.3	2751	3186	439	6296
common:TSS49141_-_49436765.23-CUFF.23623.2,CUFF.23623.3	5065	4720	641	7849
common:TSS49141_-_49436770.23-CUFF.23623.2,CUFF.23623.3	4454	4173	621	6351
common:TSS49141_-_49436787.23-CUFF.23623.2,CUFF.23623.3	5794	6096	879	8789
common:TSS49141_-_49436797.23-CUFF.23623.2,CUFF.23623.3	4828	4621	767	7936
common:TSS49141_-_49436815.23-CUFF.23623.2,CUFF.23623.3	6077	6557	743	11376
common:TSS49141_-_49436870.23-CUFF.23623.2,CUFF.23623.3	3688	4168	541	6703
common:TSS49151_+_49838508.23-CUFF.23633.1	2291	2535	253	4632
common:TSS49151_+_49838542.23-CUFF.23633.1	367	682	32	1377
common:TSS49151_+_49838553.23-CUFF.23633.1	47	12	0	0
common:TSS49151_+_49838730.23-CUFF.23633.1	4453	4372	765	6925
common:TSS49151_-_49838354.23-CUFF.23633.1	3826	4343	593	7058
common:TSS49151_-_49838458.23-CUFF.23633.1	8623	7727	1113	13431
common:TSS49151_-_49838499.23-CUFF.23633.1	4103	4938	544	5132
common:TSS49151_-_49838573.23-CUFF.23633.1	4769	4952	961	6508
common:TSS49151_-_49838638.23-CUFF.23633.1	3942	3765	456	4914
common:TSS49151_-_49838641.23-CUFF.23633.1	4648	4838	475	7280
common:TSS49157_+_50000204.23-CUFF.23642.1	1435	1436	852	10772
common:TSS49157_-_49999781.23-CUFF.23642.1	1123	1288	821	11926
common:TSS49157_-_49999795.23-CUFF.23642.1	1373	1419	759	10957
common:TSS49157_-_49999935.23-CUFF.23642.1	1307	1217	567	8627
common:TSS49157_-_50000011.23-CUFF.23642.1	7737	8682	829	11566
common:TSS49157_-_50000022.23-CUFF.23642.1	3069	2816	685	8648
common:TSS49157_-_50000125.23-CUFF.23642.1	3093	3316	516	8042
common:TSS49157_-_50000161.23-CUFF.23642.1	2844	2480	850	7901
common:TSS49157_-_50000171.23-CUFF.23642.1	952	1103	315	7217
common:TSS49157_-_50000181.23-CUFF.23642.1	1472	1367	432	7368
common:TSS49159_+_50129445.23-ENST00000600665	3110	2912	422	4463
common:TSS49159_+_50129449.23-ENST00000600665	4937	4714	659	7091
common:TSS49159_+_50129491.23-ENST00000600665	6808	6523	974	12327
common:TSS49159_+_50129498.23-ENST00000600665	2446	3349	455	8276
common:TSS49159_+_50129506.23-ENST00000600665	5104	5586	768	8346
common:TSS49159_+_50129589.23-ENST00000600665	4641	4811	803	8619
common:TSS49159_+_50129666.23-ENST00000600665	3644	3172	365	5939
common:TSS49159_-_50129222.23-ENST00000600665	8478	8855	1148	13767
common:TSS49159_-_50129340.23-ENST00000600665	5101	5227	444	9554
common:TSS49159_-_50129684.23-ENST00000600665	3924	4134	764	6306
common:TSS49166_+_50354844.23-P1P2	1337	1617	462	8260
common:TSS49166_+_50354858.23-P1P2	5186	4575	681	7262
common:TSS49166_+_50354898.23-P1P2	2769	2473	241	2296
common:TSS49166_+_50354901.23-P1P2	3711	3437	404	5159
common:TSS49166_+_50354912.23-P1P2	4655	4305	441	5679
common:TSS49166_+_50354934.23-P1P2	3029	3275	373	4925
common:TSS49166_-_50354875.23-P1P2	6761	7600	783	12909
common:TSS49166_-_50354878.23-P1P2	1506	1842	270	2223
common:TSS49166_-_50354890.23-P1P2	3229	2977	528	4025
common:TSS49166_-_50354918.23-P1P2	2917	3171	381	3716
common:TSS49168_+_50362098.23-ENST00000593654,ENST00000601893	5830	6047	903	8768
common:TSS49168_+_50362187.23-ENST00000593654,ENST00000601893	5538	6477	887	8783
common:TSS49168_+_50362397.23-ENST00000593654,ENST00000601893	3811	4139	546	6468
common:TSS49168_+_50362487.23-ENST00000593654,ENST00000601893	3781	3753	592	6642
common:TSS49168_+_50362515.23-ENST00000593654,ENST00000601893	2379	2615	278	4929
common:TSS49168_-_50362179.23-ENST00000593654,ENST00000601893	1222	1540	205	2039
common:TSS49168_-_50362310.23-ENST00000593654,ENST00000601893	4256	4135	679	5636
common:TSS49168_-_50362433.23-ENST00000593654,ENST00000601893	7235	6955	927	11618
common:TSS49168_-_50362504.23-ENST00000593654,ENST00000601893	4952	5026	813	6913
common:TSS49168_-_50362514.23-ENST00000593654,ENST00000601893	2461	2473	557	5242
common:TSS49169_+_50362098.23-ENST00000599259	5830	6047	903	8768
common:TSS49169_+_50362187.23-ENST00000599259	5538	6477	887	8783
common:TSS49169_+_50362220.23-ENST00000599259	3873	4347	471	6010
common:TSS49169_+_50362234.23-ENST00000599259	1216	974	109	1548
common:TSS49169_-_50361935.23-ENST00000599259	5097	5889	660	11503
common:TSS49169_-_50361978.23-ENST00000599259	3680	3434	387	5372
common:TSS49169_-_50362045.23-ENST00000599259	5145	5554	656	7787
common:TSS49169_-_50362059.23-ENST00000599259	4697	5345	661	9256
common:TSS49169_-_50362233.23-ENST00000599259	6754	6841	959	9197
common:TSS49169_-_50362254.23-ENST00000599259	2881	2507	318	5228
common:TSS49170_+_50363504.23-ENST00000596624	5426	5873	723	9637
common:TSS49170_+_50363518.23-ENST00000596624	8656	8762	1369	12319
common:TSS49170_-_50363532.23-ENST00000596624	6291	6754	861	11905
common:TSS49170_-_50363577.23-ENST00000596624	2790	2865	305	5339
common:TSS49170_-_50363600.23-ENST00000596624	2138	2132	404	4533
common:TSS49170_-_50363727.23-ENST00000596624	3846	3691	547	5807
common:TSS49170_-_50363735.23-ENST00000596624	3709	3956	463	5409
common:TSS49170_-_50363764.23-ENST00000596624	5248	4769	900	7315
common:TSS49170_-_50363770.23-ENST00000596624	2414	2870	282	5112
common:TSS49170_-_50363784.23-ENST00000596624	6383	6567	928	9772
common:TSS49177_+_50986157.23-ENST00000598194	5721	5702	847	10433
common:TSS49177_+_50986174.23-ENST00000598194	3176	3428	482	5122
common:TSS49177_+_50986352.23-ENST00000598194	9979	9746	1601	19310
common:TSS49177_+_50986514.23-ENST00000598194	10543	10197	1560	20084
common:TSS49177_+_50986536.23-ENST00000598194	3374	3211	412	5028
common:TSS49177_+_50986590.23-ENST00000598194	5118	5331	662	10203
common:TSS49177_+_50986593.23-ENST00000598194	4178	4568	621	6112
common:TSS49177_-_50986183.23-ENST00000598194	4287	4312	433	9313
common:TSS49177_-_50986312.23-ENST00000598194	4645	4358	635	5879
common:TSS49177_-_50986520.23-ENST00000598194	5825	5970	750	10073
common:TSS49221_+_52848332.23-P1P2	1	64	0	180
common:TSS49221_+_52848337.23-P1P2	2281	1689	399	2815
common:TSS49221_+_52848351.23-P1P2	6233	6185	1116	10177
common:TSS49221_+_52848370.23-P1P2	5689	5813	921	10477
common:TSS49221_+_52848402.23-P1P2	4335	3761	616	5364
common:TSS49221_+_52848426.23-P1P2	7003	6936	1032	11764
common:TSS49221_-_52848080.23-P1P2	5446	5321	753	7640
common:TSS49221_-_52848379.23-P1P2	3139	2986	551	4234
common:TSS49221_-_52848389.23-P1P2	1625	2079	295	3065
common:TSS49221_-_52848418.23-P1P2	6122	6259	726	7564
common:TSS49282_+_54378759.23-P1P2	4630	4111	649	7837
common:TSS49282_+_54378767.23-P1P2	5596	6071	920	8933
common:TSS49282_+_54378985.23-P1P2	3648	4056	865	8123
common:TSS49282_+_54379130.23-P1P2	2812	3274	222	5617
common:TSS49282_+_54379185.23-P1P2	1531	1718	235	2830
common:TSS49282_+_54379242.23-P1P2	4260	4439	552	8934
common:TSS49282_-_54379136.23-P1P2	6653	6378	954	9401
common:TSS49282_-_54379183.23-P1P2	4788	5548	726	10210
common:TSS49282_-_54379217.23-P1P2	4994	5232	673	7711
common:TSS49282_-_54379253.23-P1P2	6376	6695	1178	10430
common:TSS49338_+_56151944.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	263	181	23	506
common:TSS49338_+_56151990.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	5641	5350	695	6264
common:TSS49338_+_56152053.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	1529	1693	390	3719
common:TSS49338_+_56152056.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	3243	3415	482	5674
common:TSS49338_+_56152120.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	3907	3865	452	6931
common:TSS49338_-_56152072.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	4796	4642	443	6056
common:TSS49338_-_56152099.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	4529	4329	660	7030
common:TSS49338_-_56152107.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	4205	4344	521	8551
common:TSS49338_-_56152129.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	7308	7312	890	12325
common:TSS49338_-_56152137.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	2290	2496	394	3421
common:TSS49340_+_56185400.23-P1P2	2677	2673	332	6338
common:TSS49340_+_56185415.23-P1P2	2552	3078	283	4209
common:TSS49340_+_56185418.23-P1P2	3260	2800	431	3798
common:TSS49340_+_56185489.23-P1P2	3693	4115	690	6638
common:TSS49340_+_56185492.23-P1P2	3612	3671	612	6006
common:TSS49340_-_56185520.23-P1P2	4121	4054	467	4182
common:TSS49340_-_56185526.23-P1P2	906	875	95	2297
common:TSS49340_-_56185570.23-P1P2	3601	3377	563	7296
common:TSS49340_-_56185583.23-P1P2	4888	4965	626	9152
common:TSS49340_-_56185589.23-P1P2	3213	3201	504	6004
common:TSS49341_+_56182350.23-CUFF.23859.1	3609	3607	540	5487
common:TSS49341_-_56182394.23-CUFF.23859.1	3647	3587	396	5178
common:TSS49341_-_56182402.23-CUFF.23859.1	5445	5548	645	10659
common:TSS49341_-_56182480.23-CUFF.23859.1	6220	5882	945	10271
common:TSS49341_-_56182545.23-CUFF.23859.1	3079	3054	427	5955
common:TSS49341_-_56182641.23-CUFF.23859.1	4599	3571	541	6962
common:TSS49341_-_56182663.23-CUFF.23859.1	8637	8013	741	13766
common:TSS49341_-_56182696.23-CUFF.23859.1	3810	3929	526	4597
common:TSS49341_-_56182711.23-CUFF.23859.1	4084	4977	515	7289
common:TSS49341_-_56182755.23-CUFF.23859.1	8434	8816	1144	13292
common:TSS49389_+_57819492.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	5551	5924	856	9532
common:TSS49389_+_57819499.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4387	5103	498	9852
common:TSS49389_+_57819530.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2964	2844	273	4241
common:TSS49389_+_57819697.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	5438	5270	823	10549
common:TSS49389_+_57819703.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	7517	7834	764	10175
common:TSS49389_+_57819706.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4724	4702	734	7734
common:TSS49389_+_57819804.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2150	2302	351	4534
common:TSS49389_-_57819717.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4110	4107	584	6201
common:TSS49389_-_57819842.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4071	4245	551	7136
common:TSS49389_-_57819928.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	6606	7861	970	13397
common:TSS49404_+_58135960.23-CUFF.23923.1	5561	6197	786	9912
common:TSS49404_+_58136081.23-CUFF.23923.1	5047	4303	724	7336
common:TSS49404_-_58135616.23-CUFF.23923.1	7597	7247	1052	12692
common:TSS49404_-_58135791.23-CUFF.23923.1	5370	4780	730	7366
common:TSS49404_-_58135806.23-CUFF.23923.1	4269	5581	632	9130
common:TSS49404_-_58135857.23-CUFF.23923.1	6998	7732	970	9379
common:TSS49404_-_58135900.23-CUFF.23923.1	2520	3098	283	6044
common:TSS49404_-_58135905.23-CUFF.23923.1	2694	3086	466	5919
common:TSS49404_-_58135918.23-CUFF.23923.1	5581	5830	531	6636
common:TSS49404_-_58136026.23-CUFF.23923.1	4384	3727	406	6148
common:TSS49407_+_58379329.23-ENST00000597780	7905	7896	1178	12797
common:TSS49407_+_58379357.23-ENST00000597780	6423	6688	1079	10445
common:TSS49407_+_58379362.23-ENST00000597780	4466	4970	609	6654
common:TSS49407_+_58379400.23-ENST00000597780	2329	2419	246	5077
common:TSS49407_+_58379459.23-ENST00000597780	5497	5768	993	6877
common:TSS49407_+_58379495.23-ENST00000597780	4571	4630	666	9597
common:TSS49407_+_58379504.23-ENST00000597780	5674	6105	914	10334
common:TSS49407_-_58379392.23-ENST00000597780	5995	6518	768	10188
common:TSS49407_-_58379438.23-ENST00000597780	3917	4499	523	7930
common:TSS49407_-_58379473.23-ENST00000597780	6005	5982	864	9328
common:TSS49408_+_58412861.23-CUFF.23927.1	7018	6512	1172	8381
common:TSS49408_+_58412879.23-CUFF.23927.1	5004	5144	803	8935
common:TSS49408_+_58413010.23-CUFF.23927.1	6287	5962	958	11726
common:TSS49408_-_58412791.23-CUFF.23927.1	2821	3157	490	3869
common:TSS49408_-_58412813.23-CUFF.23927.1	7670	9106	1136	14198
common:TSS49408_-_58412887.23-CUFF.23927.1	4536	4760	549	7141
common:TSS49408_-_58412976.23-CUFF.23927.1	3600	3703	632	4802
common:TSS49408_-_58413027.23-CUFF.23927.1	4094	4288	532	6542
common:TSS49408_-_58413045.23-CUFF.23927.1	3482	3637	447	3729
common:TSS49408_-_58413063.23-CUFF.23927.1	4417	4961	670	8867
common:TSS49419_+_58814853.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	3914	4477	568	5812
common:TSS49419_+_58814942.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	4493	4632	650	9995
common:TSS49419_-_58814830.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	4098	4253	539	6062
common:TSS49419_-_58814840.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	3856	4122	414	7956
common:TSS49419_-_58814848.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	6064	6359	901	9635
common:TSS49419_-_58814852.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	5499	5402	648	9579
common:TSS49419_-_58814866.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2126	1752	323	2457
common:TSS49419_-_58814869.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	7556	7023	1049	13086
common:TSS49419_-_58814881.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	4962	5813	857	10678
common:TSS49419_-_58814916.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2840	2645	308	3370
common:TSS49421_+_58838920.23-CUFF.23979.2,CUFF.23979.3	4499	4611	522	8387
common:TSS49421_+_58839067.23-CUFF.23979.2,CUFF.23979.3	3818	3531	496	5250
common:TSS49421_-_58838837.23-CUFF.23979.2,CUFF.23979.3	5213	5703	754	9807
common:TSS49421_-_58838983.23-CUFF.23979.2,CUFF.23979.3	3245	3508	546	5009
common:TSS49421_-_58838987.23-CUFF.23979.2,CUFF.23979.3	6553	6773	833	10459
common:TSS49421_-_58839028.23-CUFF.23979.2,CUFF.23979.3	2730	2811	281	5851
common:TSS49421_-_58839076.23-CUFF.23979.2,CUFF.23979.3	2731	3630	313	4716
common:TSS49421_-_58839096.23-CUFF.23979.2,CUFF.23979.3	5462	5993	687	9050
common:TSS49421_-_58839114.23-CUFF.23979.2,CUFF.23979.3	6304	6081	832	8668
common:TSS49421_-_58839218.23-CUFF.23979.2,CUFF.23979.3	7230	6728	1007	9857
common:TSS49432_+_58918476.23-P1P2	3532	3868	401	7090
common:TSS49432_+_58918747.23-P1P2	6197	6739	874	12448
common:TSS49432_+_58918834.23-P1P2	1172	1219	170	1739
common:TSS49432_+_58918855.23-P1P2	3678	3876	855	7654
common:TSS49432_-_58918445.23-P1P2	2902	3366	276	6037
common:TSS49432_-_58918488.23-P1P2	5320	5811	905	7431
common:TSS49432_-_58918782.23-P1P2	3670	4296	523	7873
common:TSS49432_-_58918844.23-P1P2	2550	2428	462	4919
common:TSS49432_-_58918854.23-P1P2	2484	2306	371	3375
common:TSS49432_-_58918875.23-P1P2	4050	3860	557	7629
common:TSS49585_+_3588970.23-CUFF.24061.1,CUFF.24061.2	4446	4548	591	8552
common:TSS49585_+_3589192.23-CUFF.24061.1,CUFF.24061.2	3114	2778	469	5477
common:TSS49585_+_3589197.23-CUFF.24061.1,CUFF.24061.2	5577	4823	832	6805
common:TSS49585_+_3589255.23-CUFF.24061.1,CUFF.24061.2	6284	6774	809	11834
common:TSS49585_-_3589015.23-CUFF.24061.1,CUFF.24061.2	5566	5565	828	9916
common:TSS49585_-_3589031.23-CUFF.24061.1,CUFF.24061.2	5117	4961	878	7548
common:TSS49585_-_3589282.23-CUFF.24061.1,CUFF.24061.2	6790	6408	794	11689
common:TSS49585_-_3589296.23-CUFF.24061.1,CUFF.24061.2	3958	4566	559	8580
common:TSS49585_-_3589312.23-CUFF.24061.1,CUFF.24061.2	3545	3590	387	6142
common:TSS49585_-_3589324.23-CUFF.24061.1,CUFF.24061.2	2275	2430	318	2579
common:TSS49586_+_3589192.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	3114	2778	469	5477
common:TSS49586_+_3589255.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	6284	6774	809	11834
common:TSS49586_+_3589415.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	1916	2481	241	4301
common:TSS49586_-_3589031.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	5117	4961	878	7548
common:TSS49586_-_3589084.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	10117	8319	1275	13622
common:TSS49586_-_3589282.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	6790	6408	794	11689
common:TSS49586_-_3589296.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	3958	4566	559	8580
common:TSS49586_-_3589307.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	3554	3604	497	5949
common:TSS49586_-_3589312.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	3545	3590	387	6142
common:TSS49586_-_3589324.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	2275	2430	318	2579
common:TSS49587_+_3606129.23-P1P2	791	817	106	1211
common:TSS49587_+_3606263.23-P1P2	1889	2039	413	4546
common:TSS49587_-_3606064.23-P1P2	6302	6100	599	10849
common:TSS49587_-_3606079.23-P1P2	3829	4595	338	7380
common:TSS49587_-_3606087.23-P1P2	5594	5385	859	10063
common:TSS49587_-_3606102.23-P1P2	5295	5045	948	8103
common:TSS49587_-_3606105.23-P1P2	4183	4674	492	8336
common:TSS49587_-_3606117.23-P1P2	2578	1725	381	2449
common:TSS49587_-_3606123.23-P1P2	5165	5041	794	7165
common:TSS49587_-_3606167.23-P1P2	8585	8004	879	7667
common:TSS49588_+_3606263.23-P1P2	1889	2039	413	4546
common:TSS49588_+_3606288.23-P1P2	4024	4513	577	7466
common:TSS49588_+_3606310.23-P1P2	2545	2120	353	4019
common:TSS49588_+_3606458.23-P1P2	2012	2027	183	4362
common:TSS49588_-_3606102.23-P1P2	5295	5045	948	8103
common:TSS49588_-_3606258.23-P1P2	3142	3455	536	4851
common:TSS49588_-_3606278.23-P1P2	3342	4297	449	6843
common:TSS49588_-_3606307.23-P1P2	3566	3388	443	4993
common:TSS49588_-_3606326.23-P1P2	4436	4192	507	7133
common:TSS49588_-_3606346.23-P1P2	8060	7838	1291	14664
common:TSS50067_+_25048645.23-P1P2	4848	5209	548	9617
common:TSS50067_+_25048689.23-P1P2	3112	2581	392	4360
common:TSS50067_+_25048732.23-P1P2	4441	4933	597	7309
common:TSS50067_+_25048814.23-P1P2	872	1253	74	1148
common:TSS50067_+_25049036.23-P1P2	3085	3614	893	12526
common:TSS50067_-_25048702.23-P1P2	3441	3821	461	7253
common:TSS50067_-_25048717.23-P1P2	5206	5978	749	10062
common:TSS50067_-_25048722.23-P1P2	5262	4884	735	10214
common:TSS50067_-_25048849.23-P1P2	2343	2215	384	4624
common:TSS50067_-_25048902.23-P1P2	2849	3366	361	4651
common:TSS50115_+_26413875.23-P1P2	2405	2578	357	4670
common:TSS50115_+_26413908.23-P1P2	5496	5986	740	10364
common:TSS50115_+_26414007.23-P1P2	7438	6381	1419	10824
common:TSS50115_-_26413882.23-P1P2	4299	4711	627	7354
common:TSS50115_-_26413901.23-P1P2	6538	6688	716	10804
common:TSS50115_-_26413954.23-P1P2	7529	7544	1315	11236
common:TSS50115_-_26413957.23-P1P2	4434	4557	635	7145
common:TSS50115_-_26414124.23-P1P2	3198	3726	443	4944
common:TSS50115_-_26414142.23-P1P2	2856	2558	415	5106
common:TSS50115_-_26414256.23-P1P2	7051	6700	1308	9314
common:TSS50136_+_27580043.23-P1P2	3803	3198	644	5548
common:TSS50136_+_27580052.23-P1P2	5993	6021	935	7467
common:TSS50136_+_27580090.23-P1P2	3450	3938	408	6331
common:TSS50136_+_27580132.23-P1P2	8656	8423	1247	13285
common:TSS50136_-_27579938.23-P1P2	3910	3479	493	3698
common:TSS50136_-_27580004.23-P1P2	622	713	55	1371
common:TSS50136_-_27580078.23-P1P2	8952	8860	1088	14650
common:TSS50136_-_27580096.23-P1P2	4225	4340	683	7817
common:TSS50136_-_27580099.23-P1P2	3266	3123	646	5027
common:TSS50136_-_27580107.23-P1P2	3227	3751	419	4521
common:TSS50278_+_37435926.23-P1P2	4678	5213	600	7521
common:TSS50278_+_37435931.23-P1P2	3411	3417	675	7629
common:TSS50278_+_37436002.23-P1P2	7420	7483	1058	15001
common:TSS50278_+_37436030.23-P1P2	3638	3437	491	8177
common:TSS50278_+_37436170.23-P1P2	3843	3330	543	4269
common:TSS50278_+_37436173.23-P1P2	5498	5634	639	11335
common:TSS50278_-_37435943.23-P1P2	6567	6503	959	10971
common:TSS50278_-_37435980.23-P1P2	8494	8091	1366	14175
common:TSS50278_-_37436234.23-P1P2	6662	6273	871	10591
common:TSS50278_-_37436237.23-P1P2	7030	6191	935	9834
common:TSS50342_+_39664546.23-P1P2	1994	2480	231	4217
common:TSS50342_+_39664622.23-P1P2	4514	4514	903	7435
common:TSS50342_+_39664759.23-P1P2	7990	8309	1075	13466
common:TSS50342_+_39664958.23-P1P2	4916	4731	628	5698
common:TSS50342_+_39664967.23-P1P2	3033	2787	342	5171
common:TSS50342_+_39664979.23-P1P2	262	480	64	882
common:TSS50342_-_39664377.23-P1P2	786	1069	52	829
common:TSS50342_-_39664590.23-P1P2	2240	1839	334	2886
common:TSS50342_-_39664611.23-P1P2	1940	2195	243	4933
common:TSS50342_-_39664627.23-P1P2	4905	4600	629	8524
common:TSS50466_+_44115752.23-CUFF.24826.1	5405	5026	762	6747
common:TSS50466_+_44115876.23-CUFF.24826.1	4822	5690	752	10479
common:TSS50466_+_44115901.23-CUFF.24826.1	6942	6566	798	11633
common:TSS50466_+_44115917.23-CUFF.24826.1	3692	4241	360	7563
common:TSS50466_-_44115732.23-CUFF.24826.1	2849	2551	317	4398
common:TSS50466_-_44115969.23-CUFF.24826.1	6018	5993	732	8587
common:TSS50466_-_44115976.23-CUFF.24826.1	1506	1489	213	3102
common:TSS50466_-_44116008.23-CUFF.24826.1	5305	5480	620	10102
common:TSS50466_-_44116068.23-CUFF.24826.1	6817	5988	664	8726
common:TSS50466_-_44116077.23-CUFF.24826.1	5392	5440	654	7738
common:TSS50624_+_55845003.23-ENST00000608113	2408	2177	330	4006
common:TSS50624_+_55845019.23-ENST00000608113	4512	4888	681	7509
common:TSS50624_+_55845029.23-ENST00000608113	4667	3915	582	4922
common:TSS50624_+_55845083.23-ENST00000608113	4450	4097	495	5417
common:TSS50624_+_55845098.23-ENST00000608113	3610	4743	542	6027
common:TSS50624_-_55845036.23-ENST00000608113	4931	4687	750	8203
common:TSS50624_-_55845039.23-ENST00000608113	3038	3828	391	6293
common:TSS50624_-_55845045.23-ENST00000608113	5440	5852	754	10103
common:TSS50624_-_55845080.23-ENST00000608113	2349	1810	418	3510
common:TSS50624_-_55845180.23-ENST00000608113	3505	3496	485	5685
common:TSS50857_+_68406992.23-ENST00000609955	4872	5409	580	7922
common:TSS50857_+_68407121.23-ENST00000609955	6372	6354	1207	10284
common:TSS50857_+_68407146.23-ENST00000609955	5442	4508	876	8388
common:TSS50857_+_68407336.23-ENST00000609955	6388	6893	914	12410
common:TSS50857_-_68407079.23-ENST00000609955	3598	3196	562	4106
common:TSS50857_-_68407176.23-ENST00000609955	5361	5749	503	8172
common:TSS50857_-_68407232.23-ENST00000609955	9129	9695	1521	15300
common:TSS50857_-_68407276.23-ENST00000609955	1169	1300	183	2238
common:TSS50857_-_68407375.23-ENST00000609955	1077	1342	192	2295
common:TSS50857_-_68407451.23-ENST00000609955	4750	5047	619	7962
common:TSS50887_+_69688816.23-CUFF.25251.1	5142	5844	706	9281
common:TSS50887_+_69689011.23-CUFF.25251.1	5737	6577	745	8106
common:TSS50887_+_69689024.23-CUFF.25251.1	4483	3617	705	6100
common:TSS50887_+_69689091.23-CUFF.25251.1	7080	6704	1055	11087
common:TSS50887_+_69689103.23-CUFF.25251.1	6345	5665	998	11296
common:TSS50887_+_69689114.23-CUFF.25251.1	6641	5988	921	11195
common:TSS50887_+_69689202.23-CUFF.25251.1	4850	5066	776	9291
common:TSS50887_-_69689147.23-CUFF.25251.1	10084	10273	1391	17534
common:TSS50887_-_69689168.23-CUFF.25251.1	7139	7214	1162	11768
common:TSS50887_-_69689214.23-CUFF.25251.1	8218	9172	928	16086
common:TSS51029_+_75887609.23-ENST00000604845	2464	3095	180	6130
common:TSS51029_+_75887612.23-ENST00000604845	4525	5388	671	8843
common:TSS51029_+_75887858.23-ENST00000604845	4510	4838	664	8406
common:TSS51029_+_75887888.23-ENST00000604845	4725	4673	731	6801
common:TSS51029_+_75887977.23-ENST00000604845	6258	6827	805	13041
common:TSS51029_-_75887590.23-ENST00000604845	6264	6404	878	9880
common:TSS51029_-_75887785.23-ENST00000604845	4890	4375	859	7870
common:TSS51029_-_75887852.23-ENST00000604845	7356	6644	1222	9732
