	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS100574_-_42882406.23-CUFF.47126.1,CUFF.47126.2	3849	3685	589	4912
common:TSS100576_+_42885409.23-CUFF.47126.5	2249	1759	313	5084
common:TSS100576_+_42885412.23-CUFF.47126.5	5306	4885	846	8762
common:TSS100576_+_42885452.23-CUFF.47126.5	11127	10724	1505	18226
common:TSS100576_+_42885490.23-CUFF.47126.5	2856	3392	328	7084
common:TSS100576_+_42885746.23-CUFF.47126.5	3423	3232	242	5094
common:TSS100576_+_42885753.23-CUFF.47126.5	5914	5281	693	9193
common:TSS100576_+_42885766.23-CUFF.47126.5	11258	10836	1694	19929
common:TSS100576_+_42885775.23-CUFF.47126.5	4413	4818	781	6515
common:TSS100576_-_42885405.23-CUFF.47126.5	3981	4221	506	7139
common:TSS100576_-_42885503.23-CUFF.47126.5	2494	2757	387	4536
common:TSS100611_+_48647551.23-P1P2	3254	2964	520	3972
common:TSS100611_+_48647802.23-P1P2	1490	1551	214	1818
common:TSS100611_+_48647844.23-P1P2	3877	4001	553	7039
common:TSS100611_+_48647852.23-P1P2	2383	2352	262	3662
common:TSS100611_+_48647888.23-P1P2	4522	4614	316	7055
common:TSS100611_-_48647789.23-P1P2	6994	7294	1041	10509
common:TSS100611_-_48647830.23-P1P2	4998	4782	851	7450
common:TSS100611_-_48647893.23-P1P2	5628	4943	755	7796
common:TSS100611_-_48647898.23-P1P2	6257	6694	1066	11301
common:TSS100611_-_48647906.23-P1P2	5479	5764	822	7055
common:TSS100726_+_55061621.23-CUFF.47259.1,CUFF.47259.2	9457	8761	1043	11463
common:TSS100726_+_55061715.23-CUFF.47259.1,CUFF.47259.2	6523	6700	1087	10132
common:TSS100726_+_55061742.23-CUFF.47259.1,CUFF.47259.2	6539	6456	986	10644
common:TSS100726_+_55061955.23-CUFF.47259.1,CUFF.47259.2	3454	3597	457	5784
common:TSS100726_+_55062011.23-CUFF.47259.1,CUFF.47259.2	8054	7497	1263	10848
common:TSS100726_+_55062079.23-CUFF.47259.1,CUFF.47259.2	6635	6473	1049	11002
common:TSS100726_+_55062101.23-CUFF.47259.1,CUFF.47259.2	8081	7473	1337	12287
common:TSS100726_-_55061689.23-CUFF.47259.1,CUFF.47259.2	4183	4710	442	6819
common:TSS100726_-_55062026.23-CUFF.47259.1,CUFF.47259.2	4774	5429	837	11644
common:TSS100726_-_55062105.23-CUFF.47259.1,CUFF.47259.2	8380	7691	1191	11374
common:TSS100904_+_64080723.23-ENST00000603538	3242	3850	465	5766
common:TSS100904_+_64080772.23-ENST00000603538	3348	3112	372	5006
common:TSS100904_+_64080808.23-ENST00000603538	4539	4981	601	8221
common:TSS100904_+_64080811.23-ENST00000603538	5209	5717	911	12710
common:TSS100904_+_64080849.23-ENST00000603538	5310	5878	525	9035
common:TSS100904_+_64080852.23-ENST00000603538	2288	2508	298	4262
common:TSS100904_+_64080997.23-ENST00000603538	2927	2748	361	4638
common:TSS100904_+_64081010.23-ENST00000603538	6089	6948	732	13060
common:TSS100904_+_64081027.23-ENST00000603538	3124	3852	379	7172
common:TSS100904_-_64080984.23-ENST00000603538	3999	3982	452	7916
common:TSS100996_+_67837705.23-P1P2	2972	2885	312	4301
common:TSS100996_+_67837708.23-P1P2	4420	4903	411	5753
common:TSS100996_+_67837714.23-P1P2	4850	4824	606	8235
common:TSS100996_+_67837719.23-P1P2	4659	4273	650	6836
common:TSS100996_+_67837753.23-P1P2	5673	5159	986	7765
common:TSS100996_-_67837526.23-P1P2	2583	2419	211	6142
common:TSS100996_-_67837640.23-P1P2	3933	3559	589	7485
common:TSS100996_-_67837690.23-P1P2	2096	2070	378	2515
common:TSS100996_-_67837722.23-P1P2	4410	3521	444	5882
common:TSS100996_-_67837734.23-P1P2	6880	6465	983	11077
common:TSS101427_+_92082250.23-P1P2	2883	3546	463	5975
common:TSS101427_+_92082285.23-P1P2	725	729	24	1553
common:TSS101427_+_92082335.23-P1P2	7955	7826	1074	13986
common:TSS101427_+_92082356.23-P1P2	4272	4371	417	5623
common:TSS101427_+_92082364.23-P1P2	5273	5546	867	8367
common:TSS101427_-_92082284.23-P1P2	763	827	176	1006
common:TSS101427_-_92082311.23-P1P2	2897	3426	393	4989
common:TSS101427_-_92082320.23-P1P2	3358	3655	427	5080
common:TSS101427_-_92082326.23-P1P2	4231	4381	586	7043
common:TSS101427_-_92082346.23-P1P2	2928	3069	373	5087
common:TSS101496_+_95805840.23-CUFF.47887.1,CUFF.47887.2	11176	11477	1580	21606
common:TSS101496_+_95805896.23-CUFF.47887.1,CUFF.47887.2	5868	5708	898	7351
common:TSS101496_+_95806059.23-CUFF.47887.1,CUFF.47887.2	8424	9125	1611	11972
common:TSS101496_+_95806110.23-CUFF.47887.1,CUFF.47887.2	3404	3798	450	5576
common:TSS101496_-_95805701.23-CUFF.47887.1,CUFF.47887.2	4928	5625	677	10870
common:TSS101496_-_95805909.23-CUFF.47887.1,CUFF.47887.2	5651	5054	906	9775
common:TSS101496_-_95805979.23-CUFF.47887.1,CUFF.47887.2	5920	5218	1122	7241
common:TSS101496_-_95806047.23-CUFF.47887.1,CUFF.47887.2	5679	5860	1178	10032
common:TSS101496_-_95806056.23-CUFF.47887.1,CUFF.47887.2	8273	8393	1381	11145
