	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH03531	CUFF.9453.1	0.6444179610229022	0.11667209492593532	10.0	10.0	CUFF.9453.1	0.08844517960161105	0.21518082574741904	10.0	10.0	CUFF.9453.1	0.32067029976862904	0.22136271345711575	10.0	10.0
LH03533	ENST00000503602	0.328062810403843	-0.06265595719427587	10.0	10.0	ENST00000503602	0.8387616205874862	0.16372769810611776	10.0	10.0	ENST00000503602	0.44474906244321544	0.02825378690111649	10.0	10.0
LH03535	CUFF.9497.4,CUFF.9497.5,ENST00000545629,ENST00000539259	0.2819715802282765	0.18416905413240778	10.0	10.0	CUFF.9497.4,CUFF.9497.5,ENST00000545629,ENST00000539259	0.09302930001821234	0.23968032093132854	10.0	10.0	CUFF.9497.4,CUFF.9497.5,ENST00000545629,ENST00000539259	0.04400741003937608	0.2468200582320331	10.0	10.0
LH03544	ENST00000540093	0.6049847458822404	0.019161990002882517	10.0	10.0	ENST00000540093	0.5228455431834098	0.11478105865654327	10.0	10.0	ENST00000540093	0.7149928652946189	0.1504028158820702	10.0	10.0
LH03545	ENST00000547042	0.41055070200704613	-0.1676240937342799	10.0	10.0	ENST00000547042	0.9049714257576685	0.014759692159810605	10.0	10.0	ENST00000547042	0.4852130229050886	-0.061738427237645103	10.0	10.0
LH03546	P1P2	0.8371479070464195	-0.20308698660718208	10.0	10.0	P1P2	0.03075966322412578	-0.26427819340413206	10.0	10.0	P1P2	0.068564820424169	-0.14762729241631922	10.0	10.0
LH03548	CUFF.9539.1,CUFF.9539.2	0.2719914369523354	-0.08726281271787802	10.0	10.0	CUFF.9539.1,CUFF.9539.2	0.14835457182846715	0.013640311559823462	10.0	10.0	CUFF.9539.1,CUFF.9539.2	0.07646348910304035	-0.15341165275554525	10.0	10.0
LH03549	CUFF.9545.1	0.19924603046311973	0.020108034541665043	10.0	10.0	CUFF.9545.1	0.18360445240438628	0.26567782086956643	10.0	10.0	CUFF.9545.1	0.09359746408660752	0.09908158809326646	10.0	10.0
LH03550	CUFF.9546.1	0.7742220365080623	-0.07942555680825308	10.0	10.0	CUFF.9546.1	0.07405887188330802	0.33484654291843996	10.0	10.0	CUFF.9546.1	0.33783702382724223	0.12387995965582743	10.0	10.0
LH03551															
LH03552															
LH03565	P1P2	0.8055275273160839	-0.05719062884022319	10.0	10.0	P1P2	0.38172129467602556	0.032688131084111255	10.0	10.0	P1P2	0.6476615666603844	-0.0671097373805714	10.0	10.0
LH03566	P1P2	0.9705708528830281	-0.0397156333465997	10.0	10.0	P1P2	0.9958064311591693	0.051627136184930256	10.0	10.0	P1P2	0.8277489858735754	0.0751810018278815	10.0	10.0
LH03569	CUFF.9680.1,CUFF.9680.2,CUFF.9680.4,CUFF.9680.6	0.14308475561239006	0.17593066151355483	10.0	10.0	CUFF.9680.1,CUFF.9680.2,CUFF.9680.4,CUFF.9680.6	0.3256811809419815	0.04727442882817127	10.0	10.0	CUFF.9680.1,CUFF.9680.2,CUFF.9680.4,CUFF.9680.6	0.7444184840538106	0.13244027227241098	10.0	10.0
LH03577	P1P2	0.5758831427296436	0.013705986098112985	10.0	10.0	P1P2	0.4247872651210436	0.0781453164635069	10.0	10.0	P1P2	0.9094846352640406	-0.004589569136123374	10.0	10.0
LH03579															
LH03584															
LH03592	CUFF.9753.1	0.20189417163832857	-0.127653326151537	10.0	10.0	CUFF.9753.1	0.39493476960986085	0.07837370220412632	10.0	10.0	CUFF.9753.1	0.12886097073583538	-0.09936784807700412	10.0	10.0
LH03599	CUFF.9826.10,CUFF.9826.11,CUFF.9826.12,CUFF.9826.13,CUFF.9826.14	0.40458220995819083	0.18601815659992604	10.0	10.0	CUFF.9826.10,CUFF.9826.11,CUFF.9826.12,CUFF.9826.13,CUFF.9826.14	0.4309121923359327	0.030613572634013254	10.0	10.0	CUFF.9826.10,CUFF.9826.11,CUFF.9826.12,CUFF.9826.13,CUFF.9826.14	0.3579403989347768	0.12567077285066594	10.0	10.0
LH03600	P1P2	0.052534254126227614	-0.2921598924975876	10.0	10.0	P1P2	0.1772533627242101	0.1759934335959701	10.0	10.0	P1P2	0.5913912009244918	-0.04608229252629268	10.0	10.0
LH03601	CUFF.9840.1	0.578969350852476	0.12633516063101113	10.0	10.0	CUFF.9840.1	0.1018225542781901	0.32072320350127664	10.0	10.0	CUFF.9840.1	0.16297588267662366	0.23329799285905528	10.0	10.0
LH03626	CUFF.9992.1	0.06564323084616344	-0.3850960502014371	10.0	10.0	CUFF.9992.1	0.8812243977039357	-0.1480119019622784	10.0	10.0	CUFF.9992.1	0.10828580882482924	-0.2719469876905991	10.0	10.0
LH03629	CUFF.10008.1,CUFF.10008.2	0.8880333233792139	2.8447963805901717e-05	10.0	10.0	CUFF.10008.1,CUFF.10008.2	0.9658626324573928	0.050828312259914986	10.0	10.0	CUFF.10008.1,CUFF.10008.2	0.9226273549570496	0.006568680555561313	10.0	10.0
LH03631	P1P2	0.2465701639708806	-0.160393033789877	10.0	10.0	P1P2	0.7921305393463745	-0.07578905637410371	10.0	10.0	P1P2	0.31993708308185687	-0.077519048587759	10.0	10.0
LH03636	P1P2	0.9047114078553127	0.024439233280353995	10.0	10.0	P1P2	0.31111566799230106	-0.157456819127318	10.0	10.0	P1P2	0.44385236426220864	-0.11012047554640132	10.0	10.0
LH03644	CUFF.10058.1,CUFF.10058.2	0.5534916918721724	-0.08793409510640866	10.0	10.0	CUFF.10058.1,CUFF.10058.2	0.4668802683252825	0.09032422707144656	10.0	10.0	CUFF.10058.1,CUFF.10058.2	0.21776046732479826	-0.07142300449324245	10.0	10.0
LH03645	CUFF.10058.3,CUFF.10058.4,CUFF.10058.5	0.5676914518147651	-0.11028027201359332	10.0	10.0	CUFF.10058.3,CUFF.10058.4,CUFF.10058.5	0.4559183946896961	-0.013251552436695763	10.0	10.0	CUFF.10058.3,CUFF.10058.4,CUFF.10058.5	0.14766296445455548	-0.04941343202193798	10.0	10.0
LH03649	P1P2	0.6937514547126556	-0.006960409734889576	10.0	10.0	P1P2	0.8469855944212699	-0.012589547957848493	10.0	10.0	P1P2	0.7194936737576967	0.07436961649904403	10.0	10.0
LH03650	P1P2	0.8383244373691556	0.1550216992550674	10.0	10.0	P1P2	0.6133371606438177	0.06326354361327276	10.0	10.0	P1P2	0.5955588674288237	0.07679325565516268	10.0	10.0
LH03666	CUFF.10222.2	0.07254576722730038	-0.22236382875962793	10.0	10.0	CUFF.10222.2	0.09995094801532337	-0.18028878021985206	10.0	10.0	CUFF.10222.2	0.010448284187437153	-0.1688354402638236	10.0	10.0
LH03670	CUFF.10285.1	0.0040551760260839065	-0.5088290160078431	10.0	10.0	CUFF.10285.1	0.48641059427017086	-0.024329786919654022	10.0	10.0	CUFF.10285.1	0.13000264260724984	-0.2669289455243557	10.0	10.0
LH03671	P1P2	0.9190407279867756	-0.24652410370395192	10.0	10.0	P1P2	0.447792907608374	-0.43452372215828916	10.0	10.0	P1P2	0.660702495282838	-0.278589885502278	10.0	10.0
LH03674	P1P2	0.4071337545415864	-0.01586053780641068	10.0	10.0	P1P2	0.6196788492055352	0.06931981185472973	10.0	10.0	P1P2	0.5697341372556088	0.016895636887087315	10.0	10.0
LH03684	CUFF.10395.1	0.09300976012650068	-0.19394549911132083	10.0	10.0	CUFF.10395.1	0.03844605337586067	0.20190897262406837	10.0	10.0	CUFF.10395.1	0.051986300260897754	-0.07175900667781611	10.0	10.0
LH03688	CUFF.10424.1	0.616595179057635	0.01605801994768995	10.0	10.0	CUFF.10424.1	0.04317496813300394	0.05822014378075379	10.0	10.0	CUFF.10424.1	0.12735087788610666	0.09572550825416837	10.0	10.0
LH03690	ENST00000550468	0.005278751972023197	0.30072327334019183	10.0	10.0	ENST00000550468	0.04104878272561427	0.06912973286611479	10.0	10.0	ENST00000550468	0.003865974603855132	0.2382679991454731	10.0	10.0
LH03691	CUFF.10438.2	0.07823091763542389	-0.21946185403068677	10.0	10.0	CUFF.10438.2	0.24238001561195266	-0.1464631456750901	10.0	10.0	CUFF.10438.2	0.03392746626430169	-0.14670506488564275	10.0	10.0
LH03703	CUFF.10528.2	0.3401189108869025	0.0798291590367712	10.0	10.0	CUFF.10528.2	0.7269835925088697	0.05888717825370412	10.0	10.0	CUFF.10528.2	0.4465455553289239	0.10873285261778765	10.0	10.0
LH03706															
LH03707															
LH03708	P1P2	0.09126440257464576	0.4713681576954079	10.0	10.0	P1P2	0.9706515040890267	-0.0052160577361148415	10.0	10.0	P1P2	0.13230952318916672	0.2092620123166611	10.0	10.0
LH03712	ENST00000549388	0.7449881933264892	-0.09677121760435342	10.0	10.0	ENST00000549388	0.4568263183849114	0.08053560429641797	10.0	10.0	ENST00000549388	0.9945934616404456	-0.07389749127190011	10.0	10.0
LH03714															
LH03715	P1P2	0.3236141388953707	-0.24827275049045505	10.0	10.0	P1P2	0.4595561761452954	-0.10375670300362123	10.0	10.0	P1P2	0.21888684518211565	-0.13632868093123104	10.0	10.0
LH03716	ENST00000602306	0.24169248695001566	0.10489543690986898	10.0	10.0	ENST00000602306	0.5006267656252898	-0.038355923105952795	10.0	10.0	ENST00000602306	0.5071326152833715	-0.03231944936286029	10.0	10.0
LH03717	P1P2	0.9070976021643626	-0.06689645162054339	10.0	10.0	P1P2	0.3624168391566849	0.04142297667484891	10.0	10.0	P1P2	0.9059043988267226	0.07583254584225987	10.0	10.0
LH03719	P1P2	0.2963563728742875	0.2470988707829492	10.0	10.0	P1P2	0.3301359422459579	0.1558037572008694	10.0	10.0	P1P2	0.12181037932735321	0.13034836670108366	10.0	10.0
LH03722	CUFF.10637.21,CUFF.10637.27,CUFF.10637.26	0.602935717102504	-0.3548413014664067	9.0	9.0	CUFF.10637.21,CUFF.10637.27,CUFF.10637.26	0.24480844870600416	-0.08753683521622883	10.0	10.0	CUFF.10637.21,CUFF.10637.27,CUFF.10637.26	0.7225930184347017	0.10939032451532633	9.0	9.0
LH03724	CUFF.10637.36,ENST00000424518,ENST00000455246	0.014803426694837916	-0.22556369609371596	10.0	10.0	CUFF.10637.36,ENST00000424518,ENST00000455246	0.0873280683176574	-0.06890443007055444	10.0	10.0	CUFF.10637.36,ENST00000424518,ENST00000455246	0.0071747421871181626	-0.18201877520371826	10.0	10.0
LH03725	CUFF.10637.49	0.6793540758070735	-0.005499972792185541	10.0	10.0	CUFF.10637.49	0.6746901410340889	0.30396089080562566	10.0	10.0	CUFF.10637.49	0.7444184840538106	0.044878778576962354	10.0	10.0
LH03729	P1P2	0.04353529670277644	-0.24415261573248234	10.0	10.0	P1P2	0.6978794845623677	0.09631920115332569	10.0	10.0	P1P2	0.28535280954737496	-0.08818024681465238	10.0	10.0
LH03732															
LH03733	CUFF.10575.1,CUFF.10575.2	0.24780028647844654	-0.28747697645255466	10.0	10.0	CUFF.10575.1,CUFF.10575.2	0.5697727328958397	-0.033143189471201734	10.0	10.0	CUFF.10575.1,CUFF.10575.2	0.23391183388737624	-0.07810488528492303	10.0	10.0
LH03734	ENST00000504278,ENST00000505661	0.7296559105685123	0.0917698046847996	10.0	10.0	ENST00000504278,ENST00000505661	0.9646656001476821	-0.14774253751899813	10.0	10.0	ENST00000504278,ENST00000505661	0.7592755671571003	-0.008971662805735877	10.0	10.0
LH03739	ENST00000554022	0.4011950691343009	-0.11645704651794586	10.0	10.0	ENST00000554022	0.8095397769180949	0.068029396597778	10.0	10.0	ENST00000554022	0.9393845854559572	0.05350148293075941	10.0	10.0
LH03742	ENST00000548595	0.8008686288097899	0.12458700815133454	10.0	10.0	ENST00000548595	0.7564871057802001	0.05722140881072393	10.0	10.0	ENST00000548595	0.8832769177951509	0.09463338604988876	10.0	10.0
LH03745	CUFF.10622.3	0.031000044790556177	-0.22262656580517762	10.0	10.0	CUFF.10622.3	0.32642091406666185	0.25214592178980727	10.0	10.0	CUFF.10622.3	0.09068850252850168	-0.0365522103338111	10.0	10.0
LH03749	P1P2	0.9897878504468736	0.029450424875854652	10.0	10.0	P1P2	0.12503775009564896	0.28008934989739503	10.0	10.0	P1P2	0.1589283911771756	0.10786476318460568	10.0	10.0
LH03764	ENST00000610219	0.39113628875520035	-0.21933681664971263	10.0	10.0	ENST00000610219	0.716861910468721	0.06239845141664521	10.0	10.0	ENST00000610219	0.37390607115281294	-0.018267770820912202	10.0	10.0
LH03770	P1P2	0.7696139143362531	0.09330107822718137	10.0	10.0	P1P2	0.21400016053878557	0.1887273107643739	10.0	10.0	P1P2	0.5275913647234414	0.19186399756937464	10.0	10.0
LH03790															
LH03797	CUFF.10829.1	0.330621802209349	0.21110099598554766	9.0	9.0	CUFF.10829.1	0.2557424173807452	-0.28654600014101944	9.0	9.0	CUFF.10829.1	0.8209374837557047	-0.0699046325018699	9.0	9.0
LH03798	P1P2	0.5285759844798716	0.15648440704656832	10.0	10.0	P1P2	0.22585490354417792	0.06606431705974733	10.0	10.0	P1P2	0.28603233145225415	0.006845285631319291	10.0	10.0
LH03804	P1P2	0.11265532827010813	0.41706297617621163	10.0	10.0	P1P2	0.5697727328958397	0.2623134485721997	10.0	10.0	P1P2	0.1955814023155742	0.3582982853423952	10.0	10.0
LH03805	CUFF.10857.1	0.778838127480441	-0.18211816083620413	10.0	10.0	CUFF.10857.1	0.25406694441595057	-0.05958002858430011	10.0	10.0	CUFF.10857.1	0.48804270118532955	0.045527175773705436	10.0	10.0
LH03808	CUFF.10859.1	0.2880774531678202	0.2517025181168429	10.0	10.0	CUFF.10859.1	0.757629294230109	0.11366455343995611	10.0	10.0	CUFF.10859.1	0.3555830933955253	0.058263572813951676	10.0	10.0
LH03810	P1P2	0.8300964602796918	0.13462742871310335	10.0	10.0	P1P2	0.757629294230109	0.060010274400352254	10.0	10.0	P1P2	0.5717803226315044	0.06939828381730732	10.0	10.0
LH03821	P1P2	0.6848780483547583	-0.00814253677978031	10.0	10.0	P1P2	0.8859659669002472	-0.08621323675253478	10.0	10.0	P1P2	0.6444179610229022	-0.03892910217396678	10.0	10.0
LH03822															
LH03847	CUFF.11166.1	0.6358015142017821	0.032800321803380224	10.0	10.0	CUFF.11166.1	0.9061611919327648	0.10907376813452148	10.0	10.0	CUFF.11166.1	0.9118724857916708	0.07381044685762429	10.0	10.0
LH03848	ENST00000547845	0.746698164707282	0.04703779063306235	10.0	10.0	ENST00000547845	0.6260489595563017	0.06347212623900368	10.0	10.0	ENST00000547845	0.7194936737576967	-0.059571616428070885	10.0	10.0
LH03850															
LH03852	CUFF.11227.1	0.24229845558455154	-0.21843397956358426	10.0	10.0	CUFF.11227.1	0.6091253488830912	-0.09190605960327265	10.0	10.0	CUFF.11227.1	0.23748056348848912	-0.11573257873263998	10.0	10.0
LH03869															
LH03877	P1P2	0.09097608610283685	-0.27707358740319477	10.0	10.0	P1P2	0.15785254327544573	-0.07545698986653256	10.0	10.0	P1P2	0.05420716040718184	-0.2194286621840252	10.0	10.0
LH03880	CUFF.11468.1	0.1386162581416499	-0.27973932414916897	10.0	10.0	CUFF.11468.1	0.6692131020810217	-0.0007538466544401712	10.0	10.0	CUFF.11468.1	0.5707567932367803	-0.18675349777247796	10.0	10.0
LH03890	P1P2	0.6261666485352286	-0.03240512974127141	10.0	10.0	P1P2	0.2674339011029526	-0.01876659285444458	10.0	10.0	P1P2	0.4528657035798732	-0.07595920808306611	10.0	10.0
LH03891	CUFF.11552.1,CUFF.11552.5,ENST00000456429,ENST00000428207	0.018331634055114232	0.1700245647935081	10.0	10.0	CUFF.11552.1,CUFF.11552.5,ENST00000456429,ENST00000428207	0.04286564367505707	0.2323874011000212	10.0	10.0	CUFF.11552.1,CUFF.11552.5,ENST00000456429,ENST00000428207	0.0045226255881008915	0.17762631222642714	10.0	10.0
LH03893	CUFF.11538.1	0.046103477447915465	-0.16457835228770867	10.0	10.0	CUFF.11538.1	0.8599423816029174	-0.03644263062183884	10.0	10.0	CUFF.11538.1	0.19506194373862817	-0.13524696190048488	10.0	10.0
LH03897	ENST00000552525	0.2746288529591232	-0.03260036234198669	10.0	10.0	ENST00000552525	0.4406398573633429	0.03123271229372453	10.0	10.0	ENST00000552525	0.4601501873218553	-0.19297078924136937	10.0	10.0
LH03905	CUFF.11603.1	0.28332079681788847	0.19486050026023885	10.0	10.0	CUFF.11603.1	0.23638320666961954	0.04946926855684355	10.0	10.0	CUFF.11603.1	0.11929016495047583	0.05683549102477608	10.0	10.0
LH03907	CUFF.11646.1	0.6804575054718318	0.29772116709540586	10.0	10.0	CUFF.11646.1	0.02029505411969602	0.318593361027384	10.0	10.0	CUFF.11646.1	0.020033343617608546	0.26898937415896457	10.0	10.0
LH03916	P1P2	0.09271702081936051	0.26259057635219335	10.0	10.0	P1P2	0.9802322500113091	-0.06996096151885575	10.0	10.0	P1P2	0.28603233145225415	0.15237132128290634	10.0	10.0
LH03917	P1P2	0.9286085284973046	0.13850601205271731	10.0	10.0	P1P2	0.9994009160351119	0.05099480366574649	10.0	10.0	P1P2	0.9933920336437031	0.025223861805416883	10.0	10.0
LH03919	CUFF.11695.1	0.4183641703611324	0.0511222462259933	9.0	9.0	CUFF.11695.1	0.4362026686044329	0.2905912181143823	10.0	10.0	CUFF.11695.1	0.19195190424803998	0.00045256875105202193	9.0	9.0
LH03922	ENST00000544939	0.3370785854125141	0.21742594964089268	10.0	10.0	ENST00000544939	0.2145542928713532	0.1798572572264179	10.0	10.0	ENST00000544939	0.15235229159724928	0.1543871291269905	10.0	10.0
LH03927	P1P2	0.17654683184259257	0.3331594264318626	10.0	10.0	P1P2	0.15090054755423934	0.26667423848577165	10.0	10.0	P1P2	0.009451864629578451	0.16016242527076213	10.0	10.0
LH03930	P1P2	0.6197785421550505	0.01992414752929017	10.0	10.0	P1P2	0.4541055961143524	0.11813787307644362	10.0	10.0	P1P2	0.377151299322356	0.03268568277580095	10.0	10.0
LH03931	P2	0.4994498879557844	0.16576578635771713	10.0	10.0	P2	0.3011794872175123	0.4976709459278232	10.0	10.0	P2	0.0990218435983599	0.15561743578286577	10.0	10.0
LH03934	CUFF.11741.1,CUFF.11741.2,CUFF.11741.4,CUFF.11741.5,CUFF.11741.8,CUFF.11741.10,CUFF.11741.11,CUFF.11741.13,CUFF.11741.14,CUFF.11741.16,CUFF.11741.17,CUFF.11741.19,CUFF.11741.9	0.5565197979159049	0.03350569630962685	10.0	10.0	CUFF.11741.1,CUFF.11741.2,CUFF.11741.4,CUFF.11741.5,CUFF.11741.8,CUFF.11741.10,CUFF.11741.11,CUFF.11741.13,CUFF.11741.14,CUFF.11741.16,CUFF.11741.17,CUFF.11741.19,CUFF.11741.9	0.3522202571622166	0.20325355901503506	10.0	10.0	CUFF.11741.1,CUFF.11741.2,CUFF.11741.4,CUFF.11741.5,CUFF.11741.8,CUFF.11741.10,CUFF.11741.11,CUFF.11741.13,CUFF.11741.14,CUFF.11741.16,CUFF.11741.17,CUFF.11741.19,CUFF.11741.9	0.617655503386056	-0.00675570207441296	10.0	10.0
LH03938															
LH03940	ENST00000543217,ENST00000542427	0.6993188280806348	-0.10174757954133096	10.0	10.0	ENST00000543217,ENST00000542427	0.6768858114347055	0.060382198274562926	10.0	10.0	ENST00000543217,ENST00000542427	0.48051670171419714	-0.05210281252091068	10.0	10.0
LH03941	P1P2	0.8043621483082772	-0.12996744190803458	10.0	10.0	P1P2	0.6112296472576112	0.17855437172570873	10.0	10.0	P1P2	0.6401036712507924	0.07738901994913615	10.0	10.0
LH03943	ENST00000602688	0.6293712929666186	0.08131934506061718	10.0	10.0	ENST00000602688	0.9802322500113091	0.10513456803879313	10.0	10.0	ENST00000602688	0.7604221880602289	0.12813623380188696	10.0	10.0
LH03946	CUFF.11755.1	0.4510548105755168	0.18047277400357462	10.0	10.0	CUFF.11755.1	0.9168782480764537	-0.03552826904830641	10.0	10.0	CUFF.11755.1	0.6454984148468643	0.08878348944099979	10.0	10.0
LH03947	CUFF.11768.1	0.44340439912011775	0.11448619534033729	10.0	10.0	CUFF.11768.1	0.0585753502802048	0.04099678114551194	10.0	10.0	CUFF.11768.1	0.15715411641377486	0.11196572798393854	10.0	10.0
LH03949	CUFF.11769.1	0.15235229159724928	-0.06026960724987848	10.0	10.0	CUFF.11769.1	0.37846079456278203	0.04256787914510613	10.0	10.0	CUFF.11769.1	0.4638168728833564	0.033889566709867903	10.0	10.0
LH03951	CUFF.11770.1	0.6325829316612809	0.09660671314313707	10.0	10.0	CUFF.11770.1	0.8705716738094788	0.0999966450724356	10.0	10.0	CUFF.11770.1	0.724004228693555	0.07860474496416804	10.0	10.0
LH03961	CUFF.11799.1	0.10795532613806859	-0.15547234419947917	10.0	10.0	CUFF.11799.1	0.08788519246426807	-0.16393442998814983	10.0	10.0	CUFF.11799.1	0.019165985801238187	-0.0820411025057568	10.0	10.0
LH03974	ENST00000509760	0.6283022985373978	0.05675789755728917	10.0	10.0	ENST00000509760	0.6007405852558807	0.09650022967195648	10.0	10.0	ENST00000509760	0.8207158703585795	0.017852632891347628	10.0	10.0
LH03975	P1P2	0.3982060676558423	-0.11061200466363551	17.0	17.0	P1P2	0.8262490921915651	0.29692069519230163	17.0	17.0	P1P2	0.35332304302581286	0.08770713065547879	17.0	17.0
LH03988															
LH03989	ENST00000542422	0.8595613173769492	0.08328286062544446	10.0	10.0	ENST00000542422	0.19165065751582677	-0.025385848635349224	10.0	10.0	ENST00000542422	0.6519967926195203	-0.0527068067257021	10.0	10.0
LH03991	CUFF.11962.1	0.9615680834528775	0.08844779116697049	10.0	10.0	CUFF.11962.1	0.8552262666513617	0.022215792048165168	10.0	10.0	CUFF.11962.1	0.9945934616404456	0.13552852244929428	10.0	10.0
LH03997	CUFF.11995.1,CUFF.11995.2,CUFF.11995.4	0.03219235270408205	-0.13664281155834693	10.0	10.0	CUFF.11995.1,CUFF.11995.2,CUFF.11995.4	0.5955267379248003	-0.0013201946944845777	10.0	10.0	CUFF.11995.1,CUFF.11995.2,CUFF.11995.4	0.11541259927805943	-0.09095572739271336	10.0	10.0
LH03998	CUFF.11993.1	0.16479952315963164	0.18222898364327192	10.0	10.0	CUFF.11993.1	0.6845922039347447	0.003805295343079662	10.0	10.0	CUFF.11993.1	0.6585217027130248	0.1229193742066797	10.0	10.0
LH04004	P1P2	0.812528788859244	0.10042994500337481	10.0	10.0	P1P2	0.8328980608761971	0.11463185114170105	10.0	10.0	P1P2	0.6771492782925297	0.13682431209849835	10.0	10.0
LH04005	CUFF.12099.1	0.12886097073583538	0.2885820822609276	10.0	10.0	CUFF.12099.1	0.9204540574374342	0.027025857203617037	10.0	10.0	CUFF.12099.1	0.25590078921270687	0.0779195557552641	10.0	10.0
LH04010	CUFF.12136.1	0.28264564282106963	-0.18985249014874003	10.0	10.0	CUFF.12136.1	0.7462316170761056	0.04802973902665669	10.0	10.0	CUFF.12136.1	0.4528657035798732	-0.058334062698140836	10.0	10.0
LH04017	P1P2	0.7615693355678786	0.062002440960683435	10.0	10.0	P1P2	0.22071812280018666	0.11169512912641406	10.0	10.0	P1P2	0.37633836856625347	0.03517597692604147	10.0	10.0
LH04024	CUFF.12348.11	0.6293712929666186	0.23573750178087094	10.0	10.0	CUFF.12348.11	0.11398801435674771	0.25969756917573295	10.0	10.0	CUFF.12348.11	0.22229107018038974	0.2314068819275236	10.0	10.0
LH04025	CUFF.12348.14	0.7004342569860245	0.3542732596581835	10.0	10.0	CUFF.12348.14	0.8907116223618632	-0.029124011631108362	10.0	10.0	CUFF.12348.14	0.885654605605247	0.1705792683608712	10.0	10.0
LH04039	CUFF.12421.2	0.504244336212419	-0.12747448225160096	10.0	10.0	CUFF.12421.2	0.16780414136462007	0.09344715052398848	10.0	10.0	CUFF.12421.2	0.2949656082674902	-0.09018673075128632	10.0	10.0
LH04042	CUFF.12540.10	0.10566425206342579	-0.12427322954676752	10.0	10.0	CUFF.12540.10	0.915686681604892	0.053915968762320986	10.0	10.0	CUFF.12540.10	0.12253803445369972	-0.04404490423062063	10.0	10.0
LH04044	P1P2	0.5032835083325573	-0.04123310672024924	10.0	10.0	P1P2	0.5996961667443134	0.1312204892719927	10.0	10.0	P1P2	0.7273934551016381	-0.06092085344437533	10.0	10.0
LH04049	P1P2	0.19610187424388725	-0.342888457678508	10.0	10.0	P1P2	0.7101415169994575	0.018698693478101342	10.0	10.0	P1P2	0.22863027790595059	-0.10171627070954707	10.0	10.0
LH04055	CUFF.12587.1	0.377151299322356	0.06559471460587396	10.0	10.0	CUFF.12587.1	0.3916057392736787	0.25064975999810674	10.0	10.0	CUFF.12587.1	0.4071337545415864	0.185518548183678	10.0	10.0
LH04056															
LH04057	ENST00000610057	0.7846192126718922	-0.06374057362797629	10.0	10.0	ENST00000610057	0.026199712520357545	0.29443454065068125	10.0	10.0	ENST00000610057	0.0867386072934179	0.11873891194141928	10.0	10.0
LH04059	P1P2	0.6826664162360034	-0.13836368537084812	10.0	10.0	P1P2	0.7519236927749837	0.034830492450901494	10.0	10.0	P1P2	0.8560143393418445	-0.11383365791832639	10.0	10.0
LH04067	P1P2	0.12886097073583538	0.42175608405068327	10.0	10.0	P1P2	0.7932880402466149	0.18179079427266517	10.0	10.0	P1P2	0.37796531188691473	0.3937505915165264	10.0	10.0
LH04071	ENST00000422483	0.08591053929260199	0.23386044434729944	10.0	10.0	ENST00000422483	0.5636717569724403	0.2993630888238147	10.0	10.0	ENST00000422483	0.16297588267662366	0.25029871034089624	10.0	10.0
LH04072	CUFF.12722.3	0.13741643004801044	-0.1464793198338753	10.0	10.0	CUFF.12722.3	0.175811244167408	0.15048337901481088	10.0	10.0	CUFF.12722.3	0.6993188280806348	-0.013809865032664634	10.0	10.0
LH04073	CUFF.12726.1	0.4529574261601861	-0.14297303463560782	9.0	9.0	CUFF.12726.1	0.3687826166416148	-0.02052257573051676	10.0	10.0	CUFF.12726.1	0.16005327388135326	-0.11409492766035793	9.0	9.0
LH04078															
LH04079	CUFF.12736.1	0.751264163307286	0.17181293964115493	10.0	10.0	CUFF.12736.1	0.13970158416209688	0.1661180414466173	10.0	10.0	CUFF.12736.1	0.4088401034429944	0.08873612674350673	10.0	10.0
LH04086	CUFF.12768.2	0.28062672829683155	0.20282840479766806	10.0	10.0	CUFF.12768.2	0.3687826166416148	-0.047901087644860445	10.0	10.0	CUFF.12768.2	0.26225586104784704	0.08773150851723803	10.0	10.0
LH04102	CUFF.12901.1,CUFF.12901.3	0.5032835083325573	0.19731775608789168	10.0	10.0	CUFF.12901.1,CUFF.12901.3	0.2739661317480554	-0.13858199701987609	10.0	10.0	CUFF.12901.1,CUFF.12901.3	0.6661670624795697	0.019630242408469754	10.0	10.0
LH04103	CUFF.12960.2	0.47771084213257	-0.07661231875799822	10.0	10.0	CUFF.12960.2	0.7112600350471325	0.08942347493803153	10.0	10.0	CUFF.12960.2	0.5494668156404228	0.0013324245155755348	10.0	10.0
LH04104	TUCPT_00000593	0.008243197772559186	-0.22633506978732296	10.0	10.0	TUCPT_00000593	0.9168782480764537	0.06212151705461567	10.0	10.0	TUCPT_00000593	0.08563594033195336	-0.16276856323295813	10.0	10.0
