		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts												
LH00103	ENST00000457898	0.7445001041306272	0.19893821276612522	10	10	0.03940752178011587	0.2326359244128764	10	10	0.23428110864059526	0.25568809805401566	10	10
LH00104	CUFF.478.2	0.8459169012326594	-0.006561098003562925	10	10	0.7260601640312396	-0.03704201037606106	10	10	0.9130216922050698	-0.030275766811313897	10	10
LH00105	CUFF.480.1	0.9763434493937466	-0.032838150113266386	10	10	0.043965637545212904	-0.15789666312806114	10	10	0.1307796172975911	-0.09824342170977142	10	10
LH00107	CUFF.503.1	0.4919496796661297	0.18943829144798252	10	10	0.7765124143329791	0.06998348588133964	10	10	0.21900631789031821	0.07212936931062715	10	10
LH00108	CUFF.503.2	0.9625711857685306	0.021178414178501765	10	10	0.18663961638365112	0.13079639588869385	10	10	0.3934589367142892	0.030890854694687858	10	10
LH00109	ENST00000562878	0.13580494339036198	-0.1221479218589681	10	10	0.5929088362582169	-0.11340093534215524	10	10	0.1329967631986423	-0.09077772622530529	10	10
LH00112	CUFF.490.1	0.6731931058426223	-0.07947530420633535	10	10	0.05471412208830003	0.13855410640534635	10	10	0.16088690301928943	0.03781660544270298	10	10
LH00118	CUFF.510.1,CUFF.510.3	0.9259108163293135	-0.02919215223052955	10	10	0.19305854621008778	0.05016331396397853	10	10	0.41192741093613316	0.04692367136876214	10	10
LH00122	CUFF.552.1	0.276865121683345	0.03149307662223094	10	10	0.12668746553207658	-0.15470153887969282	10	10	0.08760596407049259	-0.016280556438131005	10	10
LH00123	P1P2	0.0485656448331236	0.11805099520339613	10	10	0.279672726657031	0.08777751683082524	10	10	0.032085298480195965	0.16269714761333845	10	10
LH00124	CUFF.555.1	0.004734534381519691	0.3113818679204912	10	10	0.07074168044467381	-0.0673180365314269	10	10	0.14499788683673193	0.04844588611550494	10	10
LH00129	TUCPT_00000016,CUFF.641.1	0.9825631373792412	0.02311141707239844	9	9	0.962571185719993	0.04417546241453224	10	10	0.7455347328288684	0.0221740328536919	9	9
LH00130	P1P2	0.44825835204747333	0.011013960456185079	10	10	0.9199662762191204	0.2591753359413086	10	10	0.9878130896722191	0.058597581937734344	10	10
LH00131	CUFF.602.1	0.5587362281791837	-0.08704828775784913	10	10	0.5150877532106907	0.08498576699458389	10	10	0.9249172959913186	0.050007223862717255	10	10
LH00138	CUFF.644.2,CUFF.644.3	0.15865669859748865	-0.18070422194664734	8	8	0.23216602148179144	-0.08535261617243235	8	8	0.04794626302362724	-0.12979071412065224	8	8
LH00139	P1P2			0	0			0	0			0	0
LH00142	P1P2	0.3041823072156864	-0.05803722580746279	10	10	0.8274771465862676	-0.02171554667239021	10	10	0.37986416446986393	-0.04859726007821632	10	10
LH00143	ENST00000610135	0.7011509524036902	0.11988603804218123	10	10	0.7490789816169449	-0.20528378163269986	10	10	0.8232589860606692	-0.06442695115829725	10	10
LH00147	CUFF.674.1	0.08109450787314422	-0.11457761836261034	10	10	0.980935974786386	-0.09246215884081836	10	10	0.23428110864059526	-0.07412586784405427	10	10
LH00149	CUFF.683.2	0.8705578486025936	-0.06604351017443083	10	10	0.2971907825106894	0.15384233783071954	10	10	0.6178675287282724	0.13482747039740473	10	10
LH00150	CUFF.678.1	0.5308213595171565	-0.06284399875817413	10	10	0.10635040672686509	-0.09694313634570773	10	10	0.13434095141729907	-0.15383258481750287	10	10
LH00151	CUFF.678.3	0.9850697923182153	-0.07863267525216845	10	10	0.13946734938871289	0.0932747567478008	10	10	0.31077328056071185	-0.0411083841701037	10	10
LH00152	CUFF.691.2	0.497407678053882	-0.07878279393103435	10	10	0.25799239306669186	0.13918226126673217	10	10	0.9066242578424777	-0.0278832547667283	10	10
LH00153	CUFF.690.1	0.2876889121936076	-0.4292200758473817	10	10	0.5323324178711133	-0.3593279112484176	10	10	0.7602106196614418	-0.3315678251171645	10	10
LH00154	CUFF.690.2	0.8100245591640587	-0.058202837285688425	10	10	0.2460737569912682	0.03137416948981583	10	10	0.43360334490438024	0.0377198800290025	10	10
LH00159	CUFF.763.2	0.6239291893131362	0.06845768956566796	10	10	0.5132309699244404	0.2192873118457839	10	10	0.7418435039414046	0.18199150196478375	10	10
LH00161	CUFF.745.1	0.29639103813985457	-0.01269250415158583	10	10	0.589726869452355	-0.15964593357968138	10	10	0.3083034353231787	-0.11264328856331773	10	10
LH00162	CUFF.756.2	0.43679840970152695	0.10212123875564087	10	10	0.39299880591744685	0.028644972092146687	10	10	0.9258330725747559	-0.028571154789894613	10	10
LH00169	ENST00000602607	0.22737288229059383	0.16426954439026323	10	10	0.49303870171196573	0.18230812314354927	10	10	0.43191290500550517	0.31129284794198897	10	10
LH00172	P1P2	0.8378103741105019	0.18220874818926613	10	10	0.06360720880607747	-0.17009574406903916	10	10	0.5209885815719837	-0.030528832234446596	10	10
LH00173	P1P2	0.30662769626122066	0.09775604800756134	10	10	0.7438467108050575	0.10740087499135542	10	10	0.21428988009354688	0.1164033680938119	10	10
LH00174	P1P2	0.7543228290257051	-0.023502805140709192	10	10	0.760893573390265	-0.05551473672741971	10	10	0.8865593441780442	0.06644850693155682	10	10
LH00175	CUFF.848.2	0.31542762910792	0.1938886269908999	10	10	0.2953269527296194	0.19498527631090679	10	10	0.08198387349405452	0.1307345936838713	10	10
LH00176	P1P2	0.4985031346218284	0.06658085698407044	10	10	0.516948019421281	-0.09177852858513408	10	10	0.7871265801797999	0.01496707134072757	10	10
LH00177	CUFF.854.1	0.5169480199652159	0.09705874574804259	10	10	0.6498185798273098	0.07176295867974265	10	10	0.3417195688016639	0.06643280754320688	10	10
LH00178	P1P2	0.52254962662304	-0.06940866020399795	10	10	0.4167006134865776	-0.03857634017194247	10	10	0.9882729393150362	-0.04152550405018165	10	10
LH00179	CUFF.865.1	0.8020210308636594	-0.10703939167854465	9	9	0.9395085842846729	0.03356758174883138	9	9	0.8830744849509687	-0.03363952454174826	9	9
LH00185	NLT_00000046	0.5308213595171565	-0.1396350601380816	10	10	0.48905193983688633	-0.01775452438536876	10	10	0.519492510543758	-0.09281916830411453	10	10
LH00190	P1P2	0.001588845318024402	-0.27720680204054265	10	10	0.4236720143542708	0.09043733088922562	10	10	0.1219183497586986	-0.17458432291140827	10	10
LH00192	CUFF.925.1	0.43003787809400595	-0.1651038029269337	10	10	0.34047437552208415	-0.06032314812042446	10	10	0.9175947660752615	0.012895100701111715	10	10
LH00193	ENST00000515055	0.33323256677363755	-0.10703423794504763	10	10	0.4811307910980902	0.05819176118793574	10	10	0.16558448503851864	-0.02213756088009372	10	10
LH00194	CUFF.937.1	0.0880467699270936	0.2574432619955455	10	10	0.24701279946135168	-0.03734326307205677	10	10	0.43022628967090426	0.06222486322603913	10	10
LH00195	CUFF.955.1	0.6799312056680151	0.026087031119733733	10	10	0.8508789891514584	0.06059821650744751	10	10	0.7223265873564682	0.03967524718384686	10	10
LH00196	CUFF.961.1	0.36492887077457314	-0.05986223992279375	10	10	0.11536935839205571	0.18594055058264913	10	10	0.7098431812578228	0.048303070055493336	10	10
LH00201	CUFF.988.6	0.6994444981081945	-0.02042713819902696	10	10	0.08404696759588397	0.06382385847409726	10	10	0.41621042421491805	0.04105890982209557	10	10
LH00203	CUFF.985.1	0.669414377972045	-0.26632908498857405	10	10	0.3006730034020084	0.05075706797572522	10	10	0.9675858801262897	-0.04462221756886712	10	10
LH00204	CUFF.992.1	0.842762374718542	-0.0899216019693902	10	10	0.9117428224664853	0.07584321492250264	10	10	0.8317921062515173	0.006818041611177096	10	10
LH00205	CUFF.1005.1	0.956147699042142	0.07159510867893801	10	10	0.3533135361048714	0.01662310794704476	10	10	0.5618152243681946	0.021340262814777623	10	10
LH00208	CUFF.1016.1	0.9575239350170689	-0.1068266072709672	10	10	0.3750724604262171	-0.21087036023935632	10	10	0.5087126787992814	-0.16480181385979267	10	10
LH00209	ENST00000373226	0.7723235693305728	-0.004659854658280632	10	10	0.6807752816242917	0.03728449387797173	10	10	0.959775690783036	0.029751699227472048	10	10
LH00212	CUFF.1029.1,CUFF.1029.2	0.6782442566675222	0.05021976142310305	10	10	0.01923763066031898	0.18202565981282826	10	10	0.07080465639165014	0.1305927290957659	10	10
LH00213	CUFF.1030.1	0.28146942771368066	0.0795376993396215	10	10	0.6337394071698705	0.09279807053601698	10	10	0.28666019113478436	0.12156365156438333	10	10
LH00214	CUFF.1028.2	0.5285588595951106	-0.03819796991158072	10	10	0.9378119832859311	0.005955412181809371	10	10	0.7558247765296613	0.02548165131799281	10	10
LH00216	CUFF.1033.3	0.8957805857879761	-0.020518807025718216	10	10	0.5751136981419385	0.11783897202687998	10	10	0.6117893784409493	0.02880160405704193	10	10
LH00218	CUFF.1043.2	0.38949948953795877	0.005415419077555027	10	10	0.9919603242246536	-0.07802066256881098	10	10	0.483543214412939	-0.021721791215546547	10	10
LH00221	CUFF.1063.1	0.5028977583626005	-0.14744996709673705	10	10	0.7058514587313218	-0.056255249435624904	10	10	0.3213450816884279	-0.01841004871614718	10	10
LH00222	CUFF.1060.1	0.07920619625910279	-0.20152280629393546	10	10	0.2575080919802393	0.06245745752827533	10	10	0.5440753569192643	-0.04736771233889192	10	10
LH00223	P1P2	0.6448532941109031	0.22832612038551967	10	10	2.0599587791472332e-05	-0.5036732157199846	10	10	0.017436821550013727	-0.3034641643647162	10	10
LH00224	CUFF.1079.1	0.9816249118381601	0.12644160995748194	10	10	0.18263776730086867	0.18811005314371745	10	10	0.24347417792935444	0.1296671568698101	10	10
LH00226	CUFF.1081.1	0.9103731413317667	0.07231518736047975	10	10	0.6206737666221401	-0.08481446690109208	10	10	0.7575781786439834	-0.055302367072935066	10	10
LH00233	CUFF.1141.1	0.21033613617278557	-0.11781004363674552	10	10	0.7007241966921558	-0.03394134250992339	10	10	0.5490604450721444	-0.06586716184549957	10	10
LH00237	CUFF.1158.1,CUFF.1158.3	0.06311537318536237	-0.20182530533225332	10	10	0.5833866649923423	0.07162508678253827	10	10	0.23224700871065884	-0.04234589367543643	10	10
LH00238	CUFF.1172.1	0.6362021450035378	-0.09373758712361115	10	10	0.5173204898311575	-0.02617095588063892	10	10	0.37147738096100535	-0.03242204233184426	10	10
LH00241	CUFF.1181.1	0.5418256132906684	0.10112128921832216	10	10	0.6862714860441491	0.026501369131790284	10	10	0.5548403321111683	-0.01107318571316448	10	10
LH00242	CUFF.1182.1	0.2515075172813811	0.13170387508685885	10	10	0.33814610438282844	-0.06375397774357855	10	10	0.9020583435887475	0.02565663897035621	10	10
LH00243	P1P2	0.6896620546595991	0.04164981849518456	10	10	0.1216164108985797	-0.30305153137485813	10	10	0.2799359291981808	-0.1080602785568849	10	10
LH00244	CUFF.1200.1	0.7020047458999712	0.053166438288369554	10	10	0.6251518726554989	-0.016063885561787884	10	10	0.5353110830676332	0.03594547204288437	10	10
LH00245	CUFF.1200.2	0.42200599702009456	0.39792214179995145	10	10	0.04420780604032372	0.3551788148929875	10	10	0.03269138703141167	0.28897736223104653	10	10
LH00246	CUFF.1196.1	0.6494042079495075	0.06837383811142687	10	10	0.1910965180660339	-0.24258931959823338	10	10	0.18331367506229024	-0.07254167815932226	10	10
LH00248	ENST00000436713	0.9259108163293135	0.056046147324959265	10	10	0.6930588647908024	-0.01666170803597461	10	10	0.8462080903881739	0.04515579187743612	10	10
LH00251	CUFF.1219.3	0.11338775134939025	0.19117503256407029	10	10	0.07842188898217599	0.2652032362489679	10	10	0.01510642591839817	0.18461063154585258	10	10
LH00253	CUFF.1319.2	0.512860032544337	-0.34557910648464446	10	10	0.41934837112560097	0.03275796730912244	10	10	0.8403450987802856	-0.2144280605447241	10	10
LH00254	CUFF.1319.3	0.265085786704202	-0.17671258202663634	10	10	0.6896620542778126	-0.06291067625755493	10	10	0.2723113527126376	-0.05859838159167666	10	10
LH00259	CUFF.1229.1	0.2041147194110936	-0.09451419753456917	10	10	0.8558469892486682	0.0821288462183862	10	10	0.4002040002656826	-0.039336840940128626	10	10
LH00260	CUFF.1239.1	0.5471784562937693	-0.09346158539297239	10	10	0.7674816104340318	0.03906697987375086	10	10	0.5017141350581553	-0.030196020154606113	10	10
LH00265	CUFF.1268.1	0.4498106522149048	0.18436014671137146	10	10	0.053992410682905466	-0.14063475928095293	10	10	0.7072699717583872	-0.03349809471138809	10	10
LH00276	CUFF.1358.1	0.5334671400458287	0.12276222999566873	10	10	0.40718550955776556	0.1070503446765003	10	10	0.23747029593442415	0.14629878372901395	10	10
LH00279	P1P2	0.9281982980753477	0.0033050696679182375	10	10	0.39523553031950076	0.0351998143839777	10	10	0.6061404418561728	0.025935417521981738	10	10
LH00280	ENST00000588291,ENST00000586761	0.7714425474016519	0.040101385219931014	10	10	0.3928393337327939	-0.07120126741992223	10	10	0.6166497858779533	-0.02440221314880027	10	10
LH00281	ENST00000591675,CUFF.1399.4	0.31487282053652255	0.00796238518154265	10	10	0.6329193937085553	-0.03869423191600721	10	10	0.4057148662266301	0.07237411137647574	10	10
LH00284	ENST00000606527	0.5583490662059429	-0.03735300430307647	10	10	0.9071782609032022	0.02139016266529144	10	10	0.6383158342964799	0.04079682902987492	10	10
LH00285	CUFF.1396.2	0.9439970889669964	-0.06424610590745784	10	10	0.7373229920586203	-0.048247886595468775	10	10	0.8920249385134591	-0.053323236299058774	10	10
LH00287	P1P2	0.5117480574918032	-0.16403768097025298	10	10	0.8319662962763994	-0.02974955473420148	10	10	0.8009055335708206	-0.08458965110028042	10	10
LH00288	CUFF.1408.2	0.7219594813902961	0.02058547122272469	10	10	0.7723235690432595	0.166808793323042	10	10	0.9891926501355999	0.026120560203086396	10	10
LH00289	P1P2	0.09895518147785676	-0.0695637118225556	10	10	0.015237379339051072	0.24755784166698167	10	10	0.5372102906828724	0.07646931642084177	10	10
LH00291	CUFF.1433.1	0.7560733116730244	0.044536784388904016	10	10	0.3528657733471283	0.0774635019787463	10	10	0.37426012477493975	0.053657101933433905	10	10
LH00294	CUFF.1429.1	0.5626150043331879	0.09991887556968708	10	10	0.22626627987972447	-0.06489059955895303	10	10	0.7716496210517259	-0.01722398908154409	10	10
LH00299	CUFF.1450.1	0.8848589886193707	-0.059901410831793234	10	10	0.02515733056217131	0.16693927704780076	10	10	0.20098681342839464	0.06048488946756161	10	10
LH00300	CUFF.1449.1	0.7948858555301139	-0.037768647433712915	10	10	0.15438032168765092	0.06942324548128186	10	10	0.5232368407201039	0.12471941018998785	10	10
LH00301	CUFF.1466.1	0.3162610452916259	-0.27262804112545563	10	10	0.941934993312293	-0.034740137501543616	10	10	0.27433053636584237	-0.07309022479378209	10	10
LH00303	P1P2	0.8220976109548747	0.028715209182280804	10	10	0.5334671395146766	0.09277045397857057	10	10	0.7327140566658245	0.07088169014164952	10	10
LH00304	CUFF.1524.2,CUFF.1524.4	0.3096341456052123	-0.3887241227350195	10	10	0.26955556515059553	-0.00442215087517997	10	10	0.9933315089084382	-0.15713988916308344	10	10
LH00305	CUFF.1524.12	0.2575327807770137	0.19318773681232684	9	9	0.5163447837944612	0.13407687368859808	9	9	0.25398374092305354	0.17670509885157024	9	9
LH00306	CUFF.1524.22	0.2636072729276926	-0.10233145343894234	10	10	0.11260265534461088	-0.32519765666134165	10	10	0.2100661665101602	-0.2739041414854037	10	10
LH00307	CUFF.1528.1	0.6854248268074978	0.036336962672888655	10	10	0.16201765917881317	0.17826545862459697	10	10	0.3662562175067836	0.05064744274787477	10	10
LH00308	CUFF.1529.1	0.36462418858212475	-0.1215916047790061	10	10	0.9090037262712755	0.09817096174420947	10	10	0.5120455501842076	-0.04847492581148363	10	10
LH00309	ENST00000449140	0.27105691836846313	-0.03825577669608726	10	10	0.19404509227798905	0.07832187506838932	10	10	0.5567735496240612	-0.0746598733460727	10	10
LH00310	CUFF.1546.1	0.6664811368980662	0.17253155161951306	10	10	0.676980101404524	0.08715823517998016	10	10	0.9841344511103534	0.041674317849810176	10	10
LH00311	CUFF.1611.3	0.6374350255501058	0.05487111580069839	10	10	0.13565396996166434	0.15429999084683046	10	10	0.5598735090730365	0.06791211983928193	10	10
LH00312	ENST00000429871	0.25222239192924634	-0.13295799833711028	10	10	0.014365492810414124	0.19965309914957274	10	10	0.2653244373945579	0.07228535278649484	10	10
LH00313	CUFF.1604.1	0.8875874207051457	-0.12998676653041377	10	10	0.3744527816554155	-0.09387881525244689	10	10	0.5311447731074381	-0.08506631708812822	10	10
LH00315	CUFF.1725.4	0.0899942722721132	0.15940144630554828	10	10	0.22209625300474078	-0.2734718536556735	10	10	0.39058939811046023	0.0036571180973337114	10	10
LH00316	CUFF.1664.11	0.4361196141793704	-0.14479084566410488	10	10	0.38886529193667985	0.1364572648255081	10	10	0.6897771215460005	0.03285397912044952	10	10
LH00318	ENST00000425820	0.8423119327266388	0.044831173829033066	10	10	0.678665842772182	-0.0705751966366657	10	10	0.6121937642393496	-0.02799138270824499	10	10
LH00319	P1P2	0.018594534978230343	0.1474480080147583	10	10	0.8825863361702285	0.05806346125129123	10	10	0.1315154580404344	0.1756527320729259	10	10
LH00320	CUFF.1741.2	0.541063059953	-0.07214169619314958	10	10	0.8162792118247552	0.01705055640407681	10	10	0.7915643533244849	0.0016190097705225625	10	10
LH00323	ENST00000607679	0.9314017654150859	0.07301393009749547	10	10	0.11286387631190524	-0.08126118043684312	10	10	0.3595677443345573	-0.06454932919218473	10	10
LH00325	ENST00000415780	0.617753781311555	0.05938314194113084	9	9	0.05790977114690353	-0.16956782332408402	10	10	0.22418365940990903	-0.04578774485240814	9	9
LH00330	CUFF.1780.1	0.9348352840531613	0.05900098290833978	10	10	0.35705885480797794	0.0728157773742973	10	10	0.495860395816618	0.0975047888785801	10	10
LH00331	CUFF.2159.12	0.7002975361515709	-0.013983482173188858	10	10	0.5165756879720383	-0.06960217708492511	10	10	0.5997132492775451	-0.12234138894841447	10	10
LH00335	CUFF.1819.1	0.7639658661565555	0.11691082026348548	10	10	0.6004973627396981	0.04916196053419251	10	10	0.9602350141727892	0.14647004856713378	10	10
LH00339	CUFF.1893.1	0.6727728373625654	0.04643500935177888	10	10	0.19148774511404387	-0.22575207783720005	10	10	0.3431848962947954	-0.03471631352346741	10	10
LH00340	CUFF.1894.1	0.3490002105406319	0.2572590950239068	10	10	0.9777211315839054	0.08768052140514766	10	10	0.46397498087292455	0.09838188400172139	10	10
LH00342	CUFF.2025.7	0.553327862581109	-0.0855915616203554	10	10	0.40102233674522414	0.08311925054559104	10	10	0.9606943507630319	0.04295987168216032	10	10
LH00343	CUFF.1940.1,CUFF.1940.2	0.46409340692825185	-0.15920735040527872	10	10	0.9268257365073391	0.0355048258637924	10	10	0.5142737761224492	-0.10657461423112781	10	10
LH00345	CUFF.1950.1	0.43713803553209407	0.1016184560149735	10	10	0.46233820166232953	0.08028927670246996	10	10	0.6669896535704559	0.03840842485799146	10	10
LH00347	CUFF.2108.2	0.0519095132650825	-0.19592782822437663	10	10	0.0650179630021635	-0.054396478611529964	10	10	0.010173288948859285	-0.13419258415592536	10	10
LH00350	P1P2	0.854943285623657	-0.0701382185889504	10	10	0.24118484676026397	0.1479800535544489	10	10	0.6085585584885794	0.04631857132077551	10	10
LH00352	CUFF.2019.44	0.7723235693305728	-0.06908571742508088	10	10	0.5330887631695033	0.08301454418441497	10	10	0.4951312498884124	0.026960050970067848	10	10
LH00354	CUFF.1977.1	0.25031920278077135	-0.08840788960867725	10	10	0.4408839403236665	-0.03234671549698739	10	10	0.2390763397277066	-0.1510984793148874	10	10
LH00359	P1P2	0.5323324184031655	-0.003830937129968052	10	10	0.6450598665403886	0.06419316667423706	10	10	0.9235438180296368	0.04855197172328093	10	10
LH00360	P1P2	0.5065755251428875	-0.0797229520344571	10	10	0.06030860295126946	0.2626220907062931	10	10	0.3464227248669376	0.08067938949719604	10	10
LH00363	ENST00000422980	0.19742702556543734	-0.11700345017101149	10	10	0.7745274060379403	-0.049254439578324934	10	10	0.27055293058212115	-0.09970581376800754	10	10
LH00364	CUFF.2053.1,CUFF.2053.2	0.8816775448858267	0.0159775396498671	10	10	0.20085189606185583	0.269707492496226	10	10	0.17309588754951533	0.15200010785590387	10	10
LH00365	CUFF.2053.3	0.2786495489083598	0.06900446192603109	10	10	0.36007304555326547	0.023904400550653394	10	10	0.17731575176596537	0.033360017253940284	10	10
LH00366	ENST00000564623	0.2776289203538489	-0.031125391342634968	10	10	0.8229936266817232	0.07956282742669506	10	10	0.7008516168364882	-0.038728589691477106	10	10
