	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH08439	ENST00000600941	0.13120443782796978	0.13637954571298838	10.0	10.0	ENST00000600941	0.42651305967849984	0.14171677180396527	10.0	10.0	ENST00000600941	0.20949877574701503	0.2728834610833251	10.0	10.0
LH08440	CUFF.23614.10	0.022352805296635032	0.30146280486855226	10.0	10.0	CUFF.23614.10	0.7630876866699309	-0.06821254496177288	10.0	10.0	CUFF.23614.10	0.07639312376250834	0.1554175092570295	10.0	10.0
LH08441	CUFF.23596.1	0.7603827147008839	-0.11821581241526824	10.0	10.0	CUFF.23596.1	0.2794166935911986	-0.18514809520300146	10.0	10.0	CUFF.23596.1	0.5017971873057976	-0.21059202786652345	10.0	10.0
LH08442	CUFF.23599.1	0.9198636653523723	0.0430632357618147	10.0	10.0	CUFF.23599.1	0.7002975361515709	-0.13742183889148865	10.0	10.0	CUFF.23599.1	0.612971944419409	-0.004960652198231931	10.0	10.0
LH08443	CUFF.23603.1	0.8457063407446899	0.35850387058780625	10.0	10.0	CUFF.23603.1	0.9131127660992769	0.06708002336497366	10.0	10.0	CUFF.23603.1	0.9350642292825275	0.10620192194898564	10.0	10.0
LH08446	ENST00000594850	0.8814088243078451	0.18288336903008492	10.0	10.0	ENST00000594850	0.9396442330471984	0.11608391416532644	10.0	10.0	ENST00000594850	0.9442262342681439	0.14087251929801373	10.0	10.0
LH08451	CUFF.23622.1	0.20709548553628965	-0.342420586904955	10.0	10.0	CUFF.23622.1	0.3548086731788238	-0.028616408770450418	10.0	10.0	CUFF.23622.1	0.2192749733577375	-0.14955515424726382	10.0	10.0
LH08452	ENST00000600007	0.24728758178174903	0.07255716873233554	10.0	10.0	ENST00000600007	0.5189983247505365	0.08795713407952259	10.0	10.0	ENST00000600007	0.2934709697114366	0.16621429232902277	10.0	10.0
LH08455	P1P2	0.5812187747675212	-0.32993959910501997	10.0	10.0	P1P2	0.561450007639565	-0.12390186986208955	10.0	10.0	P1P2	0.2977247483040458	-0.09306958197046167	10.0	10.0
LH08456	CUFF.23641.1	0.3170235569486777	0.025936193553332692	10.0	10.0	CUFF.23641.1	0.8953251099449511	0.18083501707666985	10.0	10.0	CUFF.23641.1	0.44259268936028273	0.030091301449530095	10.0	10.0
LH08459	CUFF.23645.1	0.8129930776947041	-0.03213260684996779	10.0	10.0	CUFF.23645.1	0.3112822074312409	-0.08531195465296641	10.0	10.0	CUFF.23645.1	0.6288261078811115	-0.13985156983577415	10.0	10.0
LH08460	ENST00000596472	0.1644173397929225	-0.12540065684876775	10.0	10.0	ENST00000596472	0.9878259002277108	-0.014080573685150902	10.0	10.0	ENST00000596472	0.3813040520830362	-0.09539310481423602	10.0	10.0
LH08461	P1P2	0.44708137538648973	0.08951384549022501	10.0	10.0	P1P2	0.9634890348430323	-0.08501740849739692	10.0	10.0	P1P2	0.33930896063311033	0.009243643075696806	10.0	10.0
LH08462	CUFF.23646.1	0.9644629325957365	-0.05399889976755253	10.0	10.0	CUFF.23646.1	0.364776509596343	-0.1607538577799941	10.0	10.0	CUFF.23646.1	0.42267194385446116	-0.04170507012693083	10.0	10.0
LH08463	CUFF.23647.1	0.874156007656776	-0.18695895446199073	10.0	10.0	CUFF.23647.1	0.9602767827392058	-0.17654719075944234	10.0	10.0	CUFF.23647.1	0.5665067332785544	-0.12214204395863491	10.0	10.0
LH08464	CUFF.23676.2,CUFF.23676.3	0.010695163753424958	-0.5151928726451688	10.0	10.0	CUFF.23676.2,CUFF.23676.3	0.01137682533404944	-0.5823433870373813	10.0	10.0	CUFF.23676.2,CUFF.23676.3	0.001917830245338042	-0.46728605420407815	10.0	10.0
LH08466	ENST00000601211	0.44092165329333644	0.0311708857161223	10.0	10.0	ENST00000601211	0.22982097306206362	0.07457325417804407	10.0	10.0	ENST00000601211	0.30255926374858644	0.1516070227885524	10.0	10.0
LH08471	CUFF.23667.1,CUFF.23667.4	0.884585098720505	0.05631366281889816	10.0	10.0	CUFF.23667.1,CUFF.23667.4	0.273319672775	-0.01815524985080901	10.0	10.0	CUFF.23667.1,CUFF.23667.4	0.6765589194318529	0.0053320343371158485	10.0	10.0
LH08472	ENST00000595563	0.9840411742817414	0.04782068194354211	9.0	9.0	ENST00000595563	0.0422431962909845	0.1879515508314451	10.0	10.0	ENST00000595563	0.22121382173180915	0.09884483172818814	9.0	9.0
LH08473	ENST00000597049	0.2871449414309829	-0.1233534074129466	10.0	10.0	ENST00000597049	0.3528657739719302	-0.4191744153102886	10.0	10.0	ENST00000597049	0.4473972807064801	-0.3609126786638856	10.0	10.0
LH08474	CUFF.23664.1	0.8732501357009742	-0.06112370299752262	10.0	10.0	CUFF.23664.1	0.9809359748111215	-0.11071064839741555	10.0	10.0	CUFF.23664.1	0.9869071798519358	-0.01758971059903029	10.0	10.0
LH08476	CUFF.23668.2	0.3299829309778235	-0.0742673867025047	10.0	10.0	CUFF.23668.2	0.1292839739229684	-0.18704613267688133	10.0	10.0	CUFF.23668.2	0.10049578706165077	-0.10378035215356492	10.0	10.0
LH08477	CUFF.23668.5	0.00025389194609599746	0.3904444413860439	10.0	10.0	CUFF.23668.5	0.8944142619195566	0.09283020196778563	10.0	10.0	CUFF.23668.5	0.006682179549567364	0.22174651409673682	10.0	10.0
LH08480	CUFF.23696.1	0.593888969547496	-0.30555601163679197	10.0	10.0	CUFF.23696.1	0.9547715937842973	-0.14456634125185666	10.0	10.0	CUFF.23696.1	0.6025016182620707	-0.11714924798471342	10.0	10.0
LH08481	ENST00000595500	0.7682763404378572	0.38043266549162635	10.0	10.0	ENST00000595500	0.7390608234051108	0.018465689799635827	10.0	10.0	ENST00000595500	0.505838843179242	-0.08863854463048713	10.0	10.0
LH08484	ENST00000569091	0.3139747128660981	0.08885766493020231	10.0	10.0	ENST00000569091	0.32354447204314085	0.1917797932703431	10.0	10.0	ENST00000569091	0.9144829680339241	0.10905833356201078	10.0	10.0
LH08489	P1P2	0.41446926838386366	0.04771599091702458	10.0	10.0	P1P2	0.44259268837350196	-0.0862788080067063	10.0	10.0	P1P2	0.9323172483849246	-0.05655791507786959	10.0	10.0
LH08492	CUFF.23734.1	0.12451346581087996	0.1297706949996264	10.0	10.0	CUFF.23734.1	0.705423672985205	-0.006205932868174141	10.0	10.0	CUFF.23734.1	0.38005267632658113	0.16151066205407982	10.0	10.0
LH08493	CUFF.23741.1	0.8228203306438481	-0.07070099933570782	10.0	10.0	CUFF.23741.1	0.8104709230503955	0.06737822768835859	10.0	10.0	CUFF.23741.1	0.720881675975757	0.01966459705263442	10.0	10.0
LH08495	CUFF.23740.1,ENST00000596451	0.8421072357501117	-0.23162272137613651	10.0	10.0	CUFF.23740.1,ENST00000596451	0.6141852129200314	-0.2505327992158109	10.0	10.0	CUFF.23740.1,ENST00000596451	0.9222521271409437	-0.24037556285986808	10.0	10.0
LH08496	ENST00000598322	0.992890329105596	-0.006721889596128444	10.0	10.0	ENST00000598322	0.1761099491002378	0.2195031279759456	10.0	10.0	ENST00000598322	0.36798443500670397	0.05109762036985371	10.0	10.0
LH08497	ENST00000596623	0.018492575306737556	0.3658798627219948	10.0	10.0	ENST00000596623	0.35615770618192877	-0.03269661541838579	10.0	10.0	ENST00000596623	0.025839602228498224	0.07030277252894464	10.0	10.0
LH08499	CUFF.23755.2	0.6433123707985122	0.18076402778186243	10.0	10.0	CUFF.23755.2	0.26344805778501523	-0.25631663000069455	9.0	9.0	CUFF.23755.2	0.6962663610792477	0.07677611070138295	9.0	9.0
LH08501	CUFF.23762.3	0.3234609475938931	0.03400218520950956	10.0	10.0	CUFF.23762.3	0.30148043897051024	0.06014424206968708	10.0	10.0	CUFF.23762.3	0.14895575342358033	0.006236151123167999	10.0	10.0
LH08502	CUFF.23822.1	0.7359872435997228	0.013894850262542216	10.0	10.0	CUFF.23822.1	0.9240812708997731	0.08530594746595015	10.0	10.0	CUFF.23822.1	0.8540397723604236	0.028233746935274542	10.0	10.0
LH08503	CUFF.23823.1	0.235737965766999	0.09978841357275442	10.0	10.0	CUFF.23823.1	0.9021607873518674	0.1483029356494072	10.0	10.0	CUFF.23823.1	0.4707969030773469	0.24478336591551433	10.0	10.0
LH08504	CUFF.23832.1	0.9447714871007502	-0.0748611116293283	10.0	10.0	CUFF.23832.1	0.8544915049842454	0.007946724989674627	10.0	10.0	CUFF.23832.1	0.8373605078756835	-0.015863840170695236	10.0	10.0
LH08506	CUFF.23834.1	0.5869442863411589	0.10310764564432202	10.0	10.0	CUFF.23834.1	0.5723684206217758	0.05062123156947302	10.0	10.0	CUFF.23834.1	0.5323324192899188	0.07058312258571632	10.0	10.0
LH08507	CUFF.23824.2	0.6812502094522952	0.2758836962000946	10.0	10.0	CUFF.23824.2	0.9417058953977651	0.0215708911712493	10.0	10.0	CUFF.23824.2	0.8069017500233786	0.16651536022467714	10.0	10.0
LH08508	CUFF.23821.1	0.33055405653051284	-0.0891839101016726	10.0	10.0	CUFF.23821.1	0.7148562573889261	0.0012155993922312684	10.0	10.0	CUFF.23821.1	0.639492057083791	-0.0614271918221188	10.0	10.0
LH08509	CUFF.23837.1	0.604676717083915	-0.017103110371133202	10.0	10.0	CUFF.23837.1	0.30364065113110417	0.39784643035307815	10.0	10.0	CUFF.23837.1	0.255336545845701	0.09172792143980439	10.0	10.0
LH08510	CUFF.23836.1	0.30359122229132285	0.13561569035090057	10.0	10.0	CUFF.23836.1	0.868065023010095	-0.06388324667543116	10.0	10.0	CUFF.23836.1	0.6255596646531357	0.0032459245981049656	10.0	10.0
LH08511	CUFF.23835.2	0.29928827645218925	-0.16376179321526965	10.0	10.0	CUFF.23835.2	0.09186527314698248	0.11475120365362886	10.0	10.0	CUFF.23835.2	0.5591235213734751	-0.09458128260781862	10.0	10.0
LH08512															
LH08513	CUFF.23772.1	0.4079244105044809	-0.10519601475164168	10.0	10.0	CUFF.23772.1	0.25269976125241933	-0.20577715434743282	10.0	10.0	CUFF.23772.1	0.25509605089554	-0.21696735590395147	10.0	10.0
LH08514	CUFF.23779.2	0.6486783668281086	-0.015824852643168744	10.0	10.0	CUFF.23779.2	0.4453345472487581	-0.3126535670232899	10.0	10.0	CUFF.23779.2	0.3888652935780812	-0.1224513411142396	10.0	10.0
LH08516	ENST00000452097	0.24988079252867768	-0.030422760045354536	10.0	10.0	ENST00000452097	0.7891175438545218	0.07533962038916192	10.0	10.0	ENST00000452097	0.3082651729535689	-0.022232417753674516	10.0	10.0
LH08518	ENST00000595133	0.2966196996228758	-0.3449965602919154	10.0	10.0	ENST00000595133	0.6325095564558638	-0.03659847232821286	10.0	10.0	ENST00000595133	0.308812281242525	-0.21560024480211334	10.0	10.0
LH08521	P1P2	0.21464400832106945	-0.3891888961131205	10.0	10.0	P1P2	0.36371109610888785	0.2993806213405253	10.0	10.0	P1P2	0.8355615746641638	-0.13073247441867927	10.0	10.0
LH08526	ENST00000585492	0.6318181107245869	-0.06283843687286396	10.0	10.0	ENST00000585492	0.33843657843957897	-0.04069133628608503	10.0	10.0	ENST00000585492	0.44636523614884216	0.0877147715414477	10.0	10.0
LH08528	CUFF.23818.1	0.10553377156925929	-0.35351343472516256	10.0	10.0	CUFF.23818.1	0.1443099089450288	-0.1666150133301778	10.0	10.0	CUFF.23818.1	0.6025016182620707	-0.2487500488709954	10.0	10.0
LH08529	P1P2	0.019850589519008113	-0.30123984697493894	10.0	10.0	P1P2	0.13490104950480508	-0.26619772827138294	10.0	10.0	P1P2	0.01885531048074803	-0.2487411415816129	10.0	10.0
LH08531	ENST00000589101	0.3226164900375924	-0.09293487993092185	10.0	10.0	ENST00000589101	0.9892040107223066	0.10842454798712499	10.0	10.0	ENST00000589101	0.5626150051781595	-0.1157697576058138	10.0	10.0
LH08534	CUFF.23854.9	0.7041579230415937	-0.15954750690777184	10.0	10.0	CUFF.23854.9	0.4008609085950916	-0.1395472769436159	10.0	10.0	CUFF.23854.9	0.362495867420776	-0.20729683175914418	10.0	10.0
LH08535	CUFF.23849.2	0.13840026760383503	-0.0888528024635346	10.0	10.0	CUFF.23849.2	0.0450642802481448	-0.5484309223699572	10.0	10.0	CUFF.23849.2	0.9103731415248045	-0.4282391611813589	10.0	10.0
LH08539	CUFF.23865.1	0.29238317820945736	0.22229646377894186	10.0	10.0	CUFF.23865.1	0.34929660320342093	0.09155061705766764	10.0	10.0	CUFF.23865.1	0.2479543506224825	0.13630806405588972	10.0	10.0
LH08540	CUFF.23885.1	0.365075312603674	0.19914077398938237	10.0	10.0	CUFF.23885.1	0.46796788382662424	0.06565222535975053	10.0	10.0	CUFF.23885.1	0.8180684265481539	-0.030116201890060323	10.0	10.0
LH08543	ENST00000591836	0.44536544934154554	-0.02846341826915662	10.0	10.0	ENST00000591836	0.25993591252314097	0.35015958311061307	10.0	10.0	ENST00000591836	0.2594490863151593	0.10620169807165143	10.0	10.0
LH08546	CUFF.23920.4	0.11647734328870676	-0.16827195784065405	10.0	10.0	CUFF.23920.4	0.7851308374264817	0.1854587117693455	10.0	10.0	CUFF.23920.4	0.34692993762995283	-0.06961738241037603	10.0	10.0
LH08548	CUFF.23936.16,CUFF.23936.8	0.683781512496149	-0.14287427169718145	10.0	10.0	CUFF.23936.16,CUFF.23936.8	0.344573501499278	0.19919477395039567	10.0	10.0	CUFF.23936.16,CUFF.23936.8	0.46832099628152124	0.10857054272976296	10.0	10.0
LH08549	CUFF.23916.1	0.6507470977660683	0.06229275466585171	10.0	10.0	CUFF.23916.1	0.6934839023730002	0.07110331940811287	10.0	10.0	CUFF.23916.1	0.6656440020695217	0.06758967863111313	10.0	10.0
LH08550	CUFF.23921.1	0.6216299373621073	-0.09994848863777896	10.0	10.0	CUFF.23921.1	0.90991663989535	-0.07207182231063046	10.0	10.0	CUFF.23921.1	0.851330384623087	-0.09925992645497624	10.0	10.0
LH08553	CUFF.23923.2	0.6063343242961075	-0.08286006212079089	5.0	5.0	CUFF.23923.2	0.12390307394896868	0.22187829653172095	5.0	5.0	CUFF.23923.2	0.5781564639563672	0.08261909132148948	5.0	5.0
LH08556	P1P2	0.22854954378458248	-0.1738060069925987	10.0	10.0	P1P2	0.8333141179977254	-0.053590839366573405	10.0	10.0	P1P2	0.33930896063311033	-0.14529242996650713	10.0	10.0
LH08557	CUFF.23946.1	0.9164415753792818	0.014914895876992074	10.0	10.0	CUFF.23946.1	0.6799312056680151	0.023445181133029014	10.0	10.0	CUFF.23946.1	0.6523070860606294	-0.030694694495036128	10.0	10.0
LH08559	CUFF.23979.1,CUFF.23979.4	0.06550896346805193	-0.44441357120206076	9.0	9.0	CUFF.23979.1,CUFF.23979.4	0.008254154774866209	-0.40290644718773483	9.0	9.0	CUFF.23979.1,CUFF.23979.4	0.003759230097240962	-0.32313841946649363	9.0	9.0
LH08562	CUFF.23991.4	0.45710758485140945	0.044469669683941025	10.0	10.0	CUFF.23991.4	0.7157159544540882	-0.24546877432734404	10.0	10.0	CUFF.23991.4	0.6627173135655019	-0.17774801091966952	10.0	10.0
LH08563	CUFF.23944.1	0.01954817965547027	0.2564720544658426	10.0	10.0	CUFF.23944.1	0.8944142619195566	-0.09874507174255726	10.0	10.0	CUFF.23944.1	0.19722690281842925	0.09430439275282039	10.0	10.0
LH08564	P1P2	7.778412925717259e-06	-1.581654132273395	10.0	10.0	P1P2	4.802152826808547e-06	-1.357450860413491	10.0	10.0	P1P2	2.3047277440905148e-06	-1.3281923741214172	10.0	10.0
LH08565															
LH08566	CUFF.23971.4,ENST00000597980	0.005643610873673182	-0.36946081763199556	10.0	10.0	CUFF.23971.4,ENST00000597980	0.15588548937985666	-0.43738289253996093	10.0	10.0	CUFF.23971.4,ENST00000597980	0.008115730444224352	-0.40329803330420116	10.0	10.0
LH08567	CUFF.23971.1,CUFF.23971.2	0.12331967189719974	-0.7152302864697487	10.0	10.0	CUFF.23971.1,CUFF.23971.2	0.26607463090191374	-0.4563158600055007	10.0	10.0	CUFF.23971.1,CUFF.23971.2	0.15909959776103744	-0.642596574889546	10.0	10.0
LH08568	ENST00000594816	0.43372394096304756	-0.060726124821593425	9.0	9.0	ENST00000594816	0.4453345472487581	-0.3295138951198503	10.0	10.0	ENST00000594816	0.36536666815680374	-0.08821767897761042	9.0	9.0
LH08569	CUFF.23955.1	0.6897016825790236	-0.13024123165190316	10.0	10.0	CUFF.23955.1	0.010651220826259335	-0.27902410998562727	10.0	10.0	CUFF.23955.1	0.0618995232046654	-0.2306104385822693	10.0	10.0
LH08573	CUFF.23963.1	0.16793495150387494	0.3334364694552006	10.0	10.0	CUFF.23963.1	0.8279258107726113	-0.05065058653818083	10.0	10.0	CUFF.23963.1	0.5845730319658835	0.16764561852891244	10.0	10.0
LH08574	CUFF.23965.1	0.4660699957865906	0.02883708187057075	9.0	9.0	CUFF.23965.1	0.6312807207771118	-0.17740881983558696	10.0	10.0	CUFF.23965.1	0.3676220000486925	-0.010734541451779545	9.0	9.0
LH08576	CUFF.23997.1	0.09542226189750225	-0.24973436121719836	10.0	10.0	CUFF.23997.1	0.46444489249629983	-0.09382705288262551	10.0	10.0	CUFF.23997.1	0.09286838425482931	-0.08960834377709825	10.0	10.0
LH08577	P1P2	0.1565378227339432	0.40256312628583646	10.0	10.0	P1P2	0.7174364294863618	0.10843191957099496	10.0	10.0	P1P2	0.19129205953370843	0.1393754987282371	10.0	10.0
LH08578	CUFF.24016.9	0.43227919301729123	0.2174227138053558	10.0	10.0	CUFF.24016.9	0.4581408611498431	-0.10401709086487985	10.0	10.0	CUFF.24016.9	0.2090810014940805	0.04827688465995112	10.0	10.0
LH08579	CUFF.23995.1	0.11661120476153744	0.3211543396208349	10.0	10.0	CUFF.23995.1	0.0947871253663724	0.32577379337613444	10.0	10.0	CUFF.23995.1	0.03162217381720816	0.2615305151656189	10.0	10.0
LH08580	CUFF.24011.1	0.5187249273973977	0.16885766151049827	10.0	10.0	CUFF.24011.1	0.8930482512581635	0.023883449983628773	10.0	10.0	CUFF.24011.1	0.9208805384683013	0.14383209991202806	10.0	10.0
LH08584	P2	0.24718053886977964	-0.11341017168902619	8.0	8.0	P1	0.45396498160603826	-0.07534817991590825	10.0	10.0	P2	0.3022972501610288	-0.19383719233928387	8.0	8.0
LH08588	CUFF.24229.1	0.07227399158107417	0.1473658278679941	10.0	10.0	CUFF.24229.1	0.17565041973675433	0.071418376044055	10.0	10.0	CUFF.24229.1	0.048631363535620774	0.22332383140226408	10.0	10.0
LH08589	CUFF.24229.2	0.12887139745788648	0.18523856873789635	10.0	10.0	CUFF.24229.2	0.1952338267425049	0.24246081230917582	10.0	10.0	CUFF.24229.2	0.03810484556011376	0.2253677623589666	10.0	10.0
LH08591	ENST00000472619,ENST00000480764	0.40305642509151385	0.06378909154731492	10.0	10.0	ENST00000472619,ENST00000480764	0.578652461443817	0.02313365495473646	10.0	10.0	ENST00000472619,ENST00000480764	0.7303851697897236	-0.08415843272924883	10.0	10.0
LH08592	ENST00000607241,CUFF.24236.4	0.5572299164767566	-0.02757425438510458	10.0	10.0	ENST00000607241,CUFF.24236.4	0.9763434493937466	0.015651673264127603	10.0	10.0	ENST00000607241,CUFF.24236.4	0.8540397723604236	-0.07012296202212971	10.0	10.0
LH08593	ENST00000602458	0.6131274565516176	-0.03681208762505762	10.0	10.0	ENST00000602458	0.2343199615920275	0.027249203895526274	10.0	10.0	ENST00000602458	0.8581070739335379	0.05029652314428051	10.0	10.0
LH08594	ENST00000607140	0.38049091134736546	0.1314417782895028	10.0	10.0	ENST00000607140	0.01317200189625333	0.28466270561481294	10.0	10.0	ENST00000607140	0.05342077890749868	0.2622031187921608	10.0	10.0
LH08595	CUFF.24285.1	0.35422124620852813	0.19365594988522658	10.0	10.0	CUFF.24285.1	0.6713027030477527	-0.07359171863155173	10.0	10.0	CUFF.24285.1	0.41538044271216923	0.05221185484928009	10.0	10.0
LH08597	CUFF.24274.2	0.32009175333913875	-0.0439096946033243	10.0	10.0	CUFF.24274.2	0.2889962195323291	-0.06923450595857081	10.0	10.0	CUFF.24274.2	0.8203062764917753	0.07369488429064015	10.0	10.0
LH08598	CUFF.24274.6	0.6387863829489544	0.04708120562814247	10.0	10.0	CUFF.24274.6	0.6214869297198367	-0.07290642426384172	10.0	10.0	CUFF.24274.6	0.9717517081096682	0.04104679866637806	10.0	10.0
LH08599	P1P2	0.49118281574103695	-0.13961488590437773	10.0	10.0	P1P2	0.8261314932651121	-0.018770946396966498	10.0	10.0	P1P2	0.48832894585161624	-0.177320002142929	10.0	10.0
LH08600	ENST00000607781	0.6728385563665567	-0.1398637998874979	10.0	10.0	ENST00000607781	0.48148932200918093	-0.04802827184895005	10.0	10.0	ENST00000607781	0.29719078418247014	-0.02378587144950774	10.0	10.0
LH08602	P1P2	0.595680800597193	0.12598899802045754	10.0	10.0	P1P2	0.5387786217132322	0.09243519891735259	10.0	10.0	P1P2	0.34222730453489114	0.03362869743687561	10.0	10.0
LH08606	P1P2	0.6663474990887679	-0.033774156845202984	10.0	10.0	P1P2	0.6465066444732379	0.11185781621687874	10.0	10.0	P1P2	0.6622996339483689	0.02119104584871855	10.0	10.0
LH08607	P1P2	0.8134391453010178	-0.08491637607111797	10.0	10.0	P1P2	0.8912273978393467	0.03902481047976145	10.0	10.0	P1P2	0.9291134581649378	0.010888556172470065	10.0	10.0
LH08612	CUFF.24357.1	0.7050116901453101	-0.0026843296059816204	10.0	10.0	CUFF.24357.1	0.9058094831424653	0.04625330934834219	10.0	10.0	CUFF.24357.1	0.6073240755668616	0.008133043872477791	10.0	10.0
LH08613	ENST00000607190	0.5851646093799555	-0.1945048854182773	10.0	10.0	ENST00000607190	0.42067595214554054	0.071720570178374	10.0	10.0	ENST00000607190	0.9786396236472971	-0.08049899855555698	10.0	10.0
LH08614	CUFF.24390.1	0.11290851253687612	0.37102396675694505	10.0	10.0	CUFF.24390.1	0.7303851692292911	0.06370042106003522	10.0	10.0	CUFF.24390.1	0.1976272988283002	0.2255955570925577	10.0	10.0
LH08615	CUFF.24407.2	0.32969760794883207	-0.06067640332293126	10.0	10.0	CUFF.24407.2	0.6053126231732868	-0.0943562250257801	10.0	10.0	CUFF.24407.2	0.24607375862571956	-0.043753314855641885	10.0	10.0
LH08618	CUFF.24422.1	0.12614292307576538	0.13444759905398024	10.0	10.0	CUFF.24422.1	0.3573595573739824	0.07270704560832093	10.0	10.0	CUFF.24422.1	0.1914877466508662	0.2594751478292576	10.0	10.0
LH08621	ENST00000413254	0.9823417029240727	-0.054965163299395596	10.0	10.0	ENST00000413254	0.549480515973874	-0.06982099040097854	10.0	10.0	ENST00000413254	0.7079917824893531	-0.0662378409411196	10.0	10.0
LH08623	CUFF.24470.1	0.8071997695285872	0.11606056734400334	10.0	10.0	CUFF.24470.1	0.09410632710166011	0.29944389251126635	10.0	10.0	CUFF.24470.1	0.44636523614884216	0.12650038842790148	10.0	10.0
LH08624	P1P2	0.6107076396800369	-0.048321560234678866	10.0	10.0	P1P2	0.159782596189611	-0.3223715567430749	10.0	10.0	P1P2	0.21992374329235387	-0.22534802090839923	10.0	10.0
LH08625	ENST00000567599	0.3918339886134584	-0.016898286386385474	10.0	10.0	ENST00000567599	0.055005051106389986	-0.1174277481375205	10.0	10.0	ENST00000567599	0.09478712608051124	-0.12211308042683551	10.0	10.0
LH08626	CUFF.24476.2,CUFF.24476.3,CUFF.24476.5	0.618790085033111	-0.2578153956460187	10.0	10.0	CUFF.24476.2,CUFF.24476.3,CUFF.24476.5	0.30581112343721395	0.03064462938081271	10.0	10.0	CUFF.24476.2,CUFF.24476.3,CUFF.24476.5	0.6673186886681521	-0.09499206503669537	10.0	10.0
LH08628	CUFF.24484.1	0.13297560876311537	0.2536254520917746	10.0	10.0	CUFF.24484.1	0.002914911438307203	0.31542507548077275	10.0	10.0	CUFF.24484.1	0.0047944233637138515	0.2439011732126343	10.0	10.0
LH08629	CUFF.24487.1	0.7828100278678095	-0.09543157940105722	10.0	10.0	CUFF.24487.1	0.8581070736298917	0.05909272324840926	10.0	10.0	CUFF.24487.1	0.9511026500556715	-0.07434756008376414	10.0	10.0
LH08630	CUFF.24489.1	0.5749314619953325	0.05730233036954962	10.0	10.0	CUFF.24489.1	0.605513633813356	-0.12226641674363188	10.0	10.0	CUFF.24489.1	0.8980584775884228	-0.03731790180105352	10.0	10.0
LH08631	CUFF.24503.1	0.3435877358804693	-0.2125701927488732	9.0	9.0	CUFF.24503.1	0.5487126324150737	0.028390328551044713	10.0	10.0	CUFF.24503.1	0.4406967252857358	-0.06805286710087598	9.0	9.0
LH08634	P1P2	0.1001251020223909	-0.47475238872648645	11.0	11.0	P1P2	0.17854655203439074	0.03344286065978258	11.0	11.0	P1P2	0.7879766506919584	-0.25322248726759544	11.0	11.0
LH08635	ENST00000590383,ENST00000585645,ENST00000589232	0.4472531716313223	-0.07177236317433583	10.0	10.0	ENST00000590383,ENST00000585645,ENST00000589232	0.5700202904282252	0.06650895623094026	10.0	10.0	ENST00000590383,ENST00000585645,ENST00000589232	0.3466348235890968	0.035084931268799364	10.0	10.0
LH08636	CUFF.24529.2	0.6764368865865069	-0.1253438110934678	9.0	9.0	CUFF.24529.2	0.656463196737253	0.25811167033285226	10.0	10.0	CUFF.24529.2	0.8029599869375137	0.08693282686541552	9.0	9.0
LH08637	P1P2	0.034208862601771486	0.2761459751478732	10.0	10.0	P1P2	0.1792585431771947	0.03081281766332497	10.0	10.0	P1P2	0.05145972282389534	0.08953517344128865	10.0	10.0
LH08639	CUFF.24549.8	0.44024025493106933	-0.26198316790142534	10.0	10.0	CUFF.24549.8	0.7721032861853706	-0.13752763123589082	10.0	10.0	CUFF.24549.8	0.41472128416866616	-0.10373658910002947	10.0	10.0
LH08640	CUFF.24549.9	0.22611494922063724	0.005792406662554604	10.0	10.0	CUFF.24549.9	0.2723124145478176	0.25795949627663206	10.0	10.0	CUFF.24549.9	0.208663831117903	0.08866240824689914	10.0	10.0
LH08645	ENST00000605811	0.4439954154577591	-0.12232067582520763	10.0	10.0	ENST00000605811	0.6025016174772746	-0.06439407292846529	10.0	10.0	ENST00000605811	0.7200198300026575	-0.049868558928443406	10.0	10.0
LH08646	CUFF.24671.1	0.12872665959067314	0.11445646643863822	10.0	10.0	CUFF.24671.1	0.6251518731044705	0.10298970716236028	10.0	10.0	CUFF.24671.1	0.19129205953370843	0.08276434513281768	10.0	10.0
LH08647	CUFF.24672.1	0.2283274487059872	0.02625847273794409	10.0	10.0	CUFF.24672.1	0.7776158290338187	-0.06503033437105545	10.0	10.0	CUFF.24672.1	0.5188117610885143	0.028527179304384503	10.0	10.0
LH08648	CUFF.24677.1	0.15171956056987312	-0.07850940864876955	10.0	10.0	CUFF.24677.1	0.6370239536608866	0.04953499093621822	10.0	10.0	CUFF.24677.1	0.5003317434599655	-0.011242375273324334	10.0	10.0
LH08649	CUFF.24710.1	0.011153753435122492	0.4976535794244144	10.0	10.0	CUFF.24710.1	0.7891175438545218	0.26817977882732186	10.0	10.0	CUFF.24710.1	0.11117445077438572	0.37044443403941624	10.0	10.0
LH08654	CUFF.24713.2	0.7477178490312356	0.13792905720075024	10.0	10.0	CUFF.24713.2	0.9735883007634802	0.002590952766942082	10.0	10.0	CUFF.24713.2	0.8617256213748866	-0.03177473565356786	10.0	10.0
