	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS100574_-_42882343.23-CUFF.47126.1,CUFF.47126.2	1582	1698	1111	1269
common:TSS100574_-_42882406.23-CUFF.47126.1,CUFF.47126.2	2088	2218	1761	1467
common:TSS100576_+_42885409.23-CUFF.47126.5	1357	1043	892	716
common:TSS100576_+_42885412.23-CUFF.47126.5	3092	2911	2214	1974
common:TSS100576_+_42885452.23-CUFF.47126.5	6578	6353	4549	4371
common:TSS100576_+_42885490.23-CUFF.47126.5	1803	2018	1053	1374
common:TSS100576_+_42885746.23-CUFF.47126.5	1848	1998	1575	1234
common:TSS100576_+_42885753.23-CUFF.47126.5	3290	3055	2624	2226
common:TSS100576_+_42885766.23-CUFF.47126.5	6159	6266	5099	4570
common:TSS100576_+_42885775.23-CUFF.47126.5	2662	2813	1751	2005
common:TSS100576_-_42885405.23-CUFF.47126.5	2304	2316	1677	1905
common:TSS100576_-_42885503.23-CUFF.47126.5	1765	1874	729	883
common:TSS100611_+_48647551.23-P1P2	2021	1702	1233	1262
common:TSS100611_+_48647802.23-P1P2	827	859	663	692
common:TSS100611_+_48647844.23-P1P2	2098	2157	1779	1844
common:TSS100611_+_48647852.23-P1P2	1518	1416	865	936
common:TSS100611_+_48647888.23-P1P2	2643	2820	1879	1794
common:TSS100611_-_48647789.23-P1P2	4237	4447	2757	2847
common:TSS100611_-_48647830.23-P1P2	2922	2823	2076	1959
common:TSS100611_-_48647893.23-P1P2	3235	2784	2393	2159
common:TSS100611_-_48647898.23-P1P2	3403	3894	2854	2800
common:TSS100611_-_48647906.23-P1P2	3176	3294	2303	2470
common:TSS100726_+_55061621.23-CUFF.47259.1,CUFF.47259.2	4962	5120	4495	3641
common:TSS100726_+_55061715.23-CUFF.47259.1,CUFF.47259.2	3808	3623	2715	3077
common:TSS100726_+_55061742.23-CUFF.47259.1,CUFF.47259.2	3736	3854	2803	2602
common:TSS100726_+_55061955.23-CUFF.47259.1,CUFF.47259.2	2056	2064	1398	1533
common:TSS100726_+_55062011.23-CUFF.47259.1,CUFF.47259.2	4651	4646	3403	2851
common:TSS100726_+_55062079.23-CUFF.47259.1,CUFF.47259.2	3660	3670	2975	2803
common:TSS100726_+_55062101.23-CUFF.47259.1,CUFF.47259.2	4489	4368	3592	3105
common:TSS100726_-_55061689.23-CUFF.47259.1,CUFF.47259.2	2490	2560	1693	2150
common:TSS100726_-_55062026.23-CUFF.47259.1,CUFF.47259.2	2916	3103	1858	2326
common:TSS100726_-_55062105.23-CUFF.47259.1,CUFF.47259.2	4543	4307	3837	3384
common:TSS100904_+_64080723.23-ENST00000603538	2005	2033	1237	1817
common:TSS100904_+_64080772.23-ENST00000603538	1930	1751	1418	1361
common:TSS100904_+_64080808.23-ENST00000603538	2822	2788	1717	2193
common:TSS100904_+_64080811.23-ENST00000603538	3046	2878	2163	2839
common:TSS100904_+_64080849.23-ENST00000603538	3365	3243	1945	2635
common:TSS100904_+_64080852.23-ENST00000603538	1382	1404	906	1104
common:TSS100904_+_64080997.23-ENST00000603538	1617	1624	1310	1124
common:TSS100904_+_64081010.23-ENST00000603538	3386	3887	2703	3061
