	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS49141_-_49436770.23-CUFF.23623.2,CUFF.23623.3	2513	2341	1941	1832
common:TSS49141_-_49436787.23-CUFF.23623.2,CUFF.23623.3	3353	3337	2441	2759
common:TSS49141_-_49436797.23-CUFF.23623.2,CUFF.23623.3	2722	2649	2106	1972
common:TSS49141_-_49436815.23-CUFF.23623.2,CUFF.23623.3	3650	3607	2427	2950
common:TSS49141_-_49436870.23-CUFF.23623.2,CUFF.23623.3	1980	2132	1708	2036
common:TSS49151_+_49838508.23-CUFF.23633.1	1530	1459	761	1076
common:TSS49151_+_49838542.23-CUFF.23633.1	213	402	154	280
common:TSS49151_+_49838553.23-CUFF.23633.1	6	12	41	0
common:TSS49151_+_49838730.23-CUFF.23633.1	2688	2478	1765	1894
common:TSS49151_-_49838354.23-CUFF.23633.1	2195	2389	1631	1954
common:TSS49151_-_49838458.23-CUFF.23633.1	4632	4893	3991	2834
common:TSS49151_-_49838499.23-CUFF.23633.1	2745	2802	1358	2136
common:TSS49151_-_49838573.23-CUFF.23633.1	2852	3030	1917	1922
common:TSS49151_-_49838638.23-CUFF.23633.1	2186	2209	1756	1556
common:TSS49151_-_49838641.23-CUFF.23633.1	2768	2521	1880	2317
common:TSS49157_+_50000204.23-CUFF.23642.1	798	976	637	460
common:TSS49157_-_49999781.23-CUFF.23642.1	598	745	525	543
common:TSS49157_-_49999795.23-CUFF.23642.1	910	922	463	497
common:TSS49157_-_49999935.23-CUFF.23642.1	890	712	417	505
common:TSS49157_-_50000011.23-CUFF.23642.1	4748	4809	2989	3873
common:TSS49157_-_50000022.23-CUFF.23642.1	1758	1888	1311	928
common:TSS49157_-_50000125.23-CUFF.23642.1	1896	1714	1197	1602
common:TSS49157_-_50000161.23-CUFF.23642.1	1630	1389	1214	1091
common:TSS49157_-_50000171.23-CUFF.23642.1	572	734	380	369
common:TSS49157_-_50000181.23-CUFF.23642.1	955	832	517	535
common:TSS49159_+_50129445.23-ENST00000600665	1828	1838	1282	1074
common:TSS49159_+_50129449.23-ENST00000600665	3175	2898	1762	1816
common:TSS49159_+_50129491.23-ENST00000600665	4011	3684	2797	2839
common:TSS49159_+_50129498.23-ENST00000600665	1631	1759	815	1590
common:TSS49159_+_50129506.23-ENST00000600665	3109	3222	1995	2364
common:TSS49159_+_50129589.23-ENST00000600665	2897	2836	1744	1975
common:TSS49159_+_50129666.23-ENST00000600665	2155	1892	1489	1280
common:TSS49159_-_50129222.23-ENST00000600665	4733	4916	3745	3939
common:TSS49159_-_50129340.23-ENST00000600665	3234	2803	1867	2424
common:TSS49159_-_50129684.23-ENST00000600665	2477	2165	1447	1969
common:TSS49166_+_50354844.23-P1P2	787	960	550	657
common:TSS49166_+_50354858.23-P1P2	3080	2811	2106	1764
common:TSS49166_+_50354898.23-P1P2	1673	1563	1096	910
common:TSS49166_+_50354901.23-P1P2	2367	2130	1344	1307
common:TSS49166_+_50354912.23-P1P2	2905	2877	1750	1428
common:TSS49166_+_50354934.23-P1P2	1830	2093	1199	1182
common:TSS49166_-_50354875.23-P1P2	4282	4219	2479	3381
common:TSS49166_-_50354878.23-P1P2	986	992	520	850
common:TSS49166_-_50354890.23-P1P2	1974	1911	1255	1066
common:TSS49166_-_50354918.23-P1P2	1849	2082	1068	1089
common:TSS49168_+_50362098.23-ENST00000593654,ENST00000601893	3163	3210	2667	2837
common:TSS49168_+_50362187.23-ENST00000593654,ENST00000601893	3361	3651	2177	2826
common:TSS49168_+_50362397.23-ENST00000593654,ENST00000601893	2301	2531	1510	1608
common:TSS49168_+_50362487.23-ENST00000593654,ENST00000601893	2264	2197	1517	1556
common:TSS49168_+_50362515.23-ENST00000593654,ENST00000601893	1446	1461	933	1154
common:TSS49168_-_50362179.23-ENST00000593654,ENST00000601893	809	850	413	690
common:TSS49168_-_50362310.23-ENST00000593654,ENST00000601893	2671	2503	1585	1632
common:TSS49168_-_50362433.23-ENST00000593654,ENST00000601893	4034	4102	3201	2853
common:TSS49168_-_50362504.23-ENST00000593654,ENST00000601893	2629	2681	2323	2345
common:TSS49168_-_50362514.23-ENST00000593654,ENST00000601893	1580	1564	881	909
common:TSS49169_+_50362098.23-ENST00000599259	3163	3210	2667	2837
common:TSS49169_+_50362187.23-ENST00000599259	3361	3651	2177	2826
common:TSS49169_+_50362220.23-ENST00000599259	2436	2804	1437	1543
common:TSS49169_+_50362234.23-ENST00000599259	632	553	584	421
common:TSS49169_-_50361935.23-ENST00000599259	3244	3103	1853	2786
common:TSS49169_-_50361978.23-ENST00000599259	2143	1929	1537	1505
common:TSS49169_-_50362045.23-ENST00000599259	3223	3427	1922	2127
common:TSS49169_-_50362059.23-ENST00000599259	2890	2908	1807	2437
common:TSS49169_-_50362233.23-ENST00000599259	3867	4046	2887	2795
common:TSS49169_-_50362254.23-ENST00000599259	1602	1340	1279	1167
common:TSS49170_+_50363504.23-ENST00000596624	3164	3380	2262	2493
common:TSS49170_+_50363518.23-ENST00000596624	4944	4993	3712	3769
common:TSS49170_-_50363532.23-ENST00000596624	3693	3799	2598	2955
common:TSS49170_-_50363577.23-ENST00000596624	1643	1594	1147	1271
common:TSS49170_-_50363600.23-ENST00000596624	1292	1045	846	1087
common:TSS49170_-_50363727.23-ENST00000596624	2154	2135	1692	1556
common:TSS49170_-_50363735.23-ENST00000596624	2287	2339	1422	1617
common:TSS49170_-_50363764.23-ENST00000596624	3080	2935	2168	1834
common:TSS49170_-_50363770.23-ENST00000596624	1499	1698	915	1172
common:TSS49170_-_50363784.23-ENST00000596624	3830	3731	2553	2836
common:TSS49177_+_50986157.23-ENST00000598194	3420	3388	2301	2314
common:TSS49177_+_50986174.23-ENST00000598194	1939	2190	1237	1238
common:TSS49177_+_50986352.23-ENST00000598194	5508	5264	4471	4482
common:TSS49177_+_50986514.23-ENST00000598194	5778	5586	4765	4611
common:TSS49177_+_50986536.23-ENST00000598194	2109	1930	1265	1281
common:TSS49177_+_50986590.23-ENST00000598194	2844	3033	2274	2298
common:TSS49177_+_50986593.23-ENST00000598194	2326	2953	1852	1615
common:TSS49177_-_50986183.23-ENST00000598194	2698	2354	1589	1958
common:TSS49177_-_50986312.23-ENST00000598194	2621	2578	2024	1780
common:TSS49177_-_50986520.23-ENST00000598194	3213	3322	2612	2648
common:TSS49221_+_52848332.23-P1P2	0	3	1	61
common:TSS49221_+_52848337.23-P1P2	1174	1098	1107	591
common:TSS49221_+_52848351.23-P1P2	3602	3653	2631	2532
common:TSS49221_+_52848370.23-P1P2	3287	3128	2402	2685
common:TSS49221_+_52848402.23-P1P2	2500	2259	1835	1502
common:TSS49221_+_52848426.23-P1P2	3990	3941	3013	2995
common:TSS49221_-_52848080.23-P1P2	3185	2984	2261	2337
common:TSS49221_-_52848379.23-P1P2	1804	1765	1335	1221
common:TSS49221_-_52848389.23-P1P2	982	1045	643	1034
common:TSS49221_-_52848418.23-P1P2	3468	3708	2654	2551
common:TSS49282_+_54378759.23-P1P2	2552	2406	2078	1705
common:TSS49282_+_54378767.23-P1P2	3118	3652	2478	2419
common:TSS49282_+_54378985.23-P1P2	2056	2213	1592	1843
common:TSS49282_+_54379130.23-P1P2	1744	1712	1068	1562
common:TSS49282_+_54379185.23-P1P2	1050	959	481	759
common:TSS49282_+_54379242.23-P1P2	2557	2621	1703	1818
common:TSS49282_-_54379136.23-P1P2	3971	3806	2682	2572
common:TSS49282_-_54379183.23-P1P2	2809	3064	1979	2484
common:TSS49282_-_54379217.23-P1P2	2911	2903	2083	2329
common:TSS49282_-_54379253.23-P1P2	3620	3414	2756	3281
common:TSS49338_+_56151944.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	103	125	160	56
common:TSS49338_+_56151990.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	3424	3232	2217	2118
common:TSS49338_+_56152053.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	762	930	767	763
common:TSS49338_+_56152056.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	1907	1878	1336	1537
common:TSS49338_+_56152120.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	2364	2270	1543	1595
common:TSS49338_-_56152072.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	2847	2876	1949	1766
common:TSS49338_-_56152099.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	2862	2427	1667	1902
common:TSS49338_-_56152107.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	2665	2374	1540	1970
common:TSS49338_-_56152129.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	4337	4560	2971	2752
common:TSS49338_-_56152137.23-CUFF.23849.1,CUFF.23849.3,CUFF.23849.4	1479	1432	811	1064
common:TSS49340_+_56185400.23-P1P2	1519	1561	1158	1112
common:TSS49340_+_56185415.23-P1P2	1558	1479	994	1599
common:TSS49340_+_56185418.23-P1P2	1776	1642	1484	1158
common:TSS49340_+_56185489.23-P1P2	2196	2327	1497	1788
common:TSS49340_+_56185492.23-P1P2	1845	1936	1767	1735
common:TSS49340_-_56185520.23-P1P2	2475	2396	1646	1658
common:TSS49340_-_56185526.23-P1P2	695	528	211	347
common:TSS49340_-_56185570.23-P1P2	2101	1969	1500	1408
common:TSS49340_-_56185583.23-P1P2	2757	2673	2131	2292
common:TSS49340_-_56185589.23-P1P2	2073	1779	1140	1422
common:TSS49341_+_56182350.23-CUFF.23859.1	2029	2323	1580	1284
common:TSS49341_-_56182394.23-CUFF.23859.1	2323	2248	1324	1339
common:TSS49341_-_56182402.23-CUFF.23859.1	3333	3258	2112	2290
common:TSS49341_-_56182480.23-CUFF.23859.1	3386	3345	2834	2537
common:TSS49341_-_56182545.23-CUFF.23859.1	1730	1723	1349	1331
common:TSS49341_-_56182641.23-CUFF.23859.1	2592	2261	2007	1310
common:TSS49341_-_56182663.23-CUFF.23859.1	4985	4835	3652	3178
common:TSS49341_-_56182696.23-CUFF.23859.1	2153	2050	1657	1879
common:TSS49341_-_56182711.23-CUFF.23859.1	2443	2578	1641	2399
common:TSS49341_-_56182755.23-CUFF.23859.1	4996	4927	3438	3889
common:TSS49389_+_57819492.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	3379	3425	2172	2499
common:TSS49389_+_57819499.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2631	3068	1756	2035
common:TSS49389_+_57819530.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	1775	1671	1189	1173
common:TSS49389_+_57819697.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	3076	3043	2362	2227
common:TSS49389_+_57819703.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4304	4808	3213	3026
common:TSS49389_+_57819706.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2690	2591	2034	2111
common:TSS49389_+_57819804.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	1337	1244	813	1058
common:TSS49389_-_57819717.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2414	2254	1696	1853
common:TSS49389_-_57819842.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	2417	2522	1654	1723
common:TSS49389_-_57819928.23-CUFF.23936.15,CUFF.23936.3,CUFF.23936.19	4032	4272	2574	3589
common:TSS49404_+_58135960.23-CUFF.23923.1	3191	3165	2370	3032
common:TSS49404_+_58136081.23-CUFF.23923.1	2777	2710	2270	1593
common:TSS49404_-_58135616.23-CUFF.23923.1	4335	3881	3262	3366
common:TSS49404_-_58135791.23-CUFF.23923.1	2996	2953	2374	1827
common:TSS49404_-_58135806.23-CUFF.23923.1	2810	3179	1459	2402
common:TSS49404_-_58135857.23-CUFF.23923.1	4265	4382	2733	3350
common:TSS49404_-_58135900.23-CUFF.23923.1	1681	1550	839	1548
common:TSS49404_-_58135905.23-CUFF.23923.1	1801	1684	893	1402
common:TSS49404_-_58135918.23-CUFF.23923.1	3430	3716	2151	2114
common:TSS49404_-_58136026.23-CUFF.23923.1	2301	2231	2083	1496
common:TSS49407_+_58379329.23-ENST00000597780	4525	4443	3380	3453
common:TSS49407_+_58379357.23-ENST00000597780	3651	3968	2772	2720
common:TSS49407_+_58379362.23-ENST00000597780	2611	2921	1855	2049
common:TSS49407_+_58379400.23-ENST00000597780	1372	1191	957	1228
common:TSS49407_+_58379459.23-ENST00000597780	3341	3171	2156	2597
common:TSS49407_+_58379495.23-ENST00000597780	2524	2688	2047	1942
common:TSS49407_+_58379504.23-ENST00000597780	3492	3497	2182	2608
common:TSS49407_-_58379392.23-ENST00000597780	3463	3666	2532	2852
common:TSS49407_-_58379438.23-ENST00000597780	2312	2479	1605	2020
common:TSS49407_-_58379473.23-ENST00000597780	3315	3397	2690	2585
common:TSS49408_+_58412861.23-CUFF.23927.1	3882	3612	3136	2900
common:TSS49408_+_58412879.23-CUFF.23927.1	2697	2817	2307	2327
common:TSS49408_+_58413010.23-CUFF.23927.1	3429	3629	2858	2333
common:TSS49408_-_58412791.23-CUFF.23927.1	1696	2039	1125	1118
common:TSS49408_-_58412813.23-CUFF.23927.1	4752	4599	2918	4507
common:TSS49408_-_58412887.23-CUFF.23927.1	2753	2669	1783	2091
common:TSS49408_-_58412976.23-CUFF.23927.1	1946	2296	1654	1407
common:TSS49408_-_58413027.23-CUFF.23927.1	2526	2555	1568	1733
common:TSS49408_-_58413045.23-CUFF.23927.1	2001	2048	1481	1589
common:TSS49408_-_58413063.23-CUFF.23927.1	2382	2660	2035	2301
common:TSS49419_+_58814853.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2333	2683	1581	1794
common:TSS49419_+_58814942.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2472	2642	2021	1990
common:TSS49419_-_58814830.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2643	2481	1455	1772
common:TSS49419_-_58814840.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2405	2014	1451	2108
common:TSS49419_-_58814848.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	3524	3671	2540	2688
common:TSS49419_-_58814852.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	3123	3194	2376	2208
common:TSS49419_-_58814866.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	1022	1187	1104	565
common:TSS49419_-_58814869.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	4183	3970	3373	3053
common:TSS49419_-_58814881.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	2956	3229	2006	2584
common:TSS49419_-_58814916.23-CUFF.23946.2,CUFF.23946.5,CUFF.23946.6	1658	1651	1182	994
common:TSS49421_+_58838920.23-CUFF.23979.2,CUFF.23979.3	2627	2235	1872	2376
common:TSS49421_+_58839067.23-CUFF.23979.2,CUFF.23979.3	2147	2080	1671	1451
common:TSS49421_-_58838837.23-CUFF.23979.2,CUFF.23979.3	3186	3237	2027	2466
common:TSS49421_-_58838983.23-CUFF.23979.2,CUFF.23979.3	1797	1816	1448	1692
common:TSS49421_-_58838987.23-CUFF.23979.2,CUFF.23979.3	4182	4146	2371	2627
common:TSS49421_-_58839028.23-CUFF.23979.2,CUFF.23979.3	1460	1594	1270	1217
common:TSS49421_-_58839076.23-CUFF.23979.2,CUFF.23979.3	1638	1988	1093	1642
common:TSS49421_-_58839096.23-CUFF.23979.2,CUFF.23979.3	3500	3666	1962	2327
common:TSS49421_-_58839114.23-CUFF.23979.2,CUFF.23979.3	3666	3729	2638	2352
common:TSS49421_-_58839218.23-CUFF.23979.2,CUFF.23979.3	3929	3796	3301	2932
common:TSS49432_+_58918476.23-P1P2	2181	2341	1351	1527
common:TSS49432_+_58918747.23-P1P2	3573	4122	2624	2617
common:TSS49432_+_58918834.23-P1P2	638	733	534	486
common:TSS49432_+_58918855.23-P1P2	2011	2108	1667	1768
common:TSS49432_-_58918445.23-P1P2	1789	1950	1113	1416
common:TSS49432_-_58918488.23-P1P2	2880	3539	2440	2272
common:TSS49432_-_58918782.23-P1P2	2312	2407	1358	1889
common:TSS49432_-_58918844.23-P1P2	1498	1350	1052	1078
common:TSS49432_-_58918854.23-P1P2	1313	1394	1171	912
common:TSS49432_-_58918875.23-P1P2	2258	2128	1792	1732
common:TSS49585_+_3588970.23-CUFF.24061.1,CUFF.24061.2	2438	2537	2008	2011
common:TSS49585_+_3589192.23-CUFF.24061.1,CUFF.24061.2	1820	1641	1294	1137
common:TSS49585_+_3589197.23-CUFF.24061.1,CUFF.24061.2	3234	2867	2343	1956
common:TSS49585_+_3589255.23-CUFF.24061.1,CUFF.24061.2	4082	3668	2202	3106
common:TSS49585_-_3589015.23-CUFF.24061.1,CUFF.24061.2	3233	3084	2333	2481
common:TSS49585_-_3589031.23-CUFF.24061.1,CUFF.24061.2	2740	2809	2377	2152
common:TSS49585_-_3589282.23-CUFF.24061.1,CUFF.24061.2	4032	4042	2758	2366
common:TSS49585_-_3589296.23-CUFF.24061.1,CUFF.24061.2	2474	2381	1484	2185
common:TSS49585_-_3589312.23-CUFF.24061.1,CUFF.24061.2	2150	1963	1395	1627
common:TSS49585_-_3589324.23-CUFF.24061.1,CUFF.24061.2	1367	1431	908	999
common:TSS49586_+_3589192.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	1820	1641	1294	1137
common:TSS49586_+_3589255.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	4082	3668	2202	3106
common:TSS49586_+_3589415.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	1162	1377	754	1104
common:TSS49586_-_3589031.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	2740	2809	2377	2152
common:TSS49586_-_3589084.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	5719	4596	4398	3723
common:TSS49586_-_3589282.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	4032	4042	2758	2366
common:TSS49586_-_3589296.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	2474	2381	1484	2185
common:TSS49586_-_3589307.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	1924	2245	1630	1359
common:TSS49586_-_3589312.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	2150	1963	1395	1627
common:TSS49586_-_3589324.23-CUFF.24061.3,CUFF.24061.4,CUFF.24061.5	1367	1431	908	999
common:TSS49587_+_3606129.23-P1P2	408	428	383	389
common:TSS49587_+_3606263.23-P1P2	1082	1295	807	744
common:TSS49587_-_3606064.23-P1P2	3502	3512	2800	2588
common:TSS49587_-_3606079.23-P1P2	2479	2539	1350	2056
common:TSS49587_-_3606087.23-P1P2	3003	3261	2591	2124
common:TSS49587_-_3606102.23-P1P2	3303	3008	1992	2037
common:TSS49587_-_3606105.23-P1P2	2445	2709	1738	1965
common:TSS49587_-_3606117.23-P1P2	1424	1124	1154	601
common:TSS49587_-_3606123.23-P1P2	3116	2957	2049	2084
common:TSS49587_-_3606167.23-P1P2	6436	6225	2149	1779
common:TSS49588_+_3606263.23-P1P2	1082	1295	807	744
common:TSS49588_+_3606288.23-P1P2	2281	2483	1743	2030
common:TSS49588_+_3606310.23-P1P2	1495	1251	1050	869
common:TSS49588_+_3606458.23-P1P2	1230	1222	782	805
common:TSS49588_-_3606102.23-P1P2	3303	3008	1992	2037
common:TSS49588_-_3606258.23-P1P2	1891	1955	1251	1500
common:TSS49588_-_3606278.23-P1P2	2040	2303	1302	1994
common:TSS49588_-_3606307.23-P1P2	2071	1972	1495	1416
common:TSS49588_-_3606326.23-P1P2	2430	2518	2006	1674
common:TSS49588_-_3606346.23-P1P2	4635	4958	3425	2880
common:TSS50067_+_25048645.23-P1P2	2922	3096	1926	2113
common:TSS50067_+_25048689.23-P1P2	1701	1669	1411	912
common:TSS50067_+_25048732.23-P1P2	2508	2700	1933	2233
common:TSS50067_+_25048814.23-P1P2	563	668	309	585
common:TSS50067_+_25049036.23-P1P2	1405	1616	1680	1998
common:TSS50067_-_25048702.23-P1P2	2315	2196	1126	1625
common:TSS50067_-_25048717.23-P1P2	3309	3476	1897	2502
common:TSS50067_-_25048722.23-P1P2	3136	3031	2126	1853
common:TSS50067_-_25048849.23-P1P2	1203	1262	1140	953
common:TSS50067_-_25048902.23-P1P2	1720	1848	1129	1518
common:TSS50115_+_26413875.23-P1P2	1571	1600	834	978
common:TSS50115_+_26413908.23-P1P2	3505	3614	1991	2372
common:TSS50115_+_26414007.23-P1P2	4035	3657	3403	2724
common:TSS50115_-_26413882.23-P1P2	2475	2612	1824	2099
common:TSS50115_-_26413901.23-P1P2	4025	3806	2513	2882
common:TSS50115_-_26413954.23-P1P2	4186	4142	3343	3402
common:TSS50115_-_26413957.23-P1P2	2510	2694	1924	1863
common:TSS50115_-_26414124.23-P1P2	2017	2357	1181	1369
common:TSS50115_-_26414142.23-P1P2	1489	1579	1367	979
common:TSS50115_-_26414256.23-P1P2	3784	3918	3267	2782
common:TSS50136_+_27580043.23-P1P2	2045	1829	1758	1369
common:TSS50136_+_27580052.23-P1P2	3259	3456	2734	2565
common:TSS50136_+_27580090.23-P1P2	2240	2232	1210	1706
common:TSS50136_+_27580132.23-P1P2	4660	4639	3996	3784
common:TSS50136_-_27579938.23-P1P2	2092	1911	1818	1568
common:TSS50136_-_27580004.23-P1P2	377	409	245	304
common:TSS50136_-_27580078.23-P1P2	4951	5139	4001	3721
common:TSS50136_-_27580096.23-P1P2	2363	2469	1862	1871
common:TSS50136_-_27580099.23-P1P2	1828	1696	1438	1427
common:TSS50136_-_27580107.23-P1P2	1886	2314	1341	1437
common:TSS50278_+_37435926.23-P1P2	2702	3153	1976	2060
common:TSS50278_+_37435931.23-P1P2	1807	1992	1604	1425
common:TSS50278_+_37436002.23-P1P2	4558	4493	2862	2990
common:TSS50278_+_37436030.23-P1P2	2022	1820	1616	1617
common:TSS50278_+_37436170.23-P1P2	1963	1860	1880	1470
common:TSS50278_+_37436173.23-P1P2	3351	3301	2147	2333
common:TSS50278_-_37435943.23-P1P2	3908	3750	2659	2753
common:TSS50278_-_37435980.23-P1P2	4578	4789	3916	3302
common:TSS50278_-_37436234.23-P1P2	3690	3483	2972	2790
common:TSS50278_-_37436237.23-P1P2	3936	3731	3094	2460
common:TSS50342_+_39664546.23-P1P2	1312	1398	682	1082
common:TSS50342_+_39664622.23-P1P2	2663	2486	1851	2028
common:TSS50342_+_39664759.23-P1P2	4613	4592	3377	3717
common:TSS50342_+_39664958.23-P1P2	2829	2866	2087	1865
common:TSS50342_+_39664967.23-P1P2	1850	1620	1183	1167
common:TSS50342_+_39664979.23-P1P2	109	223	153	257
common:TSS50342_-_39664377.23-P1P2	446	565	340	504
common:TSS50342_-_39664590.23-P1P2	1327	1193	913	646
common:TSS50342_-_39664611.23-P1P2	1119	1086	821	1109
common:TSS50342_-_39664627.23-P1P2	3130	2730	1775	1870
common:TSS50466_+_44115752.23-CUFF.24826.1	2809	2857	2596	2169
common:TSS50466_+_44115876.23-CUFF.24826.1	2972	3071	1850	2619
common:TSS50466_+_44115901.23-CUFF.24826.1	3917	3818	3025	2748
common:TSS50466_+_44115917.23-CUFF.24826.1	2263	2374	1429	1867
common:TSS50466_-_44115732.23-CUFF.24826.1	1590	1476	1259	1075
common:TSS50466_-_44115969.23-CUFF.24826.1	3300	3581	2718	2412
common:TSS50466_-_44115976.23-CUFF.24826.1	813	849	693	640
common:TSS50466_-_44116008.23-CUFF.24826.1	3171	3250	2134	2230
common:TSS50466_-_44116068.23-CUFF.24826.1	3606	3805	3211	2183
common:TSS50466_-_44116077.23-CUFF.24826.1	3164	3422	2228	2018
common:TSS50624_+_55845003.23-ENST00000608113	1283	1369	1125	808
common:TSS50624_+_55845019.23-ENST00000608113	2554	2597	1958	2291
common:TSS50624_+_55845029.23-ENST00000608113	2520	2321	2147	1594
common:TSS50624_+_55845083.23-ENST00000608113	2279	2265	2171	1832
common:TSS50624_+_55845098.23-ENST00000608113	2241	2622	1369	2121
common:TSS50624_-_55845036.23-ENST00000608113	2966	2659	1965	2028
common:TSS50624_-_55845039.23-ENST00000608113	1904	2179	1134	1649
common:TSS50624_-_55845045.23-ENST00000608113	3257	3206	2183	2646
common:TSS50624_-_55845080.23-ENST00000608113	1180	1127	1169	683
common:TSS50624_-_55845180.23-ENST00000608113	2164	2140	1341	1356
common:TSS50857_+_68406992.23-ENST00000609955	3160	2987	1712	2422
common:TSS50857_+_68407121.23-ENST00000609955	3655	3748	2717	2606
common:TSS50857_+_68407146.23-ENST00000609955	2914	2951	2528	1557
common:TSS50857_+_68407336.23-ENST00000609955	3807	3907	2581	2986
common:TSS50857_-_68407079.23-ENST00000609955	2104	2024	1494	1172
common:TSS50857_-_68407176.23-ENST00000609955	2963	3413	2398	2336
common:TSS50857_-_68407232.23-ENST00000609955	5324	5634	3805	4061
common:TSS50857_-_68407276.23-ENST00000609955	769	706	400	594
common:TSS50857_-_68407375.23-ENST00000609955	828	807	249	535
common:TSS50857_-_68407451.23-ENST00000609955	2716	2954	2034	2093
common:TSS50887_+_69688816.23-CUFF.25251.1	3229	3045	1913	2799
common:TSS50887_+_69689011.23-CUFF.25251.1	3001	3351	2736	3226
common:TSS50887_+_69689024.23-CUFF.25251.1	2547	2110	1936	1507
common:TSS50887_+_69689091.23-CUFF.25251.1	3924	3637	3156	3067
common:TSS50887_+_69689103.23-CUFF.25251.1	3725	3683	2620	1982
common:TSS50887_+_69689114.23-CUFF.25251.1	3987	3301	2654	2687
common:TSS50887_+_69689202.23-CUFF.25251.1	2895	2982	1955	2084
common:TSS50887_-_69689147.23-CUFF.25251.1	5895	5957	4189	4316
common:TSS50887_-_69689168.23-CUFF.25251.1	4182	4378	2957	2836
common:TSS50887_-_69689214.23-CUFF.25251.1	5018	4926	3200	4246
common:TSS51029_+_75887609.23-ENST00000604845	1628	1604	836	1491
common:TSS51029_+_75887612.23-ENST00000604845	2652	2809	1873	2579
common:TSS51029_+_75887858.23-ENST00000604845	2464	2795	2046	2043
common:TSS51029_+_75887888.23-ENST00000604845	2682	2557	2043	2116
common:TSS51029_+_75887977.23-ENST00000604845	3599	3929	2659	2898
common:TSS51029_-_75887590.23-ENST00000604845	3477	3539	2787	2865
common:TSS51029_-_75887785.23-ENST00000604845	2732	2650	2158	1725
common:TSS51029_-_75887852.23-ENST00000604845	3985	3902	3371	2742
common:TSS51029_-_75887876.23-ENST00000604845	2504	2754	1804	1876
common:TSS51029_-_75887914.23-ENST00000604845	2361	2293	2240	1345
common:TSS51030_+_75897149.23-ENST00000604219	3558	3856	3142	2522
common:TSS51030_+_75897249.23-ENST00000604219	2149	2339	1800	1565
common:TSS51030_+_75897280.23-ENST00000604219	1891	1623	1460	1490
common:TSS51030_+_75897290.23-ENST00000604219	3841	3724	2092	3096
common:TSS51030_+_75897341.23-ENST00000604219	1569	1498	1281	838
common:TSS51030_+_75897348.23-ENST00000604219	3574	3083	2064	2573
common:TSS51030_+_75897517.23-ENST00000604219	1757	1769	1041	1633
common:TSS51030_-_75897266.23-ENST00000604219	2614	2592	1446	1878
common:TSS51030_-_75897323.23-ENST00000604219	4709	4950	3522	3215
common:TSS51030_-_75897377.23-ENST00000604219	3260	3392	2369	3105
common:TSS510_+_20070583.23-CUFF.569.1	730	682	207	641
common:TSS510_+_20070630.23-CUFF.569.1	892	745	920	603
common:TSS510_+_20070667.23-CUFF.569.1	2248	2363	2021	1526
common:TSS510_+_20070671.23-CUFF.569.1	4851	4522	3179	3855
