	rho	rho	rho
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100611_+_48647802.23-P1P2	0.1030610853050087	0.11106693984202581	0.10706401257351725
common:TSS100611_+_48647844.23-P1P2	0.18399137705358773	0.19676551261264863	0.19037844483311817
common:TSS100611_+_48647852.23-P1P2	-0.38946020852768337	-0.17428779715582815	-0.2818740028417558
common:TSS100611_+_48647888.23-P1P2	-0.07027181385781843	-0.22956223902313022	-0.14991702644047433
common:TSS100611_-_48647789.23-P1P2	-0.19800431699000376	-0.220436878265478	-0.20922059762774087
common:TSS100611_-_48647830.23-P1P2	-0.07121019008192171	-0.10415869783834142	-0.08768444396013156
common:TSS100611_-_48647893.23-P1P2	-0.013005770977675335	0.05615706551754168	0.021575647269933173
common:TSS100611_-_48647898.23-P1P2	0.1681177278744508	-0.05287302354420131	0.05762235216512475
common:TSS100611_-_48647906.23-P1P2	-0.041756956986416544	0.007623520089449682	-0.017066718448483433
common:TSS100726_+_55061621.23-CUFF.47259.1,CUFF.47259.2	0.27933892487307455	-0.06885603609908275	0.1052414443869959
common:TSS100726_+_55061715.23-CUFF.47259.1,CUFF.47259.2	-0.0661417362525239	0.18729267122402188	0.06057546748574899
common:TSS100726_+_55061742.23-CUFF.47259.1,CUFF.47259.2	0.007416833686527492	-0.14378257623416113	-0.06818287127381682
common:TSS100726_+_55061955.23-CUFF.47259.1,CUFF.47259.2	-0.1345363594547459	-0.006132240420712077	-0.070334299937729
common:TSS100726_+_55062011.23-CUFF.47259.1,CUFF.47259.2	-0.028794244195907363	-0.28156808152709023	-0.1551811628614988
common:TSS100726_+_55062079.23-CUFF.47259.1,CUFF.47259.2	0.12298556427495903	0.034144714645683215	0.07856513946032112
common:TSS100726_+_55062101.23-CUFF.47259.1,CUFF.47259.2	0.10033279818929776	-0.06942655446824392	0.01545312186052692
common:TSS100726_-_55061689.23-CUFF.47259.1,CUFF.47259.2	-0.1346242246961057	0.17114588293322489	0.0182608291185596
common:TSS100726_-_55062026.23-CUFF.47259.1,CUFF.47259.2	-0.22830067358058828	0.007140433288263897	-0.1105801201461622
common:TSS100726_-_55062105.23-CUFF.47259.1,CUFF.47259.2	0.17827300390974643	0.07499927822185584	0.12663614106580112
common:TSS100904_+_64080723.23-ENST00000603538	-0.2748171920022173	0.2609012377331478	-0.006957977134534776
common:TSS100904_+_64080772.23-ENST00000603538	-0.02280377055223099	0.05944101641420153	0.018318622930985268
common:TSS100904_+_64080808.23-ENST00000603538	-0.2948884042314343	0.07662828414893491	-0.1091300600412497
common:TSS100904_+_64080811.23-ENST00000603538	-0.07194273216161792	0.4032692903278582	0.16566327908312012
common:TSS100904_+_64080849.23-ENST00000603538	-0.3688968052604295	0.12342697141253497	-0.12273491692394727
common:TSS100904_+_64080852.23-ENST00000603538	-0.18723511597832773	0.0761502698173728	-0.055542423080477465
common:TSS100904_+_64080997.23-ENST00000603538	0.11818667731484685	-0.10795656362048556	0.005115056847180645
common:TSS100904_+_64081010.23-ENST00000603538	0.09691908300274887	0.07829897053155904	0.08760902676715396
common:TSS100904_+_64081027.23-ENST00000603538	-0.40941842007746526	0.24294478107929435	-0.08323681949908546
common:TSS100904_-_64080984.23-ENST00000603538	-0.224320675388768	-0.08511159750620867	-0.15471613644748833
common:TSS100996_+_67837705.23-P1P2	0.21967039458023654	-0.27758766082822706	-0.028958633123995256
common:TSS100996_+_67837708.23-P1P2	-0.3087625303799402	0.17695640804148485	-0.06590306116922769
common:TSS100996_+_67837714.23-P1P2	0.08487650682527965	0.08769460804391865	0.08628555743459915
common:TSS100996_+_67837719.23-P1P2	0.14300125261473015	0.046054127508224615	0.09452769006147738
common:TSS100996_+_67837753.23-P1P2	0.15209666107902076	0.004489284689926484	0.07829297288447362
common:TSS100996_-_67837526.23-P1P2	0.19695374637908136	-0.350069848369543	-0.07655805099523083
common:TSS100996_-_67837640.23-P1P2	-0.3556680342998563	-0.10580875855390118	-0.2307383964268787
common:TSS100996_-_67837690.23-P1P2	-0.38595621932756735	-0.41075321566079176	-0.39835471749417956
common:TSS100996_-_67837722.23-P1P2	-0.03459658431929502	-0.2693839576693712	-0.1519902709943331
common:TSS100996_-_67837734.23-P1P2	0.10868990795668718	-0.07326850580113753	0.017710701077774824
common:TSS101427_+_92082250.23-P1P2	-0.04549085351270013	0.6529028058582947	0.3037059761727973
common:TSS101427_+_92082285.23-P1P2	-0.14645911148301197	-1.1123015481224703	-0.6293803298027412
common:TSS101427_+_92082335.23-P1P2	-0.27579088651941	-0.042649998513818725	-0.15922044251661435
common:TSS101427_+_92082356.23-P1P2	-0.0385129350982267	-0.08729277234619695	-0.06290285372221183
common:TSS101427_+_92082364.23-P1P2	-0.25969018016213125	0.11062031759897822	-0.07453493128157651
common:TSS101427_-_92082284.23-P1P2	0.03773944900744504	-0.009399051237248449	0.014170198885098295
common:TSS101427_-_92082311.23-P1P2	-0.5683603748575353	0.22726227100628082	-0.17054905192562725
common:TSS101427_-_92082320.23-P1P2	-0.1651714229360372	0.1911507681235344	0.0129896725937486
common:TSS101427_-_92082326.23-P1P2	-0.21206790587435378	-0.15158889145999327	-0.18182839866717354
common:TSS101427_-_92082346.23-P1P2	-0.281485678824795	-0.04846302695328302	-0.16497435288903903
common:TSS101496_+_95805840.23-CUFF.47887.1,CUFF.47887.2	-0.18586520714231766	0.019348105645592265	-0.08325855074836269
common:TSS101496_+_95805896.23-CUFF.47887.1,CUFF.47887.2	-0.32605106555970625	-0.41577363793737027	-0.37091235174853826
common:TSS101496_+_95806059.23-CUFF.47887.1,CUFF.47887.2	0.04857770415183624	0.1881264628867224	0.11835208351927932
common:TSS101496_+_95806110.23-CUFF.47887.1,CUFF.47887.2	-0.09551613699918397	0.09025148857234264	-0.0026323242134206684
common:TSS101496_-_95805701.23-CUFF.47887.1,CUFF.47887.2	-0.19260394690717839	0.436803012104789	0.12209953259880531
common:TSS101496_-_95805909.23-CUFF.47887.1,CUFF.47887.2	0.04035604924608058	-0.10584425294839331	-0.032744101851156365
common:TSS101496_-_95805979.23-CUFF.47887.1,CUFF.47887.2	0.30490012317347653	-0.12202778188588098	0.09143617064379778
common:TSS101496_-_95806047.23-CUFF.47887.1,CUFF.47887.2	0.12776193065881575	-0.02473871146289048	0.05151160959796264
common:TSS101496_-_95806056.23-CUFF.47887.1,CUFF.47887.2	-0.04706060140809412	-0.05687680757697942	-0.051968704492536766
common:TSS101496_-_95806085.23-CUFF.47887.1,CUFF.47887.2	0.21747245688116346	0.06824606826624241	0.14285926257370293
common:TSS101543_+_98742049.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.16024995355957178	0.05023023759816548	-0.05500985798070315
common:TSS101543_+_98742239.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.1702351272849784	0.10411836240415173	-0.03305838244041333
common:TSS101543_+_98742282.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.3882240697875501	0.24999485166459742	-0.06911460906147633
common:TSS101543_+_98742354.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.09982075459826861	0.015918177307470967	-0.04195128864539882
common:TSS101543_+_98742393.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.08138985185781049	0.028642700243296036	-0.026373575807257226
common:TSS101543_+_98742442.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.5961240891644914	0.3049443272222062	-0.14558988097114262
common:TSS101543_+_98742482.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.10896079079134291	0.08958916124140612	-0.009685814774968396
common:TSS101543_+_98742485.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	-0.07359187934356877	-0.07260576156734891	-0.07309882045545885
common:TSS101543_-_98742224.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.3785516774553796	0.08699002622763119	0.2327708518415054
common:TSS101543_-_98742413.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	0.45818501071119555	-0.2794138992984749	0.08938555570636034
common:TSS101564_+_100025006.23-P1P2	-0.4125199099315229	0.2735654469396086	-0.06947723149595714
common:TSS101564_+_100025034.23-P1P2	0.33852353617605824	-0.0480114632017	0.1452560364871791
common:TSS101564_+_100025184.23-P1P2	-0.13645935130957135	-0.2029475795451237	-0.16970346542734754
common:TSS101564_+_100025187.23-P1P2	-0.001559533663344128	-0.00642937798140315	-0.003994455822373639
common:TSS101564_+_100025235.23-P1P2	-0.7377171216247896	-0.49486121130099053	-0.6162891664628901
common:TSS101564_+_100025241.23-P1P2	-0.2059269901677891	0.1568710368055079	-0.024527976681140595
common:TSS101564_+_100025251.23-P1P2	-0.6078077990303563	-0.38957748185519486	-0.4986926404427756
common:TSS101564_+_100025294.23-P1P2	0.6020603129118969	-0.05806412648846703	0.2719980932117149
common:TSS101564_-_100025195.23-P1P2	0.12442406515471956	0.14111250225613312	0.13276828370542634
common:TSS101564_-_100025216.23-P1P2	-0.3144080609128343	-0.2319291185084128	-0.2731685897106235
common:TSS102040_+_125320330.23-ENST00000607837	-0.26855737052981793	0.12421359325581924	-0.07217188863699935
common:TSS102040_+_125320447.23-ENST00000607837	0.07883135179587306	0.03945253185377589	0.059141941824824476
common:TSS102040_+_125320454.23-ENST00000607837	-0.11179212018872162	-0.12805071969538737	-0.11992141994205449
common:TSS102040_+_125320562.23-ENST00000607837	0.1569673342884093	-0.0069515287110889536	0.07500790278866018
common:TSS102040_-_125320172.23-ENST00000607837	-0.010990870136193775	-0.5071240576728703	-0.25905746390453205
common:TSS102040_-_125320179.23-ENST00000607837	-0.21407416425911532	-0.23392328602336826	-0.2239987251412418
common:TSS102040_-_125320205.23-ENST00000607837	0.1783568363594969	-0.13220179172861515	0.02307752231544087
common:TSS102040_-_125320490.23-ENST00000607837	-0.0004316365460887983	-0.036261066251900974	-0.018346351398994886
common:TSS102040_-_125320560.23-ENST00000607837	-0.11210015179144772	0.015345739540409076	-0.04837720612551932
common:TSS102040_-_125320569.23-ENST00000607837	0.06282875803314159	-0.010919761136569839	0.025954498448285873
common:TSS102045_+_125486557.23-P1	0.06623049597679345	0.01587054853793753	0.04105052225736549
common:TSS102045_+_125486563.23-P1	-0.3678528151638809	-0.161454050607918	-0.2646534328858995
common:TSS102045_+_125486570.23-P1	-0.07339656025929418	-0.35930046352763295	-0.21634851189346357
common:TSS102045_+_125486734.23-P1	-0.24691860430688292	-0.12211674025387881	-0.18451767228038085
common:TSS102045_+_125486762.23-P1	-0.15709130158718487	-0.12261377533994017	-0.13985253846356252
common:TSS102045_+_125487146.23-P2	-0.08672547568529548	-0.03783005615666167	-0.06227776592097858
common:TSS102045_+_125487149.23-P2	-0.12459126277973748	0.10307276710526098	-0.01075924783723825
common:TSS102045_+_125487176.23-P2	-0.293387570514319	-0.330216509704679	-0.31180204010949897
common:TSS102045_+_125487182.23-P2	-0.06637556213137245	0.1343404177519121	0.033982427810269826
common:TSS102045_+_125487185.23-P2	0.10195505509444976	0.0786571254279479	0.09030609026119882
common:TSS102045_-_125486575.23-P1	0.25351456909250214	-0.3427404777427015	-0.04461295432509968
common:TSS102045_-_125486719.23-P1	-0.08956079441643919	-0.19807872208491323	-0.14381975825067622
common:TSS102045_-_125486739.23-P1	0.13851064038427868	-0.22213824270592702	-0.04181380116082417
common:TSS102045_-_125486799.23-P1	-0.19954883238257448	0.050756312039404776	-0.07439626017158485
common:TSS102045_-_125486838.23-P1	-0.021136003361011218	-0.3817117455547804	-0.2014238744578958
common:TSS102045_-_125486838.23-P2	-0.021136003361011218	-0.3817117455547804	-0.2014238744578958
common:TSS102045_-_125487047.23-P2	-0.1659416201910485	-0.13114350151413726	-0.14854256085259288
common:TSS102045_-_125487050.23-P2	0.47002024792963143	-0.06630905095680614	0.20185559848641266
common:TSS102045_-_125487193.23-P2	0.03854767170131733	0.1777280402800025	0.10813785599065992
common:TSS102045_-_125487232.23-P2	0.10640039581330132	-0.29430254713750736	-0.09395107566210302
common:TSS102413_+_141539248.23-P1P2	-0.013495484509950025	-0.31169444594605356	-0.1625949652280018
common:TSS102413_+_141539262.23-P1P2	-0.22200438901992076	-0.08218044359968815	-0.15209241630980447
common:TSS102413_+_141539281.23-P1P2	0.052326187974867475	-0.06809741663257002	-0.007885614328851272
common:TSS102413_+_141539328.23-P1P2	0.16411342953266325	0.07352430887462802	0.11881886920364564
common:TSS102413_-_141538948.23-P1P2	-0.1522301403352551	-0.25842579908412705	-0.20532796970969108
common:TSS102413_-_141539040.23-P1P2	-0.36572474601517285	0.3692485060387515	0.001761880011789313
common:TSS102413_-_141539115.23-P1P2	0.1423654623799705	0.24395873889204625	0.19316210063600836
common:TSS102413_-_141539234.23-P1P2	-0.11164439627641043	-0.13816272542302382	-0.12490356084971713
common:TSS102413_-_141539259.23-P1P2	-0.1442466068164841	0.008716363972183422	-0.06776512142215034
common:TSS102413_-_141539325.23-P1P2	0.34262898958026694	-0.3684797396871046	-0.012925375053418842
common:TSS102493_+_143747623.23-ENST00000507178	-0.16558547042528207	-0.3656484644374189	-0.2656169674313505
common:TSS102493_+_143747695.23-ENST00000507178	-0.12049833971090336	-0.10909295952915835	-0.11479564962003086
common:TSS102493_+_143747774.23-ENST00000507178	0.034653808672615485	-0.2633531225414755	-0.11434965693443003
common:TSS102493_+_143747806.23-ENST00000507178	0.023328446979236615	0.03376366139125193	0.028546054185244273
common:TSS102493_+_143747835.23-ENST00000507178	-0.09794253985112789	-0.12385053380225197	-0.11089653682668993
common:TSS102493_-_143747639.23-ENST00000507178	-0.1940607951234511	0.2507853474018141	0.02836227613918149
common:TSS102493_-_143747817.23-ENST00000507178	0.048162108730519265	0.07611959669358176	0.06214085271205051
common:TSS102493_-_143747826.23-ENST00000507178	-0.18852873331928297	0.07213134983450864	-0.05819869174238716
common:TSS102493_-_143747852.23-ENST00000507178	-0.06141524626503771	0.1724236327057248	0.05550419322034355
common:TSS102493_-_143747862.23-ENST00000507178	-0.05203726206300785	-0.17059141068178732	-0.11131433637239758
common:TSS102556_+_144363761.23-P1P2	0.006902045084851902	0.05559153460675683	0.031246789845804368
common:TSS102556_+_144363774.23-P1P2	-0.3289316518277288	-0.05627752786257161	-0.19260458984515022
common:TSS102556_+_144363795.23-P1P2	-0.3967060494760629	-0.3408962745443738	-0.3688011620102184
common:TSS102556_-_144363553.23-P1P2	0.060908512640561366	-0.2891329040339266	-0.11411219569668263
common:TSS102556_-_144363568.23-P1P2	0.12684120948687885	-0.3785620848063873	-0.12586043765975424
common:TSS102556_-_144363620.23-P1P2	0.20079675068518538	0.2705896714386357	0.23569321106191055
common:TSS102556_-_144363682.23-P1P2	0.09671887663397875	0.09858364175051373	0.09765125919224624
common:TSS102556_-_144363800.23-P1P2	0.05974967187034054	-0.10746042383288976	-0.02385537598127461
common:TSS102556_-_144363835.23-P1P2	-0.1854902964833909	0.4053321115013486	0.10992090750897886
common:TSS102556_-_144363850.23-P1P2	0.1921142512096788	-0.3138086319167533	-0.06084719035353725
common:TSS102573_+_144723275.23-CUFF.48795.1	-0.1538312757828542	0.12314184072607665	-0.015344717528388771
common:TSS102573_+_144723311.23-CUFF.48795.1	-0.035799763181149566	-0.08651297922482801	-0.06115637120298879
common:TSS102573_+_144723393.23-CUFF.48795.1	-0.5565126749679381	-0.9103457295048617	-0.7334292022364
common:TSS102573_+_144723556.23-CUFF.48795.1	-0.654127113551895	-0.6185390955746987	-0.6363331045632968
common:TSS102573_+_144723587.23-CUFF.48795.1	-0.723490895157868	0.6023012886727028	-0.060594803242582596
common:TSS102573_-_144723294.23-CUFF.48795.1	0.1373051379440201	0.16925271613712792	0.153278927040574
common:TSS102573_-_144723305.23-CUFF.48795.1	0.002529889927967443	0.018264628907623474	0.010397259417795459
common:TSS102573_-_144723370.23-CUFF.48795.1	0.08979877652197739	-0.2093151821557482	-0.05975820281688541
common:TSS102573_-_144723444.23-CUFF.48795.1	0.030507243176001567	-0.5309832617155817	-0.25023800926979006
common:TSS102573_-_144723511.23-CUFF.48795.1	-0.17165712649522757	0.17314725503275646	0.0007450642687644449
common:TSS102575_+_144737364.23-CUFF.48800.1	0.10577898384468179	0.024898602939674403	0.0653387933921781
common:TSS102575_+_144737558.23-CUFF.48800.1	-0.1178481244928959	0.03966144344726123	-0.039093340522817335
common:TSS102575_+_144737763.23-CUFF.48800.1	-0.17979315005226865	0.18644231681235973	0.0033245833800455427
common:TSS102575_+_144737768.23-CUFF.48800.1	0.08084621506247806	-0.2365923341397786	-0.07787305953865026
common:TSS102575_+_144737773.23-CUFF.48800.1	-0.06672081805832789	0.06411110370824571	-0.0013048571750410853
common:TSS102575_-_144737416.23-CUFF.48800.1	-0.2887480100487308	-0.15364599444276483	-0.22119700224574781
common:TSS102575_-_144737426.23-CUFF.48800.1	-0.6504221998206248	0.3009625089651543	-0.17472984542773523
common:TSS102575_-_144737572.23-CUFF.48800.1	-0.16972422520526012	0.042855159198083206	-0.06343453300358845
common:TSS102575_-_144737799.23-CUFF.48800.1	0.22874912714401108	0.054204643626472516	0.1414768853852418
common:TSS102575_-_144737804.23-CUFF.48800.1	0.008416367718784557	0.1745625983364804	0.09148948302763249
common:TSS102578_+_144777847.23-CUFF.48805.1	0.3543414662128855	0.4579594831716778	0.4061504746922816
common:TSS102578_+_144777853.23-CUFF.48805.1	-0.1528783989519174	0.05839918597252792	-0.047239606489694747
common:TSS102578_+_144777872.23-CUFF.48805.1	-0.046851160105755185	0.22901798586782077	0.09108341288103279
common:TSS102578_+_144777937.23-CUFF.48805.1	0.41316552489075087	-0.08638176256402186	0.1633918811633645
