gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH03137,0.048265494,-1.395459109,9,2.794703432
LH03149,0.064871801,-0.289399517,10,0.523042106
LH03152,0.395942327,-0.419676572,10,0.256910054
LH03153,0.727904446,0.315258223,10,0.066153718
LH03156,0.933375168,-0.08528633,8,0.003885336
LH03157,0.246377778,0.515892064,10,0.477518083
LH03163,0.183187038,-0.267517041,9,0.300001778
LH03166,0.416606469,0.536181625,10,0.310206872
LH03167,0.373941461,1.187925981,10,0.772075568
LH03178,0.74958793,-0.275483595,10,0.052464385
LH03180,0.358425857,-0.786701652,10,0.533333372
LH03181,0.134618078,-0.731754377,10,0.969560237
LH03184,0.249337822,0.915956581,9,0.840596561
LH03189,0.094520144,-2.167324066,9,3.378067693
LH03198,0.536236212,-0.525941657,10,0.216560186
LH03199,0.90615054,-0.143424193,9,0.009339109
LH03201,0.546613321,0.263176988,10,0.105032047
LH03207,0.195062461,-0.490590694,9,0.529802811
LH03213,0.271034105,-2.065016387,10,1.781275466
LH03218,0.096160901,0.980684099,9,1.517377296
LH03219,0.401782264,-0.951253784,10,0.573118701
LH03220,0.825113706,-1.906233836,10,0.242121707
LH03221,0.464564384,-0.509898082,10,0.258291786
LH03223,0.440215583,0.30554753,9,0.165645492
LH03224,0.676391092,0.048090454,10,0.012423525
LH03227,0.135732545,0.648175221,9,0.855288538
LH03229,0.628572614,0.776684494,10,0.238272531
LH03236,0.108884477,-0.558627133,10,0.818477084
LH03241,0.623912686,0.070544611,9,0.021988631
LH03243,0.455705894,0.159230227,9,0.082684519
LH03244,0.258741022,-0.305691576,9,0.273063776
LH03247,0.105693991,-0.207657322,10,0.308331255
LH03248,0.853695672,-0.221125807,10,0.023111044
LH03249,0.149799405,-0.44456353,10,0.557650433
LH03253,0.463060755,0.110144563,9,0.056030291
LH03266,0.955626829,0.241508037,9,0.007242655
LH03268,0.116463022,0.232917269,10,0.330905496
LH03271,0.395638067,-0.425301893,8,0.260569687
LH03272,0.72109804,0.007628678,9,0.001648154
LH03273,0.786427827,0.457352645,6,0.072602168
LH03275,0.345721184,-0.369360361,10,0.259210229
LH03276,0.749258045,-0.072132015,3,0.013758138
LH03279,0.067964098,-0.841624973,10,1.495203693
LH03281,0.711101329,-0.397452079,10,0.089534486
LH03283,0.188685194,-0.39906163,9,0.439722454
LH03287,0.36364409,-0.743786827,10,0.497136612
LH03288,0.152476856,-0.244579174,10,0.303931686
LH03290,0.966248451,0.422533281,10,0.009585529
LH03292,0.398670059,0.551248012,9,0.334952445
LH03298,0.653998696,-0.427693449,10,0.120002646
LH03299,0.169636129,0.186601265,10,0.218735739
LH03306,0.182311379,0.803716628,10,0.903856911
LH03308,0.182997445,0.690834857,10,0.775195964
LH03310,0.467100225,0.717827996,9,0.361037962
LH03312,0.615652977,0.318341267,10,0.102029596
LH03315,0.007142878,1.967909119,9,6.425445948
LH03316,0.921007777,0.61081139,9,0.033209663
LH03317,0.502044502,-1.76814765,10,0.805020332
LH03318,0.526300142,-0.466768369,10,0.197963391
LH03319,0.046498073,0.810616787,10,1.643413593
LH03324,0.744839393,-0.21999529,10,0.042820688
LH03326,0.776202593,-0.12729034,9,0.021307345
LH03329,0.311261662,0.56293378,9,0.434110715
LH03330,0.079306942,0.61754976,10,1.034140074
LH03339,0.105655765,0.890497552,9,1.322430734
LH03347,0.779875861,0.761883537,10,0.125156308
LH03353,0.150095116,0.995392264,10,1.2473005
LH03359,0.535892025,-0.597003495,10,0.246073668
LH03360,0.150095114,-0.420728283,10,0.527203817
LH03363,0.871762805,0.227443589,10,0.020624098
LH03365,0.29878532,0.972008053,10,0.775844602
LH03366,0.0031481,1.517100662,9,5.774789475
LH03367,0.631170421,-0.480845413,10,0.146204184
LH03368,0.211290922,0.377737386,5,0.387983512
LH03370,0.923424867,0.162374343,10,0.008547059
LH03380,0.987912968,-0.325963157,10,0.002619108
LH03388,0.128994966,0.260282489,10,0.352207208
LH03389,0.233220768,-0.672123813,10,0.646500932
LH03390,0.20604713,-0.263782258,8,0.275317442
LH03397,0.769873274,0.104556982,10,0.018067608
LH03398,0.71032312,0.159921717,10,0.03614145
LH03399,0.983297749,-0.545066314,9,0.006066021
LH03402,0.824300285,-0.604436144,10,0.077166812
LH03403,0.281218564,0.457768919,9,0.383712631
LH03404,0.516014705,0.310261662,8,0.13563255
LH03406,0.841064253,-0.688571397,9,0.078748295
LH03411,0.560954343,-0.025604219,10,0.00978033
LH03432,0.258722408,0.426685234,10,0.381163535
LH03433,0.133938885,-0.340307814,10,0.452038528
LH03434,0.379298715,-0.118430609,10,0.07585918
LH03440,0.408857996,0.840272001,10,0.496561144
LH03441,0.759511066,0.107509615,10,0.01954043
LH03452,0.763804081,0.234850397,8,0.041810651
LH03455,0.320018301,-0.086313143,8,0.064978786
LH03456,0.900227019,-0.229349545,10,0.015928031
LH03457,0.318957854,0.456602613,9,0.344743743
LH03458,0.030044558,0.692436685,10,1.603630849
LH03459,0.636379698,0.235478364,10,0.070319873
LH03461,0.027564532,-1.841609825,6,4.369859407
LH03462,0.27243453,-0.371351564,5,0.319061951
LH03466,0.102688126,-1.346769324,10,2.025367643
LH03467,0.856155078,-0.0904027,10,0.009276636
LH03469,0.642355243,-0.638840944,10,0.186829246
LH03470,0.776270634,0.464538505,10,0.07773298
LH03471,0.638617784,0.229472428,10,0.067994047
LH03473,0.110042227,0.532623446,10,0.776655392
LH03474,0.50304321,0.156266771,10,0.070941542
LH03475,0.266961393,0.777212101,10,0.678195447
LH03477,0.120904582,-0.902436326,10,1.259773885
LH03480,0.439237203,0.640455004,9,0.348149341
LH03483,0.870029367,-0.104639455,9,0.009626096
LH03484,0.94751982,0.631457675,10,0.022491582
LH03491,0.265837592,-0.571386318,10,0.50018445
LH03494,0.99912087,-0.027746487,9,1.61E-05
LH03501,0.765588147,0.551696193,8,0.097368574
LH03503,0.974578884,-0.110604008,10,0.001881794
LH03512,0.542104386,0.198222853,10,0.080194174
LH03523,0.333829569,0.31587904,10,0.228983387
LH03528,0.462970906,-0.28873816,10,0.146917472
LH03529,0.949922509,-0.472791209,9,0.016048974
LH03530,0.850828163,-0.064971481,10,0.006934956
LH03531,0.897425968,0.296290175,9,0.021187056
LH03532,0.916634903,0.068492606,9,0.003939307
LH03535,0.935016384,-0.84883314,9,0.037684441
LH03542,0.271717003,-0.501336341,10,0.431617297
LH03545,0.81739391,-1.007971722,10,0.13428875
LH03546,0.073822334,0.965342888,9,1.662259593
LH03549,0.140861447,1.293540711,9,1.675168855
LH03550,0.721245182,0.219816935,10,0.047461195
LH03551,0.410935638,0.030079467,10,0.017674809
LH03552,0.317630111,0.147396055,10,0.111693108
LH03553,0.036405621,-0.915349704,9,2.00373307
LH03556,0.568919098,-0.157520355,9,0.05870243
LH03557,0.304653942,-0.412192902,10,0.323709654
LH03560,0.471290198,-0.96606333,10,0.480189885
LH03562,0.226353681,-1.000414,9,0.982031359
LH03563,0.946413414,0.464053595,9,0.016887139
LH03565,0.582263867,-0.532517886,10,0.190293256
LH03566,0.426632367,-0.172013893,9,0.096815515
LH03567,0.865184679,-0.050938006,10,0.004873877
LH03569,0.178403463,-1.25891213,10,1.433792165
LH03576,0.771870789,-1.337420503,10,0.2288185
LH03578,0.22466662,0.681697775,9,0.672541214
LH03579,0.603020403,0.249719527,9,0.083456882
LH03580,0.238855549,0.025188309,9,0.023830752
LH03581,0.741284332,0.543039009,10,0.107415747
LH03582,0.30910529,0.489747115,10,0.379921858
LH03583,0.961668224,-0.174656542,10,0.004510562
LH03584,0.051214107,0.363979805,9,0.71468606
LH03585,0.37687731,0.428271143,9,0.276135751
LH03586,0.050668573,0.622356034,10,1.226419845
LH03587,0.445956814,0.105674739,10,0.056384369
LH03588,0.133532647,0.765128169,10,1.017872625
LH03589,0.145128255,0.704450243,10,0.898391693
LH03599,0.238797179,-0.48612162,10,0.45999997
LH03604,0.838153397,1.138999279,10,0.132870491
LH03611,0.179945641,0.284877073,9,0.322830264
LH03616,0.534516385,-0.140335936,10,0.058082178
LH03618,0.809286924,-0.314046317,10,0.043907646
LH03628,0.164184393,-1.13533394,10,1.355353244
LH03629,0.761898586,-0.651941815,10,0.117141833
LH03642,0.956943544,-0.78302399,9,0.022769962
LH03644,0.757885641,-0.595833222,7,0.109139208
LH03645,0.098720915,-1.176226361,9,1.799513363
LH03648,0.492135758,0.270381513,8,0.126663305
LH03651,0.838561624,0.056320898,10,0.00655202
LH03652,0.514771938,-0.355219316,10,0.155851975
LH03654,0.320166464,0.821807678,10,0.618426919
LH03657,0.607226995,0.196833948,10,0.064878293
LH03658,0.197123261,0.139199377,10,0.149358766
LH03660,0.578328947,-0.052776632,10,0.01909599
LH03661,0.683281203,-0.230365726,10,0.057969241
LH03662,0.640859157,0.321888387,10,0.094632295
LH03663,0.22076682,0.028356226,10,0.028303422
LH03664,0.016517916,0.520043971,10,1.409942935
LH03665,0.937126878,-0.160798191,10,0.006899186
LH03671,0.674232216,-0.228481093,9,0.059507649
LH03672,0.476450485,0.367091018,10,0.17982436
LH03674,0.946413414,-0.469670422,9,0.017091538
LH03679,0.576544491,-0.087669873,10,0.031900303
LH03684,0.045192451,1.025429093,10,2.098212681
LH03687,0.08481116,0.835155521,8,1.361511909
LH03688,0.034638316,1.066334866,10,2.369305998
LH03690,0.426564796,-1.940467978,10,1.092367228
LH03691,0.037701669,-0.879610123,10,1.905167175
LH03692,0.191735337,0.256680854,10,0.280114676
LH03693,0.089523976,1.49556073,9,2.384697675
LH03698,0.7710716,-0.273978677,10,0.047062385
LH03699,0.040399582,0.930518789,8,1.972937628
LH03705,0.67868482,-0.355439397,10,0.09102795
LH03706,0.289916861,-0.23588338,9,0.192975275
LH03707,0.853145273,-0.274125911,9,0.028767182
LH03708,0.969238072,0.291383836,9,0.006015521
LH03712,0.672574882,1.26425447,10,0.331329558
LH03714,0.989011221,-0.598054092,9,0.004366307
LH03715,0.838910773,-0.20236407,9,0.023486107
LH03716,0.12824202,0.551095342,9,0.747858928
LH03737,0.545571151,-1.159752042,10,0.464311113
LH03738,0.899813486,0.723383838,10,0.050457688
LH03739,0.006961348,1.971278263,10,6.469976086
LH03740,0.891326074,2.131905839,9,0.162055125
LH03742,0.949599537,-0.567850926,10,0.01940338
LH03746,0.33279213,-0.698060336,9,0.507465439
LH03747,0.215495049,-0.423811063,10,0.429789859
LH03749,0.602123495,-0.247354548,10,0.082909768
LH03752,0.414213145,0.070668937,10,0.041154399
LH03754,0.491395835,0.538846357,9,0.252964423
LH03760,0.535203982,0.323647184,10,0.133676049
LH03761,0.604672834,-0.133711878,10,0.044445074
LH03763,0.847531763,0.011862969,9,0.001296662
LH03770,0.600668908,0.025040194,10,0.008433138
LH03771,0.850418678,0.355984303,10,0.038110447
LH03776,0.123072206,0.286708348,9,0.396869969
LH03777,0.537219788,0.752565498,9,0.308962927
LH03780,0.128075784,0.904818156,10,1.228650729
LH03782,0.577971847,0.2877299,10,0.104225758
LH03790,0.490355713,-0.178266326,9,0.083937699
LH03791,0.698132366,0.404978316,9,0.096155125
LH03793,0.614183902,0.208524276,10,0.067161992
LH03797,0.112596547,-1.044533474,9,1.507270097
LH03800,0.77620259,-0.660016809,9,0.11048133
LH03801,0.480991,-0.267083652,10,0.129160649
LH03802,0.867239362,-1.629529389,10,0.153363542
LH03804,0.215548288,0.483800482,9,0.490546598
LH03805,0.094385242,0.323713294,10,0.504856439
LH03806,0.80564539,0.390798308,10,0.055803048
LH03808,0.82064224,0.431711512,10,0.056384175
LH03810,0.010680304,-2.819597714,8,8.456845117
LH03821,0.883295627,0.640677883,10,0.052531811
LH03822,0.432377249,0.209328935,8,0.115967725
LH03825,0.71811867,-1.146430745,10,0.250819327
LH03828,0.789915023,-0.079736839,10,0.012424676
LH03829,0.47969131,-0.371506848,10,0.180323491
LH03830,0.246856167,-0.976297816,9,0.902425815
LH03831,0.292940395,-0.225144669,9,0.182646588
LH03832,0.214335962,0.550061575,10,0.559781557
LH03837,0.479366686,0.137883377,10,0.066988063
LH03846,0.608323122,0.042204343,10,0.01386065
LH03847,0.06788534,1.099933691,10,1.954949284
LH03850,0.679067664,0.529671844,9,0.135451478
LH03853,0.245952259,-0.227610776,10,0.210940199
LH03854,0.070524336,0.074572142,10,0.130660447
LH03856,0.809691797,-0.248199668,10,0.034619429
LH03857,0.947290593,0.35147694,9,0.012575275
LH03860,0.897663066,0.134960205,8,0.00962715
LH03861,0.197849957,0.950085179,10,1.017116656
LH03862,0.306926474,0.22343287,7,0.174372588
LH03868,0.683281203,0.235453566,10,0.059249546
LH03869,0.486863261,0.374886044,10,0.1782877
LH03874,0.437893569,0.559289079,10,0.305159964
LH03883,0.618964016,-0.161103647,10,0.051063389
LH03889,0.116391322,-0.769252349,9,1.093189596
LH03890,0.004124679,1.151154143,10,4.176319096
LH03891,0.005380646,1.180708626,10,4.076165281
LH03893,0.041564019,-1.001686353,10,2.105024329
LH03894,0.49014229,-0.413335725,10,0.194740337
LH03895,0.641607022,0.590401684,10,0.173117823
LH03897,0.520557983,-1.540759778,8,0.664627301
LH03898,0.677155336,0.448026281,10,0.115407309
LH03905,0.452216438,-0.143644837,10,0.075320948
LH03906,0.196760664,0.747032229,10,0.802462729
LH03907,0.219347895,0.227425635,8,0.227971064
LH03908,0.121406162,-0.73952022,10,1.03032501
LH03916,0.001495976,2.205562342,9,9.479648523
LH03919,0.57004082,0.637337305,9,0.236684266
LH03922,0.553236542,-0.000379047,10,0.000148259
LH03923,0.266960311,-0.309325394,9,0.269918233
LH03927,0.691835746,0.232868892,8,0.056684744
LH03929,0.442503329,0.283427478,9,0.152682919
LH03930,0.19102521,-0.467924471,10,0.511791105
LH03931,0.136641466,0.818474689,8,1.076394978
LH03933,0.653621764,0.399856336,10,0.112344396
LH03934,0.756331264,0.079578953,10,0.014684485
LH03935,0.509611368,0.319756726,9,0.14242152
LH03936,0.938789075,-0.175151929,10,0.007309957
LH03938,0.261153225,-0.534752988,10,0.474397682
LH03940,0.456627558,-0.908593239,10,0.470598182
LH03941,0.446580544,0.391356047,10,0.20845258
LH03943,0.978745197,0.279556442,10,0.003968356
LH03946,0.330903271,-0.337857545,7,0.246881254
LH03947,0.268148996,-1.215646705,9,1.0572083
LH03949,0.558844328,0.533199725,10,0.204999949
LH03951,0.386132869,-0.608235584,10,0.382420754
LH03961,0.339874166,0.500503629,10,0.356884944
LH03978,0.956617627,-0.798885185,7,0.023411005
LH03980,0.146140414,0.421704944,10,0.535867563
LH03987,0.981661968,0.079838174,10,0.000976345
LH03988,0.280236381,-1.087648345,10,0.914206659
LH03989,0.585851882,0.290679445,10,0.102693313
LH03992,0.428999675,-1.020837513,10,0.570831177
LH03993,0.956256871,-0.159937442,10,0.004726761
LH03998,0.540029613,-0.21696503,10,0.088326331
LH03999,0.652114918,0.678115176,10,0.191558657
LH04001,0.11626323,0.25923611,9,0.368590759
LH04003,0.405900804,0.644993664,10,0.384254457
LH04011,0.595228407,-0.095358593,10,0.032688531
LH04012,0.835467723,0.112319313,9,0.013340843
LH04015,0.84060341,0.221638988,10,0.02542795
LH04019,0.97582871,0.105103614,10,0.00169921
LH04021,0.552537512,-0.602891231,10,0.236315464
LH04023,0.694873423,0.201412043,9,0.048444503
LH04026,0.895350461,-0.185774484,8,0.013568534
LH04027,0.725639642,0.037571396,9,0.007961334
LH04029,0.452053254,-0.66644971,9,0.349615441
LH04033,0.155342401,0.190827506,10,0.234788405
LH04041,0.970413264,0.014324426,10,0.000284254
LH04045,0.219245765,0.59137682,9,0.59297708
LH04053,0.437276812,-0.64279757,10,0.351322588
LH04055,0.894440065,1.957291089,10,0.144271621
LH04056,0.64422738,-0.05744119,10,0.016688241
LH04057,0.990329806,0.576576037,9,0.003701922
LH04064,0.079306942,0.358932199,10,0.601062773
LH04069,0.664201655,-1.028622223,9,0.2780906
LH04070,0.650985715,-0.344313388,10,0.097658304
LH04074,0.498709755,0.281922292,9,0.129597896
LH04075,0.123047542,-0.938492207,10,1.299212274
LH04080,0.153076762,0.908442604,10,1.126539217
LH04081,0.19748637,0.566480013,10,0.607135414
LH04082,0.531060368,0.292267333,9,0.122216132
LH04087,0.783887226,-0.981112015,10,0.157843646
LH04089,0.048904245,0.122048546,10,0.243367929
LH04090,0.640485373,-0.233310945,10,0.068681261
LH04091,0.576417089,0.533557973,9,0.19422284
LH04092,0.205224827,0.310696754,10,0.32510442
LH04093,0.428694875,-0.16442088,10,0.092017962
LH04106,0.874802624,-0.554645056,9,0.049018364
LH04122,0.445956814,-0.085316482,10,0.04552191
LH04125,0.512414877,0.507161536,10,0.224054302
LH04129,0.777471843,0.154134163,10,0.025634382
LH04136,0.525959203,0.274409319,10,0.116498556
LH04148,0.398272122,-0.298698065,10,0.181693709
LH04152,0.193877367,-0.470263061,10,0.509743943
LH04154,0.80335095,-0.327724681,9,0.047414183
LH04155,0.946851995,-0.143589584,9,0.00518134
LH04158,0.377050154,0.191657437,8,0.123516618
LH04169,0.024453452,-1.943324936,9,4.764986431
LH04170,0.143262786,0.907246661,10,1.164775014
LH04171,0.538648643,0.394519594,10,0.161276135
LH04172,0.49343316,0.382899401,10,0.178707508
LH04173,0.90064058,0.04638131,10,0.003207047
LH04178,0.751172897,0.844154681,10,0.159586651
LH04185,0.250230669,-0.538484013,10,0.49290864
LH04187,0.631913491,-0.180024073,10,0.05459754
LH04190,0.169106943,-0.399011939,9,0.468549229
LH04191,0.953759988,-0.156190231,10,0.004885836
LH04195,0.104473251,0.585028328,4,0.873145273
LH04203,0.194236073,-1.31587459,10,1.424741557
LH04204,0.545918431,0.203087887,10,0.081221614
LH04206,0.843054968,-1.088323081,10,0.122765787
LH04217,0.064796007,0.539818004,10,0.976049376
LH04218,0.012859367,0.79166788,10,2.277335317
LH04221,0.645351749,0.028414513,10,0.008222457
LH04225,0.944608819,-0.101291886,10,0.003813798
LH04226,0.380716326,-0.229833732,10,0.146650486
LH04229,0.645111925,-0.767362152,9,0.222244071
LH04231,0.463926626,-0.742706407,10,0.376896317
LH04233,0.163867857,0.408424015,10,0.488094335
LH04240,0.584718322,-0.183556884,9,0.065083184
LH04243,0.520994131,0.088777794,9,0.03824636
LH04244,0.518148914,0.18124784,10,0.078739179
LH04247,0.062441226,-0.853093399,8,1.563351215
LH04250,0.573694772,-0.715208359,10,0.262583334
LH04251,0.711879839,-0.601621194,10,0.13509294
LH04253,0.218909434,-2.25978232,8,2.26818952
LH04254,0.996483491,0.636529756,9,0.001481571
LH04255,0.178740776,1.154088867,10,1.312967114
LH04258,0.246803812,0.596498677,10,0.551447942
LH04261,0.180264619,0.93994107,10,1.064066252
LH04265,0.127291973,-0.579486305,10,0.789233699
LH04267,0.945467796,0.29963842,8,0.011101904
LH04268,0.315205781,-0.926918817,8,0.70708877
LH04270,0.924669628,-0.259611756,10,0.013434372
LH04273,0.598803452,-0.184701888,9,0.062584249
LH04277,0.037705296,0.686950571,9,1.487837896
LH04280,0.316024069,-0.008912104,9,0.006783223
LH04286,0.483270062,-0.216069094,10,0.103815343
LH04287,0.676009094,-0.251967588,10,0.065186505
LH04289,0.668767088,1.042789187,10,0.277200941
LH04290,0.039148879,-1.064173098,9,2.278430914
LH04292,0.765249167,-0.666433161,9,0.117813452
LH04293,0.029338686,0.790203738,10,1.842464996
LH04298,0.604672833,0.933439883,10,0.310270151
LH04306,0.48620888,-1.005383844,10,0.479032284
LH04307,0.24744383,0.45954977,10,0.424055752
LH04308,0.590409935,0.115033608,9,0.040050836
LH04313,0.008584701,0.871612846,10,2.740025293
LH04317,0.555686551,-0.307160292,10,0.119244332
LH04321,0.035497599,-0.268330316,10,0.591862751
LH04322,0.300977148,0.734568231,10,0.582775656
LH04334,0.166253082,0.45159345,10,0.535372831
LH04335,0.99912087,0.022641512,9,1.32E-05
LH04336,0.953871398,0.039288448,9,0.001225962
LH04355,0.379560511,-1.054049558,9,0.674677144
LH04357,0.639364546,0.20451301,10,0.060440504
LH04359,0.622282821,0.875167969,10,0.274300875
LH04361,0.520636449,0.235576626,9,0.101595662
LH04364,0.855270336,-0.203287717,8,0.020999162
LH04367,0.744839393,0.620864239,10,0.120847287
LH04369,0.279745388,-0.367738504,9,0.309523222
LH04371,0.701008374,0.511043319,10,0.119950258
LH04372,0.606933138,-0.422015037,8,0.139235039
LH04373,0.09975065,-0.984836406,10,1.499952806
LH04378,0.179700373,0.208564711,8,0.236539028
LH04379,0.414871223,-1.047125623,9,0.608700361
LH04381,0.510198164,-0.844938249,4,0.375697982
LH04384,0.202991685,0.935389873,10,0.985527954
LH04389,0.829183607,-0.392798135,10,0.048614527
LH04395,0.599579012,-0.069275021,10,0.02341385
LH04396,0.422478088,1.262197247,9,0.718569889
LH04397,0.908917309,-0.343451299,10,0.021672099
LH04398,0.60649675,0.293584391,10,0.097001556
LH04410,0.593419916,-0.198752537,10,0.068531155
LH04415,0.287986307,0.434521987,10,0.357398962
LH04417,0.535892011,-0.120861782,10,0.049816967
LH04418,0.914012379,0.109700293,9,0.006517013
LH04419,0.764078012,0.049202353,7,0.008747887
LH04420,0.25872242,0.740787237,10,0.661754965
LH04421,0.075796009,0.856913457,10,1.460612343
LH04422,0.220176543,0.821926057,10,0.82184951
LH04423,0.247017021,0.627870102,10,0.5800918
LH04424,0.089005222,0.505129191,9,0.807376913
LH04427,0.722027539,-0.348824468,10,0.075065642
LH04428,0.423835215,-0.285706346,10,0.162047415
LH04431,0.12990919,0.860261263,9,1.160067989
LH04433,0.756855156,0.441241239,9,0.081219157
LH04434,0.282102012,1.081231028,10,0.904072382
LH04442,0.815305509,0.145879154,9,0.019681579
LH04444,0.474189059,-0.335028334,10,0.165171221
LH04445,0.355261365,-0.156142607,9,0.106769603
LH04448,0.849190469,0.285907242,10,0.030881267
LH04449,0.697526812,0.545042778,10,0.129723527
LH04454,0.089523976,0.980049472,9,1.562705981
LH04456,0.165455122,0.174363637,10,0.20726578
LH04457,0.581189468,0.141174983,10,0.050620626
LH04470,0.379859367,-0.009629305,9,0.006158528
LH04472,0.203814541,-0.138013935,5,0.14504275
LH04473,0.657813393,0.479582542,9,0.132718803
LH04475,0.32545356,0.1574982,8,0.116816141
LH04476,0.935234643,-0.088300309,8,0.003906526
LH04483,0.043191749,1.682511525,9,3.493059869
LH04486,0.712658649,0.148884139,10,0.033324098
LH04487,0.076713196,0.679834769,9,1.153378117
LH04490,0.080929445,-0.871771005,10,1.448189992
LH04491,0.815305509,0.151566857,9,0.020448947
LH04497,0.338554189,-1.08500718,10,0.776455841
LH04498,0.549048881,-0.451903142,10,0.179023829
LH04499,0.050365901,0.631635418,9,1.247206374
LH04500,0.752362312,-0.273604864,10,0.05143872
LH04506,0.511381304,-0.28482088,9,0.126208413
LH04509,0.702622506,0.368478876,9,0.085928083
LH04511,0.791524578,-0.436682541,10,0.067456998
LH04512,0.178909628,-0.694955975,10,0.79019388
LH04514,0.985055663,-0.138672705,9,0.001379623
LH04522,0.637871389,-0.510203991,10,0.151570714
LH04524,0.816176598,-0.121751629,10,0.016340462
LH04526,0.217047513,0.195948102,10,0.197783006
LH04530,0.767079318,-0.315175929,10,0.055220016
LH04536,0.824706972,-0.421027545,10,0.053614291
LH04537,0.770272656,-0.993098707,10,0.17126868
LH04543,0.25845532,-0.283650618,8,0.253582408
LH04544,0.29757224,0.953564621,10,0.763686536
LH04545,0.001989977,-3.184349817,9,13.08617323
LH04551,0.941280322,-0.008277504,8,0.000330967
LH04552,0.517472604,0.111063696,10,0.048345052
LH04559,0.116220078,0.774456408,10,1.101338542
LH04562,0.981343674,0.120099613,8,0.001494438
LH04563,0.006040697,1.171793775,7,3.955799863
LH04564,0.158402744,0.255934474,10,0.311594974
LH04580,0.013709545,1.295015334,9,3.670500266
LH04602,0.707990304,-0.338465095,10,0.077226959
LH04603,0.303948041,-0.109193992,9,0.085921267
LH04607,0.180264619,-0.64205433,10,0.726841679
LH04608,0.448454722,-0.134257426,10,0.071139607
LH04609,0.17958813,1.328818262,9,1.507598249
LH04610,0.264414005,0.300493806,8,0.264114621
LH04611,0.503617661,-0.525996946,9,0.238393936
LH04612,0.080360513,0.882736967,9,1.470521443
LH04638,0.877937873,-0.147998748,10,0.012729978
LH04639,0.040632341,-1.206448211,10,2.553399024
LH04640,0.329786721,-0.526366823,8,0.385805375
LH04641,0.23189901,0.308319,9,0.297723015
LH04642,0.26083761,1.095606385,9,0.972825329
LH04646,0.535203982,0.302318388,10,0.124866613
LH04649,0.500109414,-0.773478642,9,0.354130921
LH04651,0.57227242,0.366167835,10,0.13503633
LH04652,0.886595377,-0.154379722,10,0.012277878
LH04653,0.226932879,0.333397403,10,0.32670826
LH04656,0.594504709,-0.584859706,10,0.200957617
LH04659,0.450398449,0.234851727,9,0.123770861
LH04661,0.664201664,-0.237616278,9,0.064240155
LH04671,0.569432753,0.352968739,10,0.131328866
LH04672,0.357060506,-0.320986818,10,0.218417966
LH04673,0.676773172,0.723336915,10,0.186594515
LH04674,0.840158939,0.389469546,8,0.04481873
LH04678,0.147615319,-2.360034517,6,2.983276805
LH04680,0.575475053,-0.93140298,10,0.340050777
LH04681,0.639172146,-0.232731826,8,0.068826398
LH04685,0.310598578,-0.669014855,10,0.516858642
LH04693,0.777872367,-0.031550338,10,0.005236468
LH04696,0.535203982,0.310196544,10,0.128120529
LH04697,0.219245765,1.058240935,9,1.061104525
LH04698,0.417206072,-1.227242465,10,0.708852595
LH04699,0.899976541,-0.641192735,8,0.044647905
LH04700,0.88416762,0.252843298,7,0.020566817
LH04701,0.436634297,0.160130192,9,0.087675126
LH04702,0.562010794,-0.973971403,10,0.370827924
LH04708,0.641607022,0.585937141,10,0.171808728
LH04711,0.080205036,0.617323954,10,1.029168872
LH04713,0.354611138,0.270368862,10,0.18520426
LH04716,0.02222393,1.877466497,10,4.722097782
LH04726,0.997802178,0.829415548,9,0.001205784
LH04728,0.044523615,-0.139214145,10,0.286228729
LH04729,0.373317957,-0.502160787,9,0.326925941
LH04740,0.618227565,-0.428239537,10,0.136071605
LH04741,0.842646268,0.468533194,10,0.053001925
LH04744,0.412423502,-0.559402755,10,0.327371334
LH04745,0.474834581,0.355826769,10,0.175105152
LH04755,0.630427723,-0.469388605,10,0.143085825
LH04760,0.369188025,0.179581528,10,0.118234442
LH04765,0.868594203,0.178850209,8,0.016648059
LH04768,0.593837101,0.593028262,9,0.204204594
LH04770,0.511742466,0.132382488,10,0.058598917
LH04771,0.257183735,0.687491329,10,0.616854628
LH04782,0.090838806,-1.09094443,10,1.729020232
LH04785,0.395905191,0.205809911,9,0.126001763
LH04786,0.695595353,-0.210886776,10,0.050578717
LH04788,0.403250283,-0.670837036,10,0.402554496
LH04797,0.582826802,-0.465025806,9,0.165878301
LH04799,0.784690192,-0.343686685,10,0.055060642
LH04803,0.040747402,-1.229394079,9,2.599666031
LH04804,0.085768527,1.196907666,10,1.942381028
LH04805,0.900914366,-0.363873262,9,0.02508703
LH04806,0.02865309,-1.132287108,9,2.657768141
LH04810,0.428085651,0.242916971,10,0.136176468
LH04812,0.046786068,1.13579636,10,2.298036493
LH04813,0.705485293,-0.251802297,9,0.058042978
LH04814,0.435984964,-0.276142209,9,0.151466031
LH04817,0.631729221,-0.525400292,9,0.159444176
LH04818,0.312597023,-0.546177083,10,0.419643747
LH04824,0.566953573,0.130363107,10,0.048879956
LH04826,0.161195886,0.840951832,10,1.014129192
LH04827,0.509965099,-0.526898151,9,0.234441958
LH04828,0.240467367,0.206644698,10,0.194589044
LH04831,0.512078613,-0.096506328,10,0.042676515
LH04836,0.661177088,-0.029488829,10,0.008061307
LH04840,0.391596204,1.131463046,10,0.700890178
LH04843,0.136947254,0.760622478,10,0.99918876
