gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH00391,0.863094935,0.983729698,9,0.095697591
LH00394,0.07191632,1.016235586,10,1.767457783
LH00395,0.1830303,-0.170116189,5,0.190869702
LH00399,0.071422484,-0.713432755,10,1.244064998
LH00400,0.964582777,-0.259818504,10,0.006190397
LH00401,0.692267007,-0.180050225,8,0.043753535
LH00404,0.078264986,0.795836809,8,1.339651412
LH00405,0.936295881,-0.343207243,10,0.014926781
LH00407,0.663401782,0.679461393,9,0.184235065
LH00410,0.7731842,0.127320468,8,0.02164016
LH00414,0.617859479,0.294628838,10,0.093733215
LH00415,0.948351665,0.408703089,10,0.014320423
LH00427,0.539038192,0.231436249,9,0.09449855
LH00429,0.459709462,0.429479459,9,0.220536433
LH00430,0.016121778,-0.823239769,10,2.245171217
LH00437,0.651450012,0.922401279,9,0.261188016
LH00438,0.283190959,0.379960601,9,0.3167372
LH00439,0.457259687,0.352364295,10,0.182182028
LH00441,0.296120923,-0.554187373,10,0.445625341
LH00460,0.332524757,0.498659591,10,0.362772894
LH00462,0.09912733,-1.478540442,1,2.258011332
LH00463,0.99916638,0.167658527,10,9.24E-05
LH00465,0.256745279,0.433803268,10,0.389720968
LH00468,0.391596204,-0.14005344,10,0.086756771
LH00473,0.868883756,0.217596624,10,0.020206803
LH00477,0.91750928,0.774294209,9,0.044045235
LH00478,0.105081587,-1.45022666,7,2.15887632
LH00479,0.31323805,-0.603401513,8,0.462794209
LH00483,0.139203019,1.261853773,7,1.644007825
LH00487,0.482944121,0.433779022,10,0.208612433
LH00491,0.009234059,-1.06667714,8,3.301843341
LH00492,0.978903337,0.223506668,9,0.00314886
LH00494,0.014890317,2.362081696,9,6.565974042
LH00495,0.582622207,-0.503621089,10,0.179762369
LH00497,0.904777652,-0.593876129,10,0.039265381
LH00498,0.818300997,-0.272129757,9,0.036055526
LH00499,0.047600447,0.891114031,10,1.792814542
LH00500,0.194775033,0.819481339,10,0.88577959
LH00503,0.341667343,0.890583727,9,0.631935759
LH00504,0.946851995,-0.227316264,9,0.008202564
LH00507,0.051609602,-0.224678515,9,0.440021488
LH00508,0.428879118,-0.63199179,9,0.353514073
LH00509,0.939620275,0.059381567,10,0.002443563
LH00511,0.847639344,-0.170813413,14,0.018656153
LH00512,0.772670215,-0.54640048,10,0.093109621
LH00520,0.619242933,-2.157107171,9,0.683074273
LH00521,0.808072617,0.403251947,10,0.056779809
LH00522,0.116098754,-0.895782774,10,1.274492462
LH00525,0.106848271,1.498881116,9,2.214793597
LH00527,0.777471845,0.176057154,10,0.029280441
LH00530,0.48131622,-0.634005256,10,0.306319406
LH00533,0.789791168,0.604678783,8,0.094284317
LH00539,0.194304103,0.895859436,9,0.96976978
LH00544,0.446769988,-1.212440495,9,0.645456696
LH00545,0.971873665,-0.665352499,9,0.012542164
LH00547,0.461380478,0.316945611,10,0.161990797
LH00556,0.007445671,1.007106162,10,3.260688874
LH00557,0.197542162,-0.455773599,9,0.488398705
LH00559,0.602487391,0.718636526,10,0.240589986
LH00574,0.411232957,0.231066566,10,0.135665168
LH00580,0.004883571,1.321780926,9,4.647844744
LH00581,0.767079318,0.420258388,10,0.073630861
LH00588,0.881646507,0.030529736,10,0.002540955
LH00593,0.119237473,0.791192749,9,1.111739626
LH00595,0.75752321,-0.171200121,10,0.031412959
LH00611,0.121155169,0.133471059,10,0.18613898
LH00612,0.116519514,0.633773465,9,0.900198701
LH00614,0.187154084,1.023421005,10,1.133208062
LH00615,0.389811004,0.408037567,8,0.253992694
LH00616,0.517472604,0.3428161,10,0.149224838
LH00618,0.287912884,-0.59478048,9,0.489313487
LH00628,0.034281864,1.028757839,10,2.292844214
LH00629,0.544511843,0.190435812,9,0.076486248
LH00630,0.396524001,-0.134111002,10,0.081967578
LH00631,0.17780851,0.349773861,9,0.399134216
LH00632,0.014136861,1.500328201,9,4.221997694
LH00637,0.342789707,0.474881397,10,0.335934831
LH00644,0.54314326,-0.351167114,10,0.141625954
LH00646,0.727707212,-0.220040506,9,0.046212653
LH00647,0.848781147,-0.73424037,10,0.079540295
LH00649,0.241725398,-0.449729757,10,0.421941988
LH00657,0.208886655,0.860667459,9,0.890521058
LH00658,0.145995491,-0.971127536,10,1.234664716
LH00659,0.695209289,-0.079168062,10,0.01901657
LH00660,0.896506206,-0.115008071,10,0.008301894
LH00661,0.371420237,0.177654937,10,0.116258405
LH00662,0.568171869,0.341673746,9,0.127626786
LH00666,0.818205705,-0.268264753,10,0.035564079
LH00668,0.826334188,-0.289679317,10,0.036510928
LH00670,0.427146517,0.040232996,14,0.022612539
LH00671,0.99766775,-0.245949544,8,0.000379451
LH00672,0.863541588,0.014787857,10,0.001433513
LH00673,0.822674012,-0.841959176,10,0.108589408
LH00676,0.661555769,0.039435692,10,0.010765543
LH00686,0.678684822,0.322270468,10,0.082533394
LH00687,0.461383408,-0.278293465,9,0.14223453
LH00690,0.699460234,0.088427922,10,0.020884662
LH00694,0.798375027,0.084682291,10,0.012599215
LH00695,0.799943663,0.097336709,9,0.014355728
LH00696,0.229754885,0.511782075,9,0.497334764
LH00713,0.157628663,1.497099058,9,1.827533195
LH00717,0.321184704,0.656183225,10,0.492414472
LH00719,0.333307249,0.330278903,10,0.23976368
LH00729,0.435429546,0.343943174,10,0.188945053
LH00731,0.472577373,-0.317605686,10,0.157296208
LH00741,0.796706702,-0.680987222,7,0.102259982
LH00742,0.622282823,0.109074588,10,0.034186871
LH00750,0.04073498,0.836151216,10,1.768286544
LH00752,0.597401909,-0.196016314,10,0.066721514
LH00753,0.746421171,0.01716784,10,0.003317547
LH00754,0.428085651,0.490530298,10,0.274985659
LH00755,0.769473954,0.202821972,10,0.035117478
LH00756,0.928884884,0.0963653,9,0.004697106
LH00757,0.69791334,0.349189767,10,0.082981491
LH00758,0.487518117,-0.870608369,10,0.413269314
LH00760,0.540720762,-0.283334765,10,0.115105966
LH00761,0.636752484,0.098071812,10,0.029248808
LH00762,0.040940914,0.836829694,10,1.766933151
LH00763,0.697629462,0.595005522,6,0.141557115
LH00771,0.727080525,-1.112735398,8,0.234328834
LH00776,0.528689863,-0.742971471,10,0.312881255
LH00778,0.010185757,1.070835233,9,3.245310931
LH00789,0.442224853,-0.465684833,10,0.251059001
LH00791,0.866828354,-0.015369876,10,0.001451354
LH00792,0.28049083,0.064612564,7,0.054270385
LH00793,0.13502686,1.521348591,10,2.012709335
LH00795,0.126035957,-1.244931271,8,1.703695915
LH00796,0.17551467,0.943628948,9,1.084890307
LH00799,0.250471594,-0.38630871,9,0.353367277
LH00810,0.004124679,2.306701133,10,8.368575107
LH00817,0.05889493,0.842188113,10,1.575903336
LH00821,0.732617538,-0.127081991,10,0.026124931
LH00823,0.764249981,-1.879191172,8,0.333829636
LH00827,0.127944888,-1.137073521,10,1.544798056
LH00828,0.339345781,1.002474248,10,0.715846482
LH00829,0.823487054,-0.036753411,10,0.004716184
LH00830,0.303171264,-0.314221681,9,0.247782282
LH00831,0.937957943,-1.149913014,10,0.048664519
LH00832,0.996665529,-0.214640712,10,0.000473687
LH00833,0.922180294,0.132929322,10,0.007115589
LH00834,0.476127062,0.841709623,10,0.412700171
LH00837,0.35354369,-0.205461949,9,0.141151911
LH00839,0.892787667,0.123030509,10,0.009218875
LH00840,0.068279887,0.727076326,10,1.289473291
LH00841,0.105919396,-1.168445185,10,1.733272074
LH00842,0.33650312,-0.459891487,8,0.330955336
LH00843,0.469465576,0.227412568,9,0.113620191
LH00844,0.500382321,-1.652697982,10,0.756078629
LH00845,0.870117424,0.244949901,10,0.022517294
LH00856,0.945856303,0.174143627,10,0.006404925
LH00861,0.087361467,-0.910385805,9,1.466334608
LH00867,0.370861398,-0.498949168,10,0.327011584
LH00868,0.99958319,-0.16417578,10,4.52E-05
LH00870,0.759511066,-0.179115633,10,0.032555195
LH00871,0.203957911,-2.322735895,8,2.439949686
LH00872,0.475919076,0.450996377,9,0.22125905
LH00879,0.375628145,0.638944365,10,0.413372835
LH00881,0.859198912,-0.51850336,9,0.051990171
LH00882,0.493131993,-0.057963181,9,0.027076064
LH00886,0.142503789,-1.458318592,9,1.877391047
LH00889,0.146750603,-0.3139099,9,0.398026374
LH00891,0.94627216,0.045785764,10,0.001670682
LH00892,0.873500369,-0.1305041,9,0.011662136
LH00893,0.25521477,-0.75078238,10,0.677455246
LH00894,0.405900804,0.180959812,10,0.107806663
LH00900,0.428085651,0.31679451,10,0.177591369
LH00902,0.314101403,0.603685727,10,0.461914316
LH00904,0.631170421,-0.64441185,10,0.195937626
LH00906,0.354882766,-0.577654029,10,0.395404158
LH00909,0.578686151,1.638502557,10,0.592185348
LH00910,0.995415114,-0.334499299,10,0.00101566
LH00915,0.244255338,1.32235534,10,1.231552993
LH00918,0.797816036,0.492322231,9,0.073476607
LH00920,0.563143603,-1.809947014,8,0.686707543
LH00921,0.700234149,0.397997363,10,0.093707113
LH00926,0.659807071,0.101926373,9,0.028003118
LH00928,0.377601872,-0.405453096,10,0.260908845
LH00930,0.924547802,0.133612694,8,0.006925813
LH00931,0.244467001,-1.396214897,10,1.299541742
LH00932,0.503617661,0.146093694,9,0.066213028
LH00934,0.090838806,-0.714843078,10,1.132943265
LH00935,0.281634817,0.559737529,10,0.468638087
LH00936,0.96726413,0.043772753,2,0.000962637
LH00937,0.562363159,0.249666454,10,0.094954111
LH00938,0.716947443,-0.475959149,10,0.104645004
LH00939,0.00841483,1.040487968,10,3.284645737
LH00945,0.406099662,-0.688489195,9,0.409944071
LH00946,0.685583817,0.250205605,10,0.06240557
LH00947,0.660206099,-0.256386484,9,0.070336867
LH00948,0.307851736,-0.559198796,9,0.435300529
LH00951,0.907460229,-0.016655865,9,0.001068657
LH00952,0.997499143,0.11336659,10,0.000187562
LH00955,0.265388985,-0.042857143,10,0.037564434
LH00956,0.732224393,-0.056453674,10,0.011625509
LH00957,0.985055663,-0.191761836,9,0.001907794
