,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
CDK5R1_-_30813603.23-P1P2,995,1319,1038,1565,-0.023263309,-0.085687508,-0.054475408
CDK5R1_-_30813611.23-P1P2,1280,1777,1537,3213,0.179672033,0.522071699,0.350871866
CDK5R1_-_30813629.23-P1P2,367,723,354,673,-0.136332024,-0.435794743,-0.286063383
CDK5R1_-_30813632.23-P1P2,888,988,882,1435,-0.094082342,0.20606219,0.055989924
CDK5R2_+_219824399.23-P1P2,852,1371,1027,2179,0.185209525,0.336032025,0.260620775
CDK5R2_+_219824820.23-P1P2,1290,1929,1339,2211,-0.030516427,-0.135559719,-0.083038073
CDK5R2_-_219824623.23-P1P2,653,1074,893,961,0.367275862,-0.492791257,-0.062757698
CDK5R2_-_219824813.23-P1P2,621,1219,1142,1496,0.794596156,-0.036993551,0.378801302
CDK5R2_-_219824882.23-P1P2,1299,2031,1364,2918,-0.013859108,0.190384043,0.088262468
CDK5_+_150754783.23-P1P2,1062,1429,981,1379,-0.198760046,-0.38378906,-0.291274553
CDK5_+_150754952.23-P1P2,694,1193,869,1216,0.240119193,-0.304856415,-0.032368611
CDK5_+_150754962.23-P1P2,813,1241,871,910,0.015116045,-0.779970265,-0.38242711
CDK5_-_150754512.23-P1P2,1640,2109,2015,2633,0.212782702,-0.012257174,0.100262764
CDK5_-_150754596.23-P1P2,1513,1810,1446,1797,-0.149645757,-0.342804889,-0.246225323
CDK6_+_92463061.23-P2,860,725,608,1480,-0.584566658,0.697138675,0.056286009
CDK6_+_92463239.23-P2,1497,1924,1080,2375,-0.555344231,-0.028586886,-0.291965558
CDK6_+_92465848.23-P1,674,1321,635,821,-0.170293321,-1.01858194,-0.59443763
CDK6_+_92465903.23-P1,766,713,439,809,-0.887424774,-0.150167974,-0.518796374
CDK6_-_92463228.23-P2,1948,2398,1690,2592,-0.289271752,-0.220171541,-0.254721647
CDK6_-_92463237.23-P2,1274,2126,1454,2202,0.10636067,-0.281732728,-0.087686029
CDK6_-_92463259.23-P2,26,48,24,0,,,
CDK6_-_92465826.23-P1,705,1016,462,1112,-0.694031727,-0.202149214,-0.448090471
CDK6_-_92465843.23-P1,2014,3233,1994,3142,-0.098699595,-0.373595927,-0.236147761
CDK6_-_92465893.23-P1,1191,1659,519,1626,-1.282668291,-0.361392229,-0.82203026
CDK7_+_68530767.23-P1P2,1107,629,255,273,-2.202387391,-1.536564666,-1.869476029
CDK7_+_68531106.23-P1P2,775,216,426,238,-0.947644201,-0.192475339,-0.57005977
CDK7_-_68530696.23-P1P2,598,261,295,103,-1.103731851,-1.67381107,-1.388771461
CDK7_-_68530717.23-P1P2,1126,430,442,387,-1.433389874,-0.484408694,-0.958899284
CDK7_-_68530895.23-P1P2,367,299,90,85,-2.112084478,-2.147016338,-2.129550408
CDK8_+_26828253.23-P1P2,789,666,677,671,-0.305170788,-0.321615011,-0.3133929
CDK8_+_26828274.23-P1P2,1052,713,762,371,-0.549573123,-1.27488849,-0.912230807
CDK8_+_26828294.23-P1P2,231,501,204,619,-0.263625021,-0.027276794,-0.145450908
CDK8_-_26828288.23-P1P2,792,1367,631,376,-0.412161747,-2.194614276,-1.303388011
CDK8_-_26828453.23-P1P2,635,747,540,348,-0.318098506,-1.434426537,-0.876262522
CDK9_+_130548739.23-P1P2,1040,1443,1085,1262,-0.023189807,-0.52576499,-0.274477399
CDK9_+_130548853.23-P1P2,1849,1930,1888,3067,-0.054187782,0.335821719,0.140816969
CDK9_-_130547862.23-P1P2,1198,1342,946,2819,-0.425017141,0.738393206,0.156688033
CDK9_-_130548401.23-P1P2,407,303,150,149,-1.524367615,-1.356411063,-1.440389339
CDK9_-_130548749.23-P1P2,373,657,410,603,0.052146958,-0.456140969,-0.201997005
CDKL1_+_50863545.23-P1P2,1395,2381,1580,2572,0.095358115,-0.221082578,-0.062862232
CDKL1_+_50863573.23-P1P2,770,1861,876,1450,0.101771102,-0.692430755,-0.295329826
CDKL1_+_50863588.23-P1P2,302,666,331,567,0.047981346,-0.564579042,-0.258298848
CDKL1_-_50863559.23-P1P2,1343,1737,1552,1875,0.124367931,-0.222112759,-0.048872414
CDKL1_-_50863564.23-P1P2,419,276,297,115,-0.580788634,-1.595440006,-1.08811432
CDKL2_+_76555613.23-P1P2,404,160,196,187,-1.12780296,-0.107439235,-0.617621098
CDKL2_+_76555663.23-P1P2,463,543,420,626,-0.224924187,-0.127195141,-0.176059664
CDKL2_+_76555675.23-P1P2,2192,3077,2404,3582,0.048887776,-0.113164707,-0.032138465
CDKL2_-_76555646.23-P1P2,514,860,1096,747,1.008106212,-0.535634017,0.236236098
CDKL2_-_76555682.23-P1P2,1016,1659,1051,2234,-0.035439054,0.096909699,0.030735322
CDKL3_+_133702210.23-P2,1385,2116,1887,2941,0.361907125,0.142561556,0.252234341
CDKL3_+_133702827.23-P2,998,1351,893,1827,-0.244680962,0.103043359,-0.070818801
CDKL3_+_133702841.23-P2,1547,2070,1439,1983,-0.188707926,-0.39435169,-0.291529808
CDKL3_+_133706658.23-P1,1159,1564,1426,1553,0.214792094,-0.342588283,-0.063898095
CDKL3_+_133706664.23-P1,748,634,948,1998,0.257547467,1.323596237,0.790571852
CDKL3_-_133702224.23-P2,1675,2823,1329,1921,-0.418121312,-0.88777721,-0.652949261
CDKL3_-_133702889.23-P2,1293,1592,1522,2732,0.150944762,0.446711547,0.298828155
CDKL3_-_133706263.23-P1,2499,2868,2241,3018,-0.241509574,-0.258857818,-0.250183696
CDKL3_-_133706274.23-P1,414,670,460,788,0.067701772,-0.098371066,-0.015334647
CDKL3_-_133706536.23-P1,592,817,703,793,0.163626192,-0.375420813,-0.10589731
"CDKL4_+_39456624.23-ENST00000378803.1,ENST00000395035.3",839,1151,1184,1629,0.412625044,0.16869317,0.290659107
"CDKL4_+_39456634.23-ENST00000378803.1,ENST00000395035.3",1377,1705,1802,2257,0.30376913,0.072229079,0.187999105
"CDKL4_-_39456218.23-ENST00000378803.1,ENST00000395035.3",3705,4023,3398,5393,-0.209089012,0.090410696,-0.059339158
"CDKL4_-_39456253.23-ENST00000378803.1,ENST00000395035.3",1122,1374,1173,2004,-0.020170984,0.212094904,0.09596196
"CDKL4_-_39456599.23-ENST00000378803.1,ENST00000395035.3",874,1087,668,798,-0.472086499,-0.778296889,-0.625191694
CDKL5_+_18443738.23-P1P2,1302,1696,1140,1929,-0.275996946,-0.146688627,-0.211342786
CDKL5_+_18443786.23-P1P2,766,1505,747,2281,-0.120537471,0.267497359,0.073479944
CDKL5_+_18444159.23-P1P2,879,1334,1070,1507,0.199374405,-0.15648485,0.021444777
CDKL5_-_18443804.23-P1P2,1034,1242,1176,1862,0.101350553,0.251782299,0.176566426
CDKL5_-_18444186.23-P1P2,230,857,416,824,0.770648346,-0.389056467,0.190795939
CDKN1A_+_36646518.23-P1P2,1077,684,677,1407,-0.754091833,0.708148498,-0.022971667
CDKN1A_+_36646528.23-P1P2,155,130,16,238,-3.360425727,0.54004435,-1.410190688
CDKN1A_-_36646538.23-P1P2,275,934,500,1371,0.778195155,0.221328516,0.499761835
CDKN1A_-_36646575.23-P1P2,1104,1308,1134,2626,-0.045620853,0.673098775,0.313738961
CDKN1A_-_36646586.23-P1P2,311,442,374,447,0.181822368,-0.316177138,-0.067177385
CDKN1B_+_12870313.23-P1P2,315,802,617,1029,0.885617339,0.02716324,0.45639029
CDKN1B_+_12870316.23-P1P2,992,984,963,1412,-0.127105644,0.188604268,0.030749312
CDKN1B_+_12870802.23-P1P2,1344,1616,1216,2145,-0.228691231,0.076144849,-0.076273191
CDKN1B_-_12870352.23-P1P2,1970,1852,1553,3675,-0.427439121,0.656254551,0.114407715
CDKN1B_-_12870766.23-P1P2,1074,1601,2014,2181,0.822768368,0.113610862,0.468189615
CDKN1C_+_2906927.23-P1P2,1228,1283,1030,2239,-0.337967545,0.470927757,0.066480106
CDKN1C_+_2906930.23-P1P2,1326,1767,2184,2652,0.635590759,0.253373135,0.444481947
CDKN1C_+_2907024.23-P1P2,969,1095,744,1805,-0.465495366,0.388662367,-0.038416499
CDKN1C_-_2906542.23-P1P2,859,1447,1014,2254,0.155026294,0.307016993,0.231021644
CDKN1C_-_2906877.23-P1P2,196,456,352,680,0.760420453,0.244095322,0.502257887
CDKN2A_+_21974424.23-P2,690,902,856,1310,0.226713113,0.205961873,0.216337493
CDKN2A_+_21974625.23-P2,878,1626,695,1236,-0.421509283,-0.728054114,-0.574781699
CDKN2A_+_21974671.23-P2,1101,1257,967,1151,-0.271527996,-0.459502417,-0.365515206
CDKN2A_+_21994035.23-P1,1186,1250,764,1228,-0.718760788,-0.358023134,-0.538391961
CDKN2A_+_21994326.23-P1,724,1085,454,888,-0.757598721,-0.621469061,-0.689533891
CDKN2A_+_21994362.23-P1,604,1415,682,1294,0.090921868,-0.461370036,-0.185224084
CDKN2A_+_21994383.23-P1,1607,2365,1684,2209,-0.016779112,-0.430852365,-0.223815739
CDKN2A_-_21974525.23-P2,571,559,370,605,-0.710266796,-0.218318741,-0.464292769
CDKN2A_-_21974795.23-P2,597,1195,437,1714,-0.534398973,0.187950891,-0.173224041
CDKN2A_-_21994389.23-P1,437,504,389,493,-0.252164446,-0.364241687,-0.308203067
CDKN2B_+_22008827.23-P1P2,1244,1430,932,1916,-0.500885947,0.089676814,-0.205604567
CDKN2B_+_22008917.23-P1P2,2800,1875,2161,1426,-0.458029077,-0.727322214,-0.592675645
CDKN2B_+_22008932.23-P1P2,870,1492,669,1868,-0.463310512,-0.008158681,-0.235734596
CDKN2B_+_22009247.23-P1P2,1045,838,407,645,-1.444703564,-0.710056684,-1.077380124
CDKN2B_+_22009282.23-P1P2,737,965,642,1674,-0.283392644,0.46229308,0.089450218
CDKN2C_+_51434837.23-P2,1784,1425,1698,3002,-0.155580478,0.742556457,0.29348799
CDKN2C_+_51434858.23-P2,875,1179,921,1054,-0.010383182,-0.494094452,-0.252238817
CDKN2C_+_51435928.23-P1,290,248,361,483,0.231644615,0.629277468,0.430461042
CDKN2C_+_51435933.23-P1,1752,2623,1560,3087,-0.251758067,-0.097417925,-0.174587996
CDKN2C_+_51435947.23-P1,342,517,378,595,0.060088588,-0.129680212,-0.034795812
CDKN2C_-_51434505.23-P2,1236,1207,1433,2043,0.129058545,0.426857928,0.277958236
CDKN2C_-_51434601.23-P2,1044,1387,1056,1978,-0.067813199,0.179669038,0.05592792
CDKN2C_-_51434930.23-P2,955,1163,1291,1403,0.350615041,-0.061741688,0.144436676
CDKN2C_-_51435973.23-P1,1580,1904,2108,1974,0.331648987,-0.280317089,0.025665949
CDKN2C_-_51435981.23-P1,1088,1169,1281,1725,0.151290598,0.228915832,0.190103215
CDKN2D_+_10679551.23-P1P2,61,59,266,25,2.040243776,-1.57119246,0.234525658
CDKN2D_+_10679612.23-P1P2,656,652,735,345,0.079747114,-1.250681203,-0.585467045
CDKN2D_+_10679629.23-P1P2,535,652,719,1121,0.342151558,0.449436808,0.395794183
CDKN2D_+_10679673.23-P1P2,402,338,216,359,-0.980465511,-0.245445003,-0.612955257
CDKN2D_-_10679219.23-P1P2,1273,1807,1618,2029,0.261677867,-0.165233241,0.048222313
CDKN3_+_54863725.23-P1P2,824,1155,747,1136,-0.225837416,-0.356335617,-0.291086517
CDKN3_+_54864161.23-P1P2,1143,1413,686,1751,-0.820846244,-0.022987982,-0.421917113
CDKN3_-_54863739.23-P1P2,510,581,636,899,0.234228197,0.297377352,0.265802774
CDKN3_-_54863776.23-P1P2,839,1208,891,1002,0.0024533,-0.602143546,-0.299845123
CDKN3_-_54864170.23-P1P2,1272,1774,1249,1946,-0.110626515,-0.1988999,-0.154763208
CDO1_+_115151952.23-P1P2,1239,1202,1110,2327,-0.242917832,0.620628714,0.188855441
CDO1_-_115151890.23-P1P2,460,847,401,870,-0.282332946,-0.293752169,-0.288042557
CDO1_-_115151965.23-P1P2,1055,831,654,823,-0.77418178,-0.346361647,-0.560271713
CDO1_-_115152304.23-P1P2,441,857,801,1355,0.776722265,0.328520142,0.552621204
CDO1_-_115152311.23-P1P2,534,621,660,736,0.221324961,-0.087293102,0.067015929
CEACAM1_+_43025120.23-P2,789,914,568,1201,-0.558435692,0.06156448,-0.248435606
CEACAM1_+_43025380.23-P2,377,553,323,1006,-0.30733168,0.530873319,0.11177082
CEACAM1_+_43025552.23-P2,1673,1780,1484,2539,-0.257247675,0.179977554,-0.038635061
CEACAM1_+_43032394.23-P1,1766,2244,2108,3086,0.171088202,0.127259786,0.149173994
CEACAM1_+_43032520.23-P1,816,1437,649,1790,-0.414651996,-0.015506075,-0.215079035
CEACAM1_-_43025183.23-P2,1731,1893,1957,2997,0.09273671,0.330439073,0.211587891
CEACAM1_-_43025224.23-P2,1548,2019,1599,2558,-0.037536854,0.008969753,-0.01428355
CEACAM1_-_43032561.23-P1,688,855,651,860,-0.164052343,-0.32399336,-0.244022852
CEACAM1_-_43032571.23-P1,430,407,179,792,-1.348678394,0.628066036,-0.360306179
CEACAM1_-_43032594.23-P1,681,833,609,857,-0.245513892,-0.291426892,-0.268470392
CEACAM5_+_42212565.23-P1P2,1025,1051,791,1289,-0.458175631,-0.037916006,-0.248045819
CEACAM5_+_42212648.23-P1P2,1477,1835,1334,2280,-0.231212481,-0.019151839,-0.12518216
CEACAM5_+_42213012.23-P1P2,1997,2070,2120,3531,0.00192861,0.438040453,0.219984532
CEACAM5_-_42212542.23-P1P2,1088,1233,1115,2130,-0.048936168,0.45627503,0.203669431
CEACAM5_-_42212807.23-P1P2,974,1409,1211,2184,0.229903866,0.299895644,0.264899755
CELA1_+_51740006.23-ENST00000293636.1,1506,1960,1657,2301,0.053550511,-0.100998271,-0.02372388
CELA1_+_51740031.23-ENST00000293636.1,1092,1786,906,2050,-0.353691222,-0.133513771,-0.243602497
CELA1_+_51740172.23-ENST00000293636.1,410,518,542,672,0.31836762,0.043103535,0.180735578
CELA1_+_51740445.23-ENST00000293636.1,2472,2719,2849,4211,0.120475557,0.298681124,0.20957834
CELA1_-_51740036.23-ENST00000293636.1,2282,2866,1813,3522,-0.416221188,-0.035049301,-0.225635244
CELA2A_+_15783246.23-P1P2,1254,1693,844,2096,-0.655523766,-0.024348857,-0.339936311
CELA2A_+_15783596.23-P1P2,870,717,1068,1159,0.211523019,0.360429942,0.285976481
CELA2A_+_15783605.23-P1P2,261,747,381,755,0.461439869,-0.317037199,0.072201335
CELA2A_+_15783609.23-P1P2,1101,1944,1410,2940,0.272579372,0.264382336,0.268480854
CELA2A_-_15783624.23-P1P2,1363,1766,1552,2255,0.103041674,0.02023649,0.061639082
CEL_+_135939882.23-P1P2,578,560,704,922,0.200204615,0.386934323,0.293569469
CEL_+_135940196.23-P1P2,624,918,565,1431,-0.227596483,0.308052013,0.040227765
CEL_+_135940322.23-P1P2,648,911,515,738,-0.415722702,-0.636235838,-0.52597927
CEL_-_135939878.23-P1P2,886,1068,707,1224,-0.409897805,-0.135713689,-0.272805747
CEL_-_135939951.23-P1P2,817,332,536,307,-0.692404399,-0.445350186,-0.568877293
CERKL_+_182521806.23-P1,941,1759,1012,1300,0.02064134,-0.76864946,-0.37400406
CERKL_+_182521818.23-P1,1474,1431,1525,1950,-0.035228603,0.114044852,0.039408124
CERKL_+_182545155.23-P2,580,625,255,1317,-1.269856975,0.74292165,-0.263467662
CERKL_+_182545238.23-P2,243,225,52,466,-2.308674107,0.717999353,-0.795337377
CERKL_+_182545306.23-P2,541,695,396,655,-0.534429485,-0.417923671,-0.476176578
CERKL_+_182545337.23-P2,1412,2225,1083,2226,-0.467008167,-0.331757344,-0.399382755
CERKL_-_182521384.23-P1,307,624,422,817,0.374703022,0.056384449,0.215543735
CERKL_-_182521424.23-P1,1117,1598,1502,2280,0.342954305,0.180360816,0.261657561
CERKL_-_182521656.23-P1,1225,1517,1155,2441,-0.169190219,0.353845609,0.092327695
CERKL_-_182545320.23-P2,1671,2456,1963,2400,0.148047118,-0.365681755,-0.108817319
CERK_+_47133794.23-P1P2,834,860,684,1308,-0.37035238,0.272548376,-0.048902002
CERK_+_47133805.23-P1P2,862,1046,1190,2072,0.380900478,0.653735551,0.517318014
CERK_+_47134030.23-P1P2,692,1182,668,852,-0.135225257,-0.8047103,-0.469967778
CERK_+_47134113.23-P1P2,462,494,700,1116,0.515160749,0.84334848,0.679254614
CERK_-_47134133.23-P1P2,722,750,767,1166,0.002926419,0.304199688,0.153563053
CES1_+_55866580.23-P1P2,1469,1291,1329,2112,-0.228794613,0.377715234,0.07446031
CES1_-_55866619.23-P1P2,776,571,822,1044,-0.00121958,0.538153461,0.26846694
CES1_-_55866971.23-P1P2,832,1240,819,1291,-0.107021398,-0.27425672,-0.190639059
CES1_-_55866975.23-P1P2,133,294,84,343,-0.747266334,-0.110013179,-0.428639757
CES1_-_55866991.23-P1P2,912,1229,799,1976,-0.275139643,0.352692431,0.038776394
CFB_+_31914158.23-P1P2,402,874,558,559,0.388768299,-0.977190597,-0.294211149
CFB_+_31914286.23-P1P2,1445,1298,1509,2191,-0.021778008,0.422893501,0.200557746
CFB_-_31913896.23-P1P2,1645,1693,1941,3028,0.154411213,0.506377632,0.330394422
CFB_-_31913901.23-P1P2,1059,1612,1346,1506,0.261674499,-0.430535574,-0.084430538
CFB_-_31914221.23-P1P2,1336,1643,1580,2370,0.157703229,0.196148979,0.176926104
CFD_+_859428.23-P1P2,2619,3204,2249,4033,-0.30403372,-0.000426342,-0.152230031
CFD_+_859706.23-P1P2,1479,2591,2163,2501,0.464110291,-0.383409558,0.040350367
CFD_+_859721.23-P1P2,295,575,404,511,0.369339017,-0.502644265,-0.066652624
CFD_-_859613.23-P1P2,382,295,334,137,-0.278025857,-1.438944662,-0.858485259
CFD_-_860068.23-P1P2,840,1332,764,1324,-0.221118011,-0.341096561,-0.281107286
CFL1_+_65625628.23-P1P2,1277,955,1040,581,-0.380476318,-1.04936817,-0.714922244
CFL1_-_65625251.23-P1P2,1000,832,695,1606,-0.609216439,0.616410859,0.00359721
CFL1_-_65625594.23-P1P2,533,977,360,1119,-0.650439948,-0.136626031,-0.39353299
CFL1_-_65625654.23-P1P2,589,729,394,231,-0.664373326,-1.990431563,-1.327402445
CFL1_-_65625699.23-P1P2,1049,1456,1555,2184,0.483598581,0.2525569,0.368077741
CFTR_+_117120108.23-P1P2,1647,1255,1404,2718,-0.314598941,0.782452492,0.233926775
CFTR_+_117120117.23-P1P2,692,598,817,1408,0.155262719,0.903024344,0.529143532
CFTR_+_117120137.23-P1P2,617,1132,693,961,0.083283541,-0.568671222,-0.24269384
CFTR_-_117120085.23-P1P2,835,1642,1276,2037,0.527478905,-0.021413747,0.253032579
CFTR_-_117120156.23-P1P2,387,189,257,443,-0.674866528,0.896514864,0.110824168
CGA_+_87797914.23-P2,975,1801,851,1665,-0.280544408,-0.445681604,-0.363113006
CGA_+_87804729.23-P1,525,922,756,777,0.44176749,-0.579257752,-0.068745131
CGA_+_87804779.23-P1,548,412,345,685,-0.751880853,0.40105405,-0.175413401
CGA_-_87797547.23-P2,2024,3071,2092,3411,-0.03662776,-0.180919358,-0.108773559
CGA_-_87797847.23-P2,1182,981,851,1369,-0.55830032,0.148391805,-0.204954258
CGA_-_87797852.23-P2,447,1146,448,1082,-0.081077421,-0.415312145,-0.248194783
CGA_-_87797940.23-P2,720,671,292,1082,-1.386329859,0.356910227,-0.514709816
CGA_-_87804516.23-P1,783,1137,763,1705,-0.121630572,0.252133885,0.065251656
CGA_-_87804776.23-P1,1667,2002,1690,2730,-0.064532179,0.115053377,0.025260599
CGA_-_87804788.23-P1,2791,3402,2525,3971,-0.228800058,-0.10928638,-0.169043219
CHD1_+_98261781.23-P1P2,12201,15668,12358,20645,-0.06585544,0.065565785,-0.000144827
CHD1_+_98262046.23-P1P2,1848,2604,2261,3447,0.206694914,0.07220625,0.139450582
CHD1_+_98262226.23-P1P2,6040,5598,5135,9931,-0.318485595,0.49462191,0.088068158
CHD1_-_98261946.23-P1P2,1048,1293,529,1293,-1.070600411,-0.3324056,-0.701503006
CHD1_-_98262220.23-P1P2,868,893,551,1971,-0.739944045,0.809790096,0.034923025
CHEK1_+_125496255.23-P1P2,2069,1609,867,731,-1.339131068,-1.470626615,-1.404878842
CHEK1_+_125496272.23-P1P2,1373,900,973,468,-0.581121237,-1.275822072,-0.928471654
CHEK1_+_125496278.23-P1P2,550,603,323,213,-0.852198775,-1.833710172,-1.342954474
CHEK1_-_125495912.23-P1P2,685,482,72,123,-3.334336498,-2.302780431,-2.818558465
CHEK1_-_125495934.23-P1P2,675,576,191,181,-1.905616185,-2.002484715,-1.95405045
CHEK2_+_29137301.23-P1P2,2103,2545,3128,6319,0.488490341,0.979625009,0.734057675
CHEK2_+_29137741.23-P1P2,1118,1515,1613,1276,0.444524929,-0.580095065,-0.067785068
CHEK2_+_29137755.23-P1P2,493,663,893,996,0.772771207,0.254731272,0.513751239
CHEK2_+_29137765.23-P1P2,965,820,1467,1267,0.519966702,0.295315109,0.407640906
CHEK2_+_29138256.23-P1P2,378,459,737,124,0.878977063,-2.220559633,-0.670791285
CHIA_+_111833460.23-P1P2,1180,1235,932,1217,-0.424686321,-0.353587474,-0.389136898
CHIA_+_111833487.23-P1P2,1658,2964,2133,3426,0.279138637,-0.123425896,0.07785637
CHIA_+_111833752.23-P1P2,889,1081,1040,1543,0.142026883,0.180965939,0.161496411
CHIA_-_111833513.23-P1P2,1330,2214,1315,1748,-0.100664768,-0.673355638,-0.387010203
CHIA_-_111833713.23-P1P2,1428,1822,1413,2081,-0.099535835,-0.140651594,-0.120093715
CHIT1_+_203198297.23-P1P2,343,672,355,455,-0.034690873,-0.895000288,-0.464845581
CHIT1_+_203198719.23-P1P2,1553,1949,1460,2362,-0.173390782,-0.055130726,-0.114260754
CHIT1_-_203198582.23-P1P2,694,529,702,1199,-0.067765954,0.848086431,0.390160239
CHIT1_-_203198733.23-P1P2,1879,1764,1291,2999,-0.625777388,0.433225361,-0.096276013
CHIT1_-_203198778.23-P1P2,354,224,427,500,0.186185388,0.826023762,0.506104575
CHKA_+_67888380.23-P1P2,1086,1484,728,1697,-0.661315069,-0.138910127,-0.400112598
CHKA_-_67888411.23-P1P2,643,794,686,1108,0.009088517,0.148341369,0.078714943
CHKA_-_67888689.23-P1P2,188,131,96,156,-1.053927672,-0.080426383,-0.567177028
CHKA_-_67888695.23-P1P2,694,773,383,1214,-0.941892592,0.318822502,-0.311535045
CHKA_-_67888823.23-P1P2,186,357,309,656,0.648002895,0.54536614,0.596684518
CHKB_+_51021054.23-P1P2,305,741,405,739,0.324811344,-0.336304778,-0.005746717
CHKB_+_51021203.23-P1P2,1696,1988,1505,2969,-0.256674004,0.246253736,-0.005210134
CHKB_+_51021206.23-P1P2,432,553,694,1062,0.599603029,0.60902678,0.604314905
CHKB_+_51021247.23-P1P2,55,1,34,18,-0.778198194,,
CHKB_-_51020899.23-P1P2,687,596,838,340,0.202338823,-1.142183185,-0.469922181
CHM_+_85302314.23-P1P2,981,1083,726,1838,-0.51858491,0.430697923,-0.043943493
CHM_+_85302319.23-P1P2,628,901,649,1153,-0.036847402,0.023387902,-0.00672975
CHM_+_85302486.23-P1P2,1495,1682,1809,2128,0.190745602,0.006914845,0.098830223
CHM_+_85302529.23-P1P2,1285,1881,1172,2331,-0.217097111,-0.022956445,-0.120026778
CHM_-_85302521.23-P1P2,2385,3184,2593,3647,0.036331618,-0.136535736,-0.050102059
CHRM1_+_62688731.23-P1P2,630,748,543,728,-0.298700952,-0.37150542,-0.335103186
CHRM1_+_62688777.23-P1P2,1965,2607,2035,3861,-0.03380184,0.234178371,0.100188266
CHRM1_+_62688793.23-P1P2,156,395,169,347,0.031175896,-0.519322591,-0.244073347
CHRM1_+_62688821.23-P1P2,1114,889,737,914,-0.68031403,-0.292394854,-0.486354442
CHRM1_-_62688831.23-P1P2,1699,2742,1800,3468,-0.000990268,0.006469727,0.00273973
CHRM2_+_136553808.23-P1P2,506,685,567,930,0.079910029,0.108721128,0.094315578
CHRM2_+_136553913.23-P1P2,632,764,728,1526,0.11971257,0.665704819,0.392708695
CHRM2_-_136553465.23-P1P2,1045,1499,1282,1631,0.210591998,-0.210649202,-2.86E-05
CHRM2_-_136553479.23-P1P2,397,222,293,147,-0.522539664,-0.927149122,-0.724844393
CHRM2_-_136553862.23-P1P2,1028,1309,1401,1289,0.36231537,-0.354618434,0.003848468
CHRM4_+_46407764.23-P1P2,1485,2263,1602,2108,0.025109895,-0.434767318,-0.204828711
CHRM4_+_46408072.23-P1P2,126,67,144,294,0.108343756,1.801177554,0.954760655
CHRM4_+_46408103.23-P1P2,383,834,392,859,-0.050792059,-0.289794853,-0.170293456
CHRM4_+_46408115.23-P1P2,1474,2035,1687,2769,0.110422128,0.111930659,0.111176393
CHRM4_-_46408121.23-P1P2,1359,2915,1510,2734,0.067701772,-0.424888241,-0.178593234
CHRM5_+_34260704.23-P1P2,904,1322,1015,1597,0.082783728,-0.059763464,0.011510132
CHRM5_+_34261127.23-P1P2,3079,4002,3566,5642,0.127543514,0.163079898,0.145311706
CHRM5_+_34261170.23-P1P2,1008,1570,913,1260,-0.227110195,-0.649746426,-0.43842831
CHRM5_+_34261347.23-P1P2,4032,4251,5162,7526,0.272133181,0.49167543,0.381904306
CHRM5_-_34261117.23-P1P2,1473,3155,2076,3140,0.410747692,-0.339281046,0.035733323
CHRNA10_+_3692257.23-ENST00000250699.2,566,664,709,805,0.240682253,-0.054600059,0.093041097
CHRNA10_-_3692563.23-ENST00000250699.2,1211,2001,1521,2205,0.244519966,-0.192348112,0.026085927
CHRNA10_-_3692566.23-ENST00000250699.2,509,871,642,1112,0.25060632,0.020006564,0.135306442
CHRNA10_-_3692605.23-ENST00000250699.2,1588,745,405,414,-2.055518421,-1.180015258,-1.61776684
CHRNA10_-_3692638.23-ENST00000250699.2,437,480,326,882,-0.507062637,0.54533865,0.019138006
CHRNA1_+_175628734.23-P1P2,1113,1485,1185,1833,0.006132145,-0.028661745,-0.0112648
CHRNA1_+_175629161.23-P1P2,1034,1425,1013,1613,-0.113903333,-0.153621081,-0.133762207
CHRNA1_-_175628781.23-P1P2,1850,2154,1685,2919,-0.219078001,0.106050361,-0.05651382
CHRNA1_-_175629142.23-P1P2,1471,1604,1302,2189,-0.26036912,0.116192212,-0.072088454
CHRNA1_-_175629149.23-P1P2,675,1025,695,1355,-0.042175846,0.070263342,0.014043748
CHRNA2_+_27336305.23-P1P2,575,791,777,904,0.350051321,-0.139760522,0.105145399
CHRNA2_+_27336330.23-P1P2,409,562,819,745,0.917461287,0.074264695,0.495862991
CHRNA2_-_27336407.23-P1P2,1474,2050,1428,3606,-0.130041867,0.482369887,0.17616401
CHRNA2_-_27336502.23-P1P2,1469,2269,1624,3177,0.060415915,0.153202881,0.106809398
CHRNA2_-_27336543.23-P1P2,554,1176,1373,860,1.225072423,-0.783885096,0.220593664
CHRNA3_+_78912882.23-P1P2,473,600,499,973,-0.00710169,0.365071704,0.178985007
CHRNA3_+_78913131.23-P1P2,949,1208,1010,2024,0.005573979,0.412183235,0.208878607
CHRNA3_+_78913301.23-P1P2,2027,3277,2375,3358,0.144280103,-0.297179043,-0.07644947
CHRNA3_-_78912872.23-P1P2,1289,1812,1577,2429,0.206629075,0.090373934,0.148501505
CHRNA3_-_78913435.23-P1P2,637,799,633,1024,-0.093389194,0.025542707,-0.033923244
CHRNA4_+_61992225.23-P1P2,1001,1260,1167,1356,0.137061265,-0.226472156,-0.044705445
CHRNA4_+_61992566.23-P1P2,784,614,1234,156,0.570115513,-2.309098227,-0.869491357
